Ssiderea046003	K10599
Ssiderea010303	K07439
Ssiderea006337	K10808
Ssiderea022053	K01745
Ssiderea026486	K11488
Ssiderea045573	K14072
Ssiderea016169	K11254
Ssiderea042964	K00742
Ssiderea005482	K10688
Ssiderea013778	K00461
Ssiderea035493	K05020
Ssiderea042054	K12196
Ssiderea004373	K10583
Ssiderea015525	K22758
Ssiderea046704	K27179
Ssiderea018458	K02090
Ssiderea033399	K10159
Ssiderea012200	K21873
Ssiderea052201	K22610
Ssiderea050981	K04150
Ssiderea039978	K02432
Ssiderea030214	K01049
Ssiderea024194	K05636
Ssiderea025806	K05695
Ssiderea002724	K17341
Ssiderea036595	K20185
Ssiderea045621	K21862
Ssiderea057673	K14545
Ssiderea003372	K10744
Ssiderea023327	K04780
Ssiderea030293	K07422
Ssiderea006984	K08375
Ssiderea039963	K10408
Ssiderea013662	K04422
Ssiderea015167	K01832
Ssiderea021715	K28080
Ssiderea013179	K25166
Ssiderea002179	K02678
Ssiderea031951	K07966
Ssiderea024586	K15015
Ssiderea039439	K02894
Ssiderea018272	K04266
Ssiderea019608	K24185
Ssiderea054652	K24469
Ssiderea015140	K15523
Ssiderea027037	K05673
Ssiderea051056	K01647
Ssiderea005920	K13754
Ssiderea043577	K11488
Ssiderea023014	K04727
Ssiderea014142	K26392
Ssiderea053713	K26746
Ssiderea039326	K09083
Ssiderea025633	K05034
Ssiderea039000	K08059
Ssiderea022546	K00280
Ssiderea040944	K05126
Ssiderea005471	K01324
Ssiderea047180	K22888
Ssiderea049457	K13153
Ssiderea048186	K04990
Ssiderea048874	K20813
Ssiderea018987	K16311
Ssiderea043821	K01313
Ssiderea024813	K00613
Ssiderea004032	K05330
Ssiderea023709	K10639
Ssiderea008272	K05701
Ssiderea051680	K25861
Ssiderea003383	K12185
Ssiderea057970	K24155
Ssiderea038346	K00079
Ssiderea013496	K19496
Ssiderea022320	K26107
Ssiderea028693	K14425
Ssiderea045265	K24469
Ssiderea057809	K01558
Ssiderea052757	K16599
Ssiderea015376	K03873
Ssiderea047891	K07390
Ssiderea006129	K14072
Ssiderea025427	K09228
Ssiderea61520	K04266
Ssiderea027368	K20520
Ssiderea025371	K04984
Ssiderea000931	K19467
Ssiderea027790	K06545
Ssiderea024808	K09175
Ssiderea037390	K19328
Ssiderea034638	K24936
Ssiderea004406	K11064
Ssiderea045218	K24818
Ssiderea011511	K04905
Ssiderea044393	K19360
Ssiderea026360	K24511
Ssiderea011783	K04204
Ssiderea055537	K07375
Ssiderea007211	K08624
Ssiderea058017	K08033
Ssiderea050689	K04874
Ssiderea044493	K04610
Ssiderea048151	K09848
Ssiderea027649	K24743
Ssiderea012075	K19993
Ssiderea029361	K24835
Ssiderea028821	K23342
Ssiderea013823	K24936
Ssiderea019916	K04266
Ssiderea010253	K12035
Ssiderea053588	K17253
Ssiderea035085	K04168
Ssiderea009807	K16755
Ssiderea009205	K06794
Ssiderea035895	K10273
Ssiderea028281	K04287
Ssiderea043812	K07380
Ssiderea040575	K12491
Ssiderea058894	K24437
Ssiderea021020	K06754
Ssiderea054593	K24431
Ssiderea000053	K03654
Ssiderea018067	K11254
Ssiderea035350	K05123
Ssiderea025388	K10366
Ssiderea055492	K18468
Ssiderea044755	K17582
Ssiderea016099	K04615
Ssiderea034977	K03850
Ssiderea046608	K02375
Ssiderea032906	K07369
Ssiderea044560	K20865
Ssiderea017075	K03654
Ssiderea045040	K07763
Ssiderea011245	K24688
Ssiderea025625	K05034
Ssiderea013153	K12602
Ssiderea036088	K17914
Ssiderea61470	K24431
Ssiderea045937	K19201
Ssiderea026174	K09199
Ssiderea010431	K09228
Ssiderea036066	K06813
Ssiderea026266	K27864
Ssiderea047880	K09666
Ssiderea034830	K24523
Ssiderea001493	K16816
Ssiderea037655	K13730
Ssiderea010535	K26125
Ssiderea052137	K13047
Ssiderea052874	K09321
Ssiderea009400	K00654
Ssiderea017633	K13046
Ssiderea013127	K11664
Ssiderea028751	K13912
Ssiderea016719	K20372
Ssiderea008299	K21598
Ssiderea047811	K05323
Ssiderea042591	K18532
Ssiderea052054	K01298
Ssiderea015463	K14003
Ssiderea011926	K00622
Ssiderea009746	K24169
Ssiderea019308	K09228
Ssiderea033817	K25081
Ssiderea046641	K02375
Ssiderea034939	K08180
Ssiderea035614	K02599
Ssiderea035849	K04593
Ssiderea014209	K02331
Ssiderea004321	K24936
Ssiderea001752	K07521
Ssiderea009974	K24935
Ssiderea053118	K25203
Ssiderea054628	K04606
Ssiderea025540	K17436
Ssiderea022471	K08957
Ssiderea034275	K22614
Ssiderea051389	K17923
Ssiderea006312	K11141
Ssiderea62103	K22663
Ssiderea015074	K24835
Ssiderea018615	K04142
Ssiderea002707	K06491
Ssiderea020299	K17341
Ssiderea029677	K04150
Ssiderea039572	K04162
Ssiderea019973	K02599
Ssiderea005251	K18592
Ssiderea003151	K05051
Ssiderea025501	K11498
Ssiderea045387	K17457
Ssiderea022842	K08727
Ssiderea003305	K00231
Ssiderea012315	K03695
Ssiderea057763	K04370
Ssiderea040623	K09632
Ssiderea033219	K02920
Ssiderea004355	K22525
Ssiderea055231	K00699
Ssiderea035823	K01019
Ssiderea033353	K04367
Ssiderea033128	K05286
Ssiderea013207	K12316
Ssiderea044764	K13116
Ssiderea015320	K08202
Ssiderea012570	K20819
Ssiderea011666	K00789
Ssiderea043608	K18592
Ssiderea042901	K08378
Ssiderea006705	K24936
Ssiderea015907	K08991
Ssiderea006776	K00505
Ssiderea024430	K01415
Ssiderea056975	K19511
Ssiderea040603	K07282
Ssiderea018515	K18666
Ssiderea021937	K10104
Ssiderea039925	K17535
Ssiderea047798	K08231
Ssiderea007747	K11310
Ssiderea037733	K12389
Ssiderea057003	K17341
Ssiderea016639	K04612
Ssiderea015651	K11182
Ssiderea045941	K17790
Ssiderea004248	K08378
Ssiderea011896	K10807
Ssiderea045848	K13240
Ssiderea005997	K18643
Ssiderea052638	K15208
Ssiderea000692	K04811
Ssiderea022644	K18160
Ssiderea038457	K10656
Ssiderea026269	K00544
Ssiderea049477	K07918
Ssiderea001429	K18674
Ssiderea038871	K24464
Ssiderea050828	K12850
Ssiderea046289	K17341
Ssiderea046745	K05092
Ssiderea017363	K10165
Ssiderea023312	K08857
Ssiderea62430	K24675
Ssiderea032261	K09848
Ssiderea049263	K04346
Ssiderea005315	K04252
Ssiderea052215	K04135
Ssiderea004438	K05312
Ssiderea012172	K14072
Ssiderea003859	K20865
Ssiderea019865	K22614
Ssiderea59215	K07497
Ssiderea020222	K04224
Ssiderea046770	K17689
Ssiderea012973	K12351
Ssiderea057601	K06754
Ssiderea051773	K11251
Ssiderea010347	K10445
Ssiderea035064	K04224
Ssiderea049899	K04806
Ssiderea045477	K04422
Ssiderea044293	K19360
Ssiderea046322	K09276
Ssiderea032924	K16605
Ssiderea019145	K04137
Ssiderea001365	K14726
Ssiderea004983	K09663
Ssiderea026873	K18644
Ssiderea035283	K14618
Ssiderea020012	K02599
Ssiderea032669	K06826
Ssiderea004040	K18914
Ssiderea001917	K07188
Ssiderea019809	K05750
Ssiderea023871	K20876
Ssiderea62176	K03654
Ssiderea048226	K23544
Ssiderea017714	K11251
Ssiderea024253	K25537
Ssiderea041871	K06711
Ssiderea025016	K07901
Ssiderea039135	K04985
Ssiderea038052	K10159
Ssiderea027232	K13886
Ssiderea009167	K23293
Ssiderea058043	K15015
Ssiderea053352	K07937
Ssiderea012984	K07890
Ssiderea014539	K19904
Ssiderea027118	K04148
Ssiderea001927	K12567
Ssiderea023074	K09228
Ssiderea040445	K07918
Ssiderea055604	K01794
Ssiderea051367	K01020
Ssiderea008424	K06825
Ssiderea60400	K05220
Ssiderea019627	K06053
Ssiderea010167	K04215
Ssiderea034382	K26437
Ssiderea025568	K04287
Ssiderea023508	K06278
Ssiderea012587	K05034
Ssiderea038409	K11587
Ssiderea056854	K23879
Ssiderea026835	K13023
Ssiderea047427	K22862
Ssiderea042115	K11108
Ssiderea050504	K01349
Ssiderea009526	K10407
Ssiderea025098	K12877
Ssiderea025491	K13940
Ssiderea058822	K04223
Ssiderea045444	K15142
Ssiderea058327	K03654
Ssiderea011524	K17307
Ssiderea022680	K03655
Ssiderea020396	K04150
Ssiderea010954	K11859
Ssiderea057540	K04441
Ssiderea004049	K12323
Ssiderea019188	K11840
Ssiderea011779	K01285
Ssiderea039442	K14072
Ssiderea022990	K00274
Ssiderea051209	K09041
Ssiderea012867	K07376
Ssiderea044310	K04967
Ssiderea008121	K02318
Ssiderea044145	K01681
Ssiderea042045	K12375
Ssiderea012301	K13046
Ssiderea052469	K01937
Ssiderea000904	K03902
Ssiderea006441	K18405
Ssiderea018640	K13443
Ssiderea057451	K27803
Ssiderea014334	K14616
Ssiderea006641	K17689
Ssiderea026365	K24794
Ssiderea020926	K12026
Ssiderea050390	K04206
Ssiderea027197	K15121
Ssiderea013181	K17387
Ssiderea002478	K12567
Ssiderea011207	K15734
Ssiderea049913	K07048
Ssiderea014562	K15686
Ssiderea058084	K10477
Ssiderea051305	K15290
Ssiderea013284	K13912
Ssiderea009409	K04144
Ssiderea018017	K03661
Ssiderea040973	K05126
Ssiderea046886	K24748
Ssiderea041899	K22399
Ssiderea024543	K09255
Ssiderea010445	K16857
Ssiderea023815	K10263
Ssiderea019312	K25083
Ssiderea015886	K24436
Ssiderea006211	K17341
Ssiderea054511	K10356
Ssiderea036231	K04615
Ssiderea013069	K00542
Ssiderea004117	K04986
Ssiderea044460	K17916
Ssiderea055266	K22790
Ssiderea053640	K00573
Ssiderea058200	K04144
Ssiderea048459	K00943
Ssiderea038441	K06236
Ssiderea055778	K24464
Ssiderea024576	K08378
Ssiderea018325	K01020
Ssiderea023749	K04144
Ssiderea031553	K23342
Ssiderea046486	K01394
Ssiderea009551	K04144
Ssiderea019444	K22530
Ssiderea010137	K10578
Ssiderea021017	K17458
Ssiderea010160	K04220
Ssiderea051004	K04967
Ssiderea035587	K24094
Ssiderea029219	K08807
Ssiderea001773	K06176
Ssiderea012950	K01115
Ssiderea59646	K10477
Ssiderea034371	K04267
Ssiderea016386	K04231
Ssiderea004550	K13753
Ssiderea016556	K24936
Ssiderea002756	K17341
Ssiderea033410	K10169
Ssiderea60601	K02599
Ssiderea058745	K00412
Ssiderea023017	K23568
Ssiderea050589	K09608
Ssiderea008320	K15115
Ssiderea046454	K05110
Ssiderea000178	K06642
Ssiderea006905	K04203
Ssiderea005782	K18629
Ssiderea034664	K22888
Ssiderea040983	K05126
Ssiderea008857	K18405
Ssiderea020916	K09035
Ssiderea005778	K07380
Ssiderea045287	K18809
Ssiderea050943	K24195
Ssiderea027884	K21862
Ssiderea027530	K03593
Ssiderea011177	K07380
Ssiderea050865	K04967
Ssiderea055459	K04157
Ssiderea005119	K18464
Ssiderea011385	K13046
Ssiderea005458	K11699
Ssiderea010557	K27816
Ssiderea011693	K17307
Ssiderea047276	K22614
Ssiderea014025	K24936
Ssiderea029726	K14719
Ssiderea022403	K03654
Ssiderea042503	K14826
Ssiderea014814	K08681
Ssiderea038738	K23518
Ssiderea055215	K04628
Ssiderea051113	K00274
Ssiderea051399	K04615
Ssiderea054399	K03654
Ssiderea044862	K02602
Ssiderea61586	K07497
Ssiderea003485	K14072
Ssiderea053863	K08375
Ssiderea028024	K04153
Ssiderea025742	K23790
Ssiderea005288	K10478
Ssiderea021330	K08868
Ssiderea025413	K09228
Ssiderea025314	K15169
Ssiderea027598	K14590
Ssiderea014911	K04550
Ssiderea046408	K23210
Ssiderea019589	K03648
Ssiderea010411	K19970
Ssiderea001489	K05692
Ssiderea028359	K24936
Ssiderea020117	K14379
Ssiderea053142	K19467
Ssiderea050596	K06778
Ssiderea039014	K07071
Ssiderea000304	K02677
Ssiderea042207	K01301
Ssiderea054758	K13047
Ssiderea026270	K00544
Ssiderea61113	K19013
Ssiderea001745	K24519
Ssiderea019556	K28074
Ssiderea002091	K09228
Ssiderea61562	K24936
Ssiderea036117	K04412
Ssiderea019524	K01262
Ssiderea026742	K04223
Ssiderea053801	K04421
Ssiderea049151	K13150
Ssiderea011453	K11428
Ssiderea028007	K04163
Ssiderea62319	K08409
Ssiderea054957	K00182
Ssiderea003440	K11251
Ssiderea61450	K07380
Ssiderea61553	K01017
Ssiderea057114	K03654
Ssiderea048662	K14538
Ssiderea024799	K00753
Ssiderea002304	K04266
Ssiderea020034	K04814
Ssiderea002281	K12805
Ssiderea004848	K10761
Ssiderea007513	K06841
Ssiderea041713	K17535
Ssiderea054887	K01025
Ssiderea015293	K06942
Ssiderea044632	K08187
Ssiderea048810	K20795
Ssiderea057416	K12035
Ssiderea016890	K10408
Ssiderea051420	K14071
Ssiderea012123	K04649
Ssiderea018161	K17458
Ssiderea050679	K10754
Ssiderea022851	K06278
Ssiderea026252	K14620
Ssiderea007470	K15285
Ssiderea021603	K10416
Ssiderea034290	K06560
Ssiderea019778	K16777
Ssiderea027785	K09381
Ssiderea043572	K08844
Ssiderea046729	K14457
Ssiderea016600	K12199
Ssiderea031303	K05687
Ssiderea61035	K07497
Ssiderea006185	K17547
Ssiderea017522	K00008
Ssiderea62139	K24437
Ssiderea049250	K05840
Ssiderea056855	K23879
Ssiderea053173	K20045
Ssiderea008545	K13047
Ssiderea051963	K00546
Ssiderea001897	K16726
Ssiderea039224	K14072
Ssiderea037177	K11456
Ssiderea034519	K20358
Ssiderea003820	K03377
Ssiderea031526	K15048
Ssiderea057084	K14314
Ssiderea033294	K04659
Ssiderea022631	K01807
Ssiderea009536	K09336
Ssiderea040626	K08664
Ssiderea003089	K00864
Ssiderea015616	K00306
Ssiderea005272	K20299
Ssiderea019673	K08175
Ssiderea025039	K01346
Ssiderea010404	K04220
Ssiderea050248	K03781
Ssiderea028719	K07440
Ssiderea001050	K09228
Ssiderea024018	K26101
Ssiderea018997	K11275
Ssiderea016766	K15305
Ssiderea001073	K08730
Ssiderea016132	K06754
Ssiderea034826	K02187
Ssiderea054698	K17495
Ssiderea005764	K02265
Ssiderea60195	K24674
Ssiderea025100	K00746
Ssiderea042265	K07998
Ssiderea051667	K10461
Ssiderea022442	K16506
Ssiderea022896	K08409
Ssiderea044135	K09228
Ssiderea042446	K10350
Ssiderea024947	K00698
Ssiderea012631	K05673
Ssiderea034717	K02678
Ssiderea005759	K17499
Ssiderea031659	K24464
Ssiderea006816	K24936
Ssiderea020382	K05749
Ssiderea009895	K04142
Ssiderea045169	K09267
Ssiderea048859	K11098
Ssiderea008129	K02318
Ssiderea005957	K04830
Ssiderea043735	K04914
Ssiderea035434	K07426
Ssiderea013817	K15837
Ssiderea050250	K10349
Ssiderea015835	K07765
Ssiderea003825	K25291
Ssiderea055323	K12035
Ssiderea041746	K17535
Ssiderea049163	K11323
Ssiderea015532	K24936
Ssiderea053429	K00710
Ssiderea015138	K23092
Ssiderea049565	K04265
Ssiderea046834	K15044
Ssiderea042777	K04204
Ssiderea036009	K04705
Ssiderea039971	K04575
Ssiderea029627	K05181
Ssiderea050342	K17689
Ssiderea054975	K05755
Ssiderea024140	K26537
Ssiderea034014	K20298
Ssiderea024454	K05619
Ssiderea020636	K23956
Ssiderea012918	K15290
Ssiderea005772	K13813
Ssiderea048378	K22790
Ssiderea005684	K25476
Ssiderea031817	K00744
Ssiderea006996	K27567
Ssiderea014687	K24222
Ssiderea030218	K07378
Ssiderea015793	K25591
Ssiderea010059	K04284
Ssiderea033088	K05312
Ssiderea029408	K11278
Ssiderea020166	K10457
Ssiderea048533	K06545
Ssiderea009646	K24792
Ssiderea057613	K07380
Ssiderea018250	K22371
Ssiderea038131	K06238
Ssiderea040751	K19511
Ssiderea040668	K00710
Ssiderea023406	K05155
Ssiderea042846	K09564
Ssiderea046637	K06618
Ssiderea053805	K19372
Ssiderea038609	K04427
Ssiderea052994	K03174
Ssiderea051545	K15691
Ssiderea002429	K17341
Ssiderea60720	K10771
Ssiderea040841	K05126
Ssiderea052145	K14072
Ssiderea017622	K15707
Ssiderea005462	K11699
Ssiderea005210	K17458
Ssiderea051645	K03680
Ssiderea006713	K17299
Ssiderea007850	K04306
Ssiderea056575	K13783
Ssiderea003554	K14616
Ssiderea056713	K04659
Ssiderea033368	K23727
Ssiderea021334	K00290
Ssiderea033069	K03648
Ssiderea018193	K09397
Ssiderea058308	K09377
Ssiderea054257	K14684
Ssiderea030439	K08463
Ssiderea011390	K24091
Ssiderea051126	K04978
Ssiderea045288	K25830
Ssiderea029583	K07305
Ssiderea019152	K23468
Ssiderea62560	K03654
Ssiderea046068	K15255
Ssiderea024242	K14464
Ssiderea042664	K04824
Ssiderea020522	K24469
Ssiderea016832	K05307
Ssiderea004724	K04832
Ssiderea035131	K14434
Ssiderea029025	K04828
Ssiderea014761	K18398
Ssiderea010017	K09408
Ssiderea009607	K13254
Ssiderea023401	K07521
Ssiderea007732	K24936
Ssiderea014746	K18245
Ssiderea010081	K04223
Ssiderea051232	K26144
Ssiderea038757	K04144
Ssiderea035392	K20363
Ssiderea005820	K12233
Ssiderea029703	K03265
Ssiderea010338	K23330
Ssiderea020674	K04255
Ssiderea013532	K04142
Ssiderea011762	K24964
Ssiderea017664	K24359
Ssiderea004144	K22522
Ssiderea016694	K04306
Ssiderea057353	K05126
Ssiderea052547	K25449
Ssiderea038295	K00546
Ssiderea018639	K13443
Ssiderea010512	K11536
Ssiderea048858	K25439
Ssiderea009562	K22790
Ssiderea006286	K11471
Ssiderea052961	K17286
Ssiderea038733	K07380
Ssiderea041765	K24734
Ssiderea021622	K26141
Ssiderea053892	K04253
Ssiderea039558	K18643
Ssiderea004359	K00262
Ssiderea043788	K04919
Ssiderea037805	K01530
Ssiderea049278	K11838
Ssiderea035545	K24419
Ssiderea054630	K09374
Ssiderea013728	K17917
Ssiderea021219	K23167
Ssiderea014828	K14354
Ssiderea050237	K16569
Ssiderea039829	K23908
Ssiderea045292	K12310
Ssiderea023246	K18439
Ssiderea024215	K04150
Ssiderea014952	K08778
Ssiderea014255	K08619
Ssiderea057328	K05126
Ssiderea032887	K22390
Ssiderea006620	K04131
Ssiderea051231	K09657
Ssiderea037969	K21440
Ssiderea018479	K08825
Ssiderea013658	K04593
Ssiderea023537	K27569
Ssiderea033608	K12309
Ssiderea034093	K11290
Ssiderea011912	K07920
Ssiderea016066	K19882
Ssiderea039639	K17535
Ssiderea005734	K18442
Ssiderea050338	K17691
Ssiderea004094	K12323
Ssiderea034896	K11699
Ssiderea040831	K06773
Ssiderea005515	K10642
Ssiderea046374	K23922
Ssiderea037383	K01197
Ssiderea015371	K20093
Ssiderea011956	K19360
Ssiderea036452	K06777
Ssiderea004831	K13237
Ssiderea053250	K06580
Ssiderea043587	K08568
Ssiderea037636	K01022
Ssiderea015724	K12441
Ssiderea032671	K04988
Ssiderea018625	K04742
Ssiderea038376	K05661
Ssiderea055636	K00700
Ssiderea052342	K04944
Ssiderea033171	K12600
Ssiderea012735	K04202
Ssiderea031861	K03639
Ssiderea000186	K01217
Ssiderea000154	K00681
Ssiderea058055	K14684
Ssiderea053393	K09662
Ssiderea029801	K22868
Ssiderea015230	K28025
Ssiderea033249	K18018
Ssiderea002752	K05126
Ssiderea032053	K10732
Ssiderea012536	K24835
Ssiderea026615	K21246
Ssiderea037578	K08606
Ssiderea027540	K10425
Ssiderea017142	K00846
Ssiderea045543	K00090
Ssiderea029188	K00549
Ssiderea003846	K20865
Ssiderea044233	K09328
Ssiderea048840	K05175
Ssiderea024182	K01135
Ssiderea054292	K08375
Ssiderea016978	K04989
Ssiderea001023	K09224
Ssiderea038519	K07098
Ssiderea045399	K09408
Ssiderea022535	K00699
Ssiderea61356	K24936
Ssiderea053984	K06792
Ssiderea021215	K01365
Ssiderea035656	K16288
Ssiderea006989	K08375
Ssiderea037118	K00505
Ssiderea053053	K15042
Ssiderea028758	K14072
Ssiderea052102	K17341
Ssiderea030187	K04393
Ssiderea000962	K02992
Ssiderea010449	K05312
Ssiderea049257	K00665
Ssiderea057516	K20405
Ssiderea058793	K20630
Ssiderea055805	K13348
Ssiderea042111	K17726
Ssiderea022879	K05126
Ssiderea032836	K06238
Ssiderea025067	K06252
Ssiderea012876	K14613
Ssiderea015878	K13093
Ssiderea052442	K10798
Ssiderea001453	K08796
Ssiderea014906	K08052
Ssiderea054487	K00059
Ssiderea027370	K03174
Ssiderea054503	K04612
Ssiderea042407	K22314
Ssiderea044267	K07195
Ssiderea021706	K04136
Ssiderea009629	K10397
Ssiderea046564	K22860
Ssiderea022140	K05929
Ssiderea045512	K12385
Ssiderea002792	K15179
Ssiderea001013	K04285
Ssiderea048962	K13047
Ssiderea013075	K24687
Ssiderea009152	K06792
Ssiderea012772	K19199
Ssiderea051187	K24227
Ssiderea032866	K10992
Ssiderea006833	K26547
Ssiderea039515	K23398
Ssiderea016367	K14572
Ssiderea003689	K02997
Ssiderea002275	K05396
Ssiderea040172	K16449
Ssiderea032237	K12343
Ssiderea047095	K13100
Ssiderea004426	K02935
Ssiderea036792	K09641
Ssiderea013979	K13912
Ssiderea034329	K14842
Ssiderea020211	K04217
Ssiderea055820	K01488
Ssiderea053039	K08735
Ssiderea004642	K04231
Ssiderea039391	K23696
Ssiderea042801	K10571
Ssiderea019532	K26229
Ssiderea003501	K00753
Ssiderea018086	K24464
Ssiderea053671	K24936
Ssiderea034593	K24936
Ssiderea038005	K09848
Ssiderea013479	K23341
Ssiderea006134	K14963
Ssiderea007938	K14763
Ssiderea60241	K23222
Ssiderea005341	K04266
Ssiderea043767	K01313
Ssiderea021460	K12813
Ssiderea019212	K04990
Ssiderea015529	K11314
Ssiderea008265	K11377
Ssiderea006697	K24936
Ssiderea042122	K10258
Ssiderea028670	K16727
Ssiderea025564	K24029
Ssiderea014701	K18798
Ssiderea039183	K24936
Ssiderea016006	K04131
Ssiderea029903	K07380
Ssiderea018705	K08375
Ssiderea053088	K02354
Ssiderea001187	K17341
Ssiderea006587	K06054
Ssiderea048728	K15264
Ssiderea022770	K20224
Ssiderea030478	K24936
Ssiderea010588	K04984
Ssiderea007531	K11173
Ssiderea026951	K24734
Ssiderea023483	K00940
Ssiderea035523	K11865
Ssiderea048193	K01187
Ssiderea006644	K15003
Ssiderea023375	K16507
Ssiderea035633	K04163
Ssiderea025663	K11153
Ssiderea013981	K18274
Ssiderea046474	K01345
Ssiderea020202	K09643
Ssiderea000732	K06981
Ssiderea61074	K03068
Ssiderea045845	K13240
Ssiderea057888	K28098
Ssiderea042001	K25537
Ssiderea008800	K22666
Ssiderea013310	K08656
Ssiderea013739	K26129
Ssiderea050026	K24733
Ssiderea056762	K03259
Ssiderea050185	K04266
Ssiderea014835	K14354
Ssiderea006787	K06068
Ssiderea003407	K11251
Ssiderea029810	K12305
Ssiderea020700	K18933
Ssiderea006741	K24936
Ssiderea055683	K24431
Ssiderea042051	K01537
Ssiderea034222	K03691
Ssiderea004388	K27894
Ssiderea028374	K08190
Ssiderea009970	K24680
Ssiderea007443	K24469
Ssiderea033373	K15015
Ssiderea042925	K09276
Ssiderea000381	K24936
Ssiderea030312	K02183
Ssiderea032100	K24418
Ssiderea051803	K00507
Ssiderea60817	K07497
Ssiderea021782	K09848
Ssiderea009471	K03025
Ssiderea038892	K05048
Ssiderea006825	K01014
Ssiderea047486	K10104
Ssiderea010617	K23949
Ssiderea053824	K00312
Ssiderea044937	K04163
Ssiderea033968	K23879
Ssiderea026749	K04594
Ssiderea012327	K01887
Ssiderea011435	K20792
Ssiderea012660	K04874
Ssiderea048403	K04285
Ssiderea020696	K18933
Ssiderea012118	K24822
Ssiderea006565	K05121
Ssiderea013626	K09091
Ssiderea61996	K07497
Ssiderea039435	K24262
Ssiderea022475	K04358
Ssiderea046274	K11341
Ssiderea002191	K05665
Ssiderea039720	K22544
Ssiderea055445	K21396
Ssiderea035504	K04887
Ssiderea005556	K10642
Ssiderea051914	K25549
Ssiderea052482	K16342
Ssiderea010076	K06272
Ssiderea045551	K14072
Ssiderea008734	K18208
Ssiderea004676	K04134
Ssiderea011978	K24734
Ssiderea018177	K24361
Ssiderea026315	K17972
Ssiderea036686	K21852
Ssiderea002997	K02030
Ssiderea044474	K09542
Ssiderea007740	K24936
Ssiderea038599	K07189
Ssiderea055824	K24469
Ssiderea004603	K05673
Ssiderea024167	K19748
Ssiderea013267	K23820
Ssiderea020283	K09669
Ssiderea024435	K12399
Ssiderea020256	K17566
Ssiderea002212	K23095
Ssiderea025281	K05181
Ssiderea016195	K04222
Ssiderea011649	K08857
Ssiderea053372	K00688
Ssiderea012157	K19323
Ssiderea055670	K23858
Ssiderea61976	K06825
Ssiderea009271	K16781
Ssiderea039449	K04239
Ssiderea009446	K07379
Ssiderea043600	K17547
Ssiderea039282	K12562
Ssiderea042101	K12343
Ssiderea025858	K20178
Ssiderea017227	K24684
Ssiderea029226	K12194
Ssiderea045770	K06978
Ssiderea032640	K24936
Ssiderea028489	K09491
Ssiderea055626	K25662
Ssiderea019013	K06874
Ssiderea034790	K10407
Ssiderea022840	K14007
Ssiderea014157	K13912
Ssiderea058946	K10751
Ssiderea046918	K16185
Ssiderea041933	K07841
Ssiderea024301	K11420
Ssiderea025026	K00546
Ssiderea058356	K22371
Ssiderea036279	K09848
