Ssiderea046003	factor 19
Ssiderea011858	Glycerophosphoryl diester phosphodiesterase family
Ssiderea054744	complement activation
Ssiderea042228	GTP-dependent protein binding
Ssiderea021516	SUMO activating enzyme activity
Ssiderea022089	Golgi transport vesicle coating
Ssiderea004580	ATPase activity, coupled to transmembrane movement of substances
Ssiderea003299	fibroblast growth factor-activated receptor activity
Ssiderea051806	Methylcytosine dioxygenase
Ssiderea013758	Collagen triple helix
Ssiderea004714	intracellular chloride channel activity
Ssiderea039066	CUB and zona pellucida-like domain-containing protein
Ssiderea008913	protein homodimerization activity
Ssiderea015625	Clavaminate synthase-like protein At3g21360-like
Ssiderea013806	regulation of mitotic cell cycle
Ssiderea040203	N-terminal peptidyl-proline dimethylation
Ssiderea60286	positive regulation of TOR signaling
Ssiderea59936	Endonuclease/Exonuclease/phosphatase family
Ssiderea031163	Alpha-kinase family
Ssiderea029638	Pleckstrin homology domain-containing family A member 1
Ssiderea023226	RNA polymerase I transcription factor binding
Ssiderea021785	receptor-associated protein-like 2
Ssiderea031780	regulation of mitotic cell cycle
Ssiderea028271	hypochlorous acid biosynthetic process
Ssiderea016199	Serpentine type 7TM GPCR chemoreceptor Srx
Ssiderea011521	It is involved in the biological process described with
Ssiderea008720	BolA-like protein
Ssiderea045521	Von Willebrand factor A
Ssiderea047849	Belongs to the peptidase M10A family
Ssiderea018241	G-protein coupled receptor activity
Ssiderea006019	structural constituent of cytoskeleton
Ssiderea029659	cullin family protein binding
Ssiderea006584	3-hydroxybutyrate dehydrogenase, type 2
Ssiderea019341	UDP-glucoronosyl and UDP-glucosyl transferase
Ssiderea054067	serine protease
Ssiderea001062	Si dkey-5i3.5
Ssiderea018010	HECT-domain (ubiquitin-transferase)
Ssiderea058191	thiol-dependent ubiquitin-specific protease activity
Ssiderea017916	3-mercaptopyruvate sulfurtransferase-like
Ssiderea60825	K02A2.6-like
Ssiderea053487	Common central domain of tyrosinase
Ssiderea047285	NACHT, LRR and PYD domains-containing protein
Ssiderea029649	acylpyruvate hydrolase activity
Ssiderea049939	May function in recognizing stalled ribosomes and triggering endonucleolytic cleavage of the mRNA, a mechanism to release non-functional ribosomes and degrade damaged mRNAs
Ssiderea016685	2-oxoisovalerate dehydrogenase subunit beta
Ssiderea014282	ATP-dependent serine protease that mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides as well as certain short-lived regulatory proteins in the mitochondrial matrix. May also have a chaperone function in the assembly of inner membrane protein complexes. Participates in the regulation of mitochondrial gene expression and in the maintenance of the integrity of the mitochondrial genome. Binds to mitochondrial
Ssiderea035157	Protein of unknown function (DUF974)
Ssiderea026183	polyuridylation-dependent mRNA catabolic process
Ssiderea015266	AAA domain
Ssiderea054004	hyaluronic acid binding
Ssiderea050121	metallocarboxypeptidase activity
Ssiderea057308	Glycosyl transferases group 1
Ssiderea033752	calmodulin binding
Ssiderea050572	N-6 adenine-specific DNA methyltransferase 1
Ssiderea003720	negative regulation of protein kinase B signaling
Ssiderea015242	ribosomal large subunit assembly
Ssiderea036237	gamma-aminobutyric acid type B receptor subunit
Ssiderea007832	Zinc-finger of C2H2 type
Ssiderea054572	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Ssiderea042162	Adenylyl- / guanylyl cyclase, catalytic domain
Ssiderea010635	radial glial cell differentiation
Ssiderea015098	keratan sulfotransferase activity
Ssiderea052551	Spindle and kinetochore associated complex subunit 3
Ssiderea007006	mRNA cleavage involved in gene silencing
Ssiderea031182	ion channel activity
Ssiderea006321	ribosomal small subunit export from nucleus
Ssiderea055576	ATP-dependent peptidase activity
Ssiderea042495	ubiquitin-like protein-specific protease activity
Ssiderea039693	galanin-activated signaling pathway
Ssiderea018909	Belongs to the cullin family
Ssiderea017946	creatine kinase activity
Ssiderea030078	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Ssiderea045075	G-protein coupled receptor activity
Ssiderea013344	RNA-directed DNA polymerase activity
Ssiderea021904	WD repeat domain 11
Ssiderea051315	collagen
Ssiderea003398	Histone H1
Ssiderea016055	Solute carrier organic anion transporter family, member
Ssiderea003103	G-protein coupled receptor activity
Ssiderea042258	Lipid phosphate phosphohydrolase
Ssiderea048415	G-protein coupled receptor activity
Ssiderea029509	Hypoxia induced protein conserved region
Ssiderea004458	oxidative single-stranded RNA demethylation
Ssiderea045015	protein ubiquitination
Ssiderea041236	Neural cell adhesion molecule 2
Ssiderea028293	melatonin receptor activity
Ssiderea014744	positive regulation of dipeptide transport
Ssiderea048845	GABA-A receptor activity
Ssiderea041228	cell division
Ssiderea052579	ADP-ribosylation factor family
Ssiderea61893	-
Ssiderea042763	G-protein coupled receptor activity
Ssiderea046908	alpha/beta hydrolase fold
Ssiderea002300	May mediate accelerated ATP-independent bidirectional transbilayer migration of phospholipids upon binding calcium ions that results in a loss of phospholipid asymmetry in the plasma membrane
Ssiderea036032	nicotinate nucleotide biosynthetic process
Ssiderea055032	signal transduction involved in G2 DNA damage checkpoint
Ssiderea045355	NAADP-sensitive calcium-release channel activity
Ssiderea014361	transmembrane receptor protein tyrosine kinase activity
Ssiderea007140	RNA ligase (ATP) activity
Ssiderea047391	May act as a scaffolding protein within caveolar membranes. Interacts directly with G-protein alpha subunits and can functionally regulate their activity
Ssiderea039774	DNA-directed 5'-3' RNA polymerase activity
Ssiderea039341	It is involved in the biological process described with receptor-mediated endocytosis
Ssiderea036213	Protein rolling stone-like
Ssiderea045673	Calcium-binding protein
Ssiderea024938	negative regulation of axon extension involved in regeneration
Ssiderea002060	krueppel associated box
Ssiderea014811	cytoskeletal adaptor activity
Ssiderea006437	cortical actin cytoskeleton organization
Ssiderea003011	EP4 subtype prostaglandin E2 receptor binding
Ssiderea053246	Glycosyltransferase family 92
Ssiderea051787	Glycosyl hydrolase family 20, catalytic domain
Ssiderea039690	dodecenoyl-CoA delta-isomerase activity
Ssiderea039469	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea026626	alpha-L-fucosidase activity
Ssiderea053971	3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity
Ssiderea048158	polycystic kidney disease protein 1-like
Ssiderea056338	negative regulation of ERK1 and ERK2 cascade
Ssiderea058548	carbohydrate binding
Ssiderea012129	DUF1771
Ssiderea049217	miRNA binding
Ssiderea016187	G-protein coupled receptor activity
Ssiderea009357	L-2-hydroxyglutarate dehydrogenase
Ssiderea019686	-
Ssiderea59663	-
Ssiderea009747	Putative ABC-transporter type IV
Ssiderea053281	mycophenolic acid acyl-glucuronide esterase activity
Ssiderea037685	dimethylglycine dehydrogenase activity
Ssiderea021403	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors
Ssiderea011014	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Ssiderea053606	Doublesex- and mab-3-related transcription factor
Ssiderea045724	melanocortin receptor activity
Ssiderea016544	excision repair
Ssiderea000550	ammonium transmembrane transporter activity
Ssiderea005410	zinc ion binding
Ssiderea010572	ankyrin repeat and LEM
Ssiderea042459	tRNA export from nucleus
Ssiderea057212	DNA binding
Ssiderea007657	-
Ssiderea029907	carbohydrate binding
Ssiderea026222	homolog subfamily C member 10
Ssiderea006232	peroxidase activity
Ssiderea051997	Glycosyl hydrolase family 20, catalytic domain
Ssiderea022549	G-protein coupled receptor activity
Ssiderea006796	Sortilin
Ssiderea034344	Ariadne RBR E3 ubiquitin protein ligase 1
Ssiderea019529	cyclic nucleotide-gated ion channel activity
Ssiderea022082	WD domain, G-beta repeat
Ssiderea023748	serotonin receptor activity
Ssiderea005522	Tetratricopeptide repeat
Ssiderea009419	Zn_pept
Ssiderea004547	alpha-L-fucosidase activity
Ssiderea009658	A2A adenosine receptor binding
Ssiderea032883	May antagonize Nodal signaling and subsequent organization of axial structures during mesodermal patterning
Ssiderea035165	deoxyribonuclease I activity
Ssiderea044785	septin cytoskeleton organization
Ssiderea011050	Endothelin converting enzyme 2
Ssiderea056306	Folate-sensitive fragile site protein Fra10Ac1
Ssiderea051011	Avidin family
Ssiderea024834	Lysin motif
Ssiderea020156	galanin-activated signaling pathway
Ssiderea010333	uridine kinase activity
Ssiderea021533	Domain of unknown function (DUF4470)
Ssiderea047907	denticleless E3 ubiquitin protein ligase homolog (Drosophila)
Ssiderea008536	cobalamin catabolic process
Ssiderea034462	G-protein coupled receptor activity
Ssiderea60727	52 kDa repressor of the inhibitor of the protein
Ssiderea035145	Glycosyltransferase family 92
Ssiderea015252	peptidase activity
Ssiderea010303	Cytochrome P450, family 39, subfamily a, polypeptide 1
Ssiderea048808	forebrain anterior/posterior pattern specification
Ssiderea009671	5-methyltetrahydrofolate--homocysteine methyltransferase
Ssiderea006337	ribonucleoside-diphosphate reductase activity
Ssiderea022053	Histidine ammonia-lyase
Ssiderea026486	Polycomb group ring finger
Ssiderea018661	Major facilitator superfamily domain-containing protein 6-like
Ssiderea000569	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Ssiderea050177	G-protein coupled receptor activity
Ssiderea045573	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea044035	RNA binding protein fox-1 homolog
Ssiderea033036	regulation of mitotic cell cycle
Ssiderea016169	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Ssiderea005482	Belongs to the ubiquitin-conjugating enzyme family
Ssiderea042964	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
Ssiderea021174	structural constituent of cuticle
Ssiderea008445	SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains
Ssiderea013778	Lipoxygenase
Ssiderea61608	Integrase core domain
Ssiderea051225	PAXX, PAralog of XRCC4 and XLF, also called C9orf142
Ssiderea044989	pentraxin receptor activity
Ssiderea044592	store-operated calcium channel activity
Ssiderea036707	arachidonic acid secretion
Ssiderea035493	BCCT, betaine/carnitine/choline family transporter
Ssiderea004373	Ubiquitin-conjugating enzyme
Ssiderea042054	positive regulation of centriole elongation
Ssiderea004649	7 transmembrane receptor (rhodopsin family)
Ssiderea000799	Zona pellucida (ZP) domain
Ssiderea051439	negative regulation of protein localization to centrosome
Ssiderea057907	DNA binding
Ssiderea054522	tRNA dihydrouridine synthase activity
Ssiderea015525	regulation of cellular response to hypoxia
Ssiderea035965	Coiled-coil domain-containing protein 60
Ssiderea008742	regulation of intraciliary retrograde transport
Ssiderea041707	Belongs to the peptidase C19 family
Ssiderea046704	Zinc-binding domain, present in Dystrophin, CREB-binding protein.
Ssiderea041414	Common central domain of tyrosinase
Ssiderea018458	mitochondrial fusion
Ssiderea033399	regulation of response to stimulus
Ssiderea029887	Ethylene-responsive protein kinase Le-CTR1
Ssiderea61101	distal tubule morphogenesis
Ssiderea012244	glycogenin glucosyltransferase activity
Ssiderea012200	nucleic acid-templated transcription
Ssiderea033054	-
Ssiderea045318	Belongs to the eIF-2B alpha beta delta subunits family. MtnA subfamily
Ssiderea013450	Serpentine type 7TM GPCR chemoreceptor Srsx
Ssiderea052201	dioxygenase activity
Ssiderea050981	Belongs to the G-protein coupled receptor 1 family
Ssiderea039978	Wnt-activated receptor activity
Ssiderea011861	magnesium ion transmembrane transporter activity
Ssiderea033303	alpha-(1->3)-fucosyltransferase activity
Ssiderea030214	neurexin family protein binding
Ssiderea040272	protein-hormone receptor activity
Ssiderea024194	Laminin N-terminal domain (domain VI)
Ssiderea009700	calcium ion binding
Ssiderea002724	Hemicentin 2
Ssiderea025806	negative regulation of insulin receptor signaling pathway
Ssiderea013434	Belongs to the G-protein coupled receptor 1 family
Ssiderea036595	anterograde synaptic vesicle transport
Ssiderea018949	SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains
Ssiderea045088	G-protein coupled receptor activity
Ssiderea61633	structural constituent of ribosome
Ssiderea032964	chromatin remodeling
Ssiderea005791	histone dephosphorylation
Ssiderea045621	voltage-gated sodium channel activity
Ssiderea057673	ribosomal small subunit assembly
Ssiderea003372	RNA-DNA hybrid ribonuclease activity
Ssiderea002664	fibroblast growth factor-activated receptor activity
Ssiderea050027	cleavage furrow ingression
Ssiderea025490	Potassium voltage-gated channel
Ssiderea023327	catalytic activity. It is involved in the biological process described with metabolic process
Ssiderea023103	miRNA binding
Ssiderea030293	monooxygenase activity
Ssiderea041806	Ankyrin repeats (many copies)
Ssiderea014888	Inosine-uridine preferring nucleoside hydrolase-like
Ssiderea006984	thyrotropin-releasing hormone receptor activity
Ssiderea039112	Speckle targeted PIP5K1A-regulated poly(A)
Ssiderea045733	coiled-coil domain-containing protein 170
Ssiderea025843	Vertebrae development associated
Ssiderea039963	heavy chain
Ssiderea020290	DHHC palmitoyltransferase
Ssiderea045157	Glycosyl transferases group 1
Ssiderea013662	EGF domain, unclasssified subfamily
Ssiderea030023	Tetratricopeptide repeat
Ssiderea015167	heme binding
Ssiderea021715	DREV methyltransferase
Ssiderea053919	-
Ssiderea002125	intraciliary transport involved in cilium assembly
Ssiderea049532	structural constituent of ribosome
Ssiderea009994	positive regulation of ubiquitin-dependent endocytosis
Ssiderea035674	cis-stilbene-oxide hydrolase activity
Ssiderea013179	methyltransferase like 13
Ssiderea62854	Ribonuclease H protein
Ssiderea056981	Obscurin
Ssiderea002179	erythroblast transformation specific domain
Ssiderea009595	G-protein coupled receptor activity
Ssiderea048320	Sidekick cell adhesion molecule
Ssiderea052825	G-protein coupled receptor activity
Ssiderea011481	Translin-associated factor X-interacting N-terminus
Ssiderea056500	isoleucyl-tRNA aminoacylation
Ssiderea011733	Carboxylesterase family
Ssiderea047672	Ammonium transporter
Ssiderea046607	GPALPP motifs containing 1
Ssiderea031951	UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide
Ssiderea049378	RDD family
Ssiderea031819	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity
Ssiderea015446	alpha-(1->3)-fucosyltransferase activity
Ssiderea021638	GTPase activity
Ssiderea037423	FAM76 protein
Ssiderea024586	Transmembrane amino acid transporter protein
Ssiderea005226	-
Ssiderea045199	ephrin receptor binding
Ssiderea039439	Ribosomal protein L14p/L23e
Ssiderea018272	G-protein coupled receptor activity
Ssiderea017222	Dynactin subunit 6
Ssiderea003566	Fz domain
Ssiderea034781	BIR domain binding
Ssiderea62140	Protein of unknown function (DUF640)
Ssiderea052208	coagulation factor V
Ssiderea019608	microtubule motor activity
Ssiderea048388	receptor 4
Ssiderea003685	-
Ssiderea018579	regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback
Ssiderea053530	Common central domain of tyrosinase
Ssiderea054652	complement activation, classical pathway
Ssiderea053787	voltage-gated calcium channel activity
Ssiderea015140	Fructosamine-3-kinase-related protein
Ssiderea054204	melatonin receptor activity
Ssiderea027037	ATPase activity, coupled to transmembrane movement of substances
Ssiderea014206	-
Ssiderea051056	citrate synthase
Ssiderea045568	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea032529	Tumor necrosis factor receptor superfamily member
Ssiderea013681	Interferon-induced transmembrane protein
Ssiderea052491	leucine binding
Ssiderea005920	calcium:sodium antiporter activity involved in regulation of cardiac muscle cell membrane potential
Ssiderea043577	Polycomb group ring finger
Ssiderea023014	cellular response to aldosterone
Ssiderea014142	stress-induced mitochondrial fusion
Ssiderea057298	CHAT domain
Ssiderea036681	regulation of mitotic cell cycle
Ssiderea000874	Transferase activity, transferring acyl groups other than amino-acyl groups
Ssiderea053713	protein disulfide isomerase activity
Ssiderea039326	branchiomeric skeletal muscle development
Ssiderea042432	Ricin-type beta-trefoil
Ssiderea009880	Golgi organization
Ssiderea001346	-
Ssiderea001487	-
Ssiderea042518	Tetratricopeptide repeat
Ssiderea053691	G-protein coupled receptor activity
Ssiderea025633	neurotransmitter:sodium symporter activity
Ssiderea025369	osmolarity-sensing cation channel activity
Ssiderea029940	myoblast differentiation
Ssiderea039000	antigen processing and presentation of exogenous peptide antigen via MHC class I
Ssiderea037760	Sulfotransferase family
Ssiderea031583	NFX1-type zinc finger-containing protein
Ssiderea051480	zinc ion binding
Ssiderea022546	Lysyl oxidase homolog 4
Ssiderea040944	fibroblast growth factor-activated receptor activity
Ssiderea005471	serine-type endopeptidase activity
Ssiderea021772	Glycosyl hydrolase family 9
Ssiderea047180	histidine N-acetyltransferase activity
Ssiderea047704	zinc ion binding
Ssiderea038390	recombination hotspot binding
Ssiderea045226	F-box-like
Ssiderea011759	acetylserotonin O-methyltransferase activity
Ssiderea004700	intracellular chloride channel activity
Ssiderea048186	polycystic kidney disease protein 1-like
Ssiderea048874	G/U mismatch-specific uracil-DNA glycosylase activity
Ssiderea019877	-
Ssiderea052881	Fibrinogen beta and gamma chains, C-terminal globular domain
Ssiderea018987	negative regulation of triglyceride biosynthetic process
Ssiderea013391	Lyase, catalytic
Ssiderea043821	complement activation
Ssiderea002481	Immunoglobulin C-2 Type
Ssiderea024813	glycine amidinotransferase
Ssiderea62421	K02A2.6-like
Ssiderea004032	inward rectifier potassium channel activity
Ssiderea051590	AMP-binding enzyme C-terminal domain
Ssiderea023709	chiasma assembly
Ssiderea008272	macromolecule localization
Ssiderea014620	nuclear migration
Ssiderea051680	DNA rewinding
Ssiderea003383	Vacuolar Protein
Ssiderea037958	metalloendopeptidase activity
Ssiderea023086	ankyrin repeats
Ssiderea057970	vacuolar proton-transporting V-type ATPase complex assembly
Ssiderea021863	regulation of mitotic cell cycle
Ssiderea051104	glycine biosynthetic process from serine
Ssiderea038346	15-hydroxyprostaglandin dehydrogenase (NADP+) activity
Ssiderea001081	NACHT and WD repeat
Ssiderea039675	regulation of CD40 signaling pathway
Ssiderea035320	Protein tyrosine kinase
Ssiderea024287	transmembrane transport
Ssiderea62553	ubiquitin protein ligase binding
Ssiderea051589	PFAM AMP-dependent synthetase and ligase
Ssiderea013496	intracellular chloride channel activity
Ssiderea003603	kinetochore binding
Ssiderea042806	L-methylmalonyl-CoA metabolic process
Ssiderea022320	fibroblast growth factor-activated receptor activity
Ssiderea028693	Solute carrier family 12
Ssiderea048031	cell-matrix adhesion
Ssiderea031164	negative regulation of axon extension involved in regeneration
Ssiderea048316	metalloendopeptidase activity
Ssiderea61751	tachykinin receptor activity
Ssiderea045265	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
Ssiderea016146	Extension to Ser/Thr-type protein kinases
Ssiderea010002	COPII-coated vesicle budding
Ssiderea59520	DNA-binding transcription factor activity, RNA polymerase II-specific
Ssiderea040148	acidic dipeptidase
Ssiderea042638	negative regulation of negative chemotaxis
Ssiderea057464	Patatin-like phospholipase
Ssiderea007857	Extracellular calcium-sensing receptor-like
Ssiderea59372	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea054236	calcium ion binding
Ssiderea057809	Ligand for members of the frizzled family of seven transmembrane receptors
Ssiderea052757	sperm flagellum movement
Ssiderea021201	activation of NF-kappaB-inducing kinase activity
Ssiderea006483	Rab guanyl-nucleotide exchange factor activity
Ssiderea015376	protein modification by small protein conjugation
Ssiderea037632	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Ssiderea60746	Sulfatase-modifying factor enzyme 1
Ssiderea047891	glutaredoxin-related protein 5
Ssiderea006129	7 transmembrane receptor (rhodopsin family)
Ssiderea057433	positive regulation of Arp2/3 complex-mediated actin nucleation
Ssiderea048812	superoxide-generating NADPH oxidase activator activity
Ssiderea040726	Ig-like domain on T-cell surface glycoprotein CD3 epsilon chain
Ssiderea025549	visual system homeobox 1
Ssiderea61520	G-protein coupled receptor activity
Ssiderea027368	Cofilin/tropomyosin-type actin-binding protein
Ssiderea008151	CD5 molecule-like
Ssiderea054670	peptidase inhibitor activity
Ssiderea025371	Ion transport protein
Ssiderea000931	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea032847	Mitochondrial ribosomal protein S36
Ssiderea027790	scavenger receptor activity
Ssiderea024808	RNA polymerase II proximal promoter sequence-specific DNA binding
Ssiderea037390	Synaptotagmin
Ssiderea029617	zonula adherens maintenance
Ssiderea019053	ligand-gated sodium channel activity
Ssiderea048484	negative regulation of cell proliferation
Ssiderea004406	cytolysis
Ssiderea034638	regulation of mitotic cell cycle
Ssiderea033378	mismatch repair
Ssiderea045218	negative regulation of Rho guanyl-nucleotide exchange factor activity
Ssiderea032609	G-protein coupled receptor activity
Ssiderea011511	potassium voltage-gated channel, subfamily H
Ssiderea027308	Toll-like receptor
Ssiderea026360	Von Willebrand factor A
