Siderastrea846961	K18663
Siderastrea392168	K04142
Siderastrea436028	K23234
Siderastrea420136	K00864
Siderastrea413160	K00477
Siderastrea430518	K15502
Siderastrea442200	K02583
Siderastrea339636	K10408
Siderastrea767540	K05665
Siderastrea443858	K11481
Siderastrea432027	K04919
Siderastrea442782	K12384
Siderastrea303212	K08635
Siderastrea404874	K03231
Siderastrea443590	K08342
Siderastrea447425	K18164
Siderastrea403915	K07375
Siderastrea277091	K06468
Siderastrea395188	K01672
Siderastrea425686	K00943
Siderastrea445042	K14616
Siderastrea418551	K14396
Siderastrea440482	K04160
Siderastrea227719	K10408
Siderastrea520451	K00854
Siderastrea363924	K04253
Siderastrea449839	K20363
Siderastrea445827	K11757
Siderastrea454096	K18598
Siderastrea36708	K12183
Siderastrea385076	K24936
Siderastrea440651	K08187
Siderastrea420035	K04892
Siderastrea418248	K02295
Siderastrea455895	K12604
Siderastrea403000	K00714
Siderastrea309579	K01547
Siderastrea448000	K24070
Siderastrea456048	K04362
Siderastrea445748	K05123
Siderastrea551090	K13126
Siderastrea454492	K03902
Siderastrea177296	K13499
Siderastrea810543	K08048
Siderastrea445116	K18258
Siderastrea440976	K24086
Siderastrea418531	K18201
Siderastrea451178	K14284
Siderastrea611160	K05038
Siderastrea128188	K23564
Siderastrea430326	K17341
Siderastrea262205	K18496
Siderastrea425528	K13047
Siderastrea213065	K24427
Siderastrea525843	K23327
Siderastrea443270	K01265
Siderastrea406184	K04914
Siderastrea424783	K24936
Siderastrea453223	K21767
Siderastrea442870	K01022
Siderastrea399569	K12828
Siderastrea435790	K02729
Siderastrea429101	K05695
Siderastrea369246	K01648
Siderastrea351577	K09849
Siderastrea431370	K10283
Siderastrea453720	K18405
Siderastrea445680	K00261
Siderastrea417467	K13302
Siderastrea266969	K10313
Siderastrea456656	K14717
Siderastrea436071	K12877
Siderastrea348568	K14072
Siderastrea848750	K02955
Siderastrea451032	K14453
Siderastrea446538	K06839
Siderastrea452060	K24936
Siderastrea291429	K07497
Siderastrea450140	K11323
Siderastrea130561	K09510
Siderastrea443932	K00142
Siderastrea449432	K11425
Siderastrea777994	K05853
Siderastrea447854	K16506
Siderastrea449411	K10642
Siderastrea828003	K12035
Siderastrea436553	K11990
Siderastrea450868	K00654
Siderastrea377358	K09608
Siderastrea448671	K17430
Siderastrea556024	K05665
Siderastrea857890	K05850
Siderastrea443413	K15544
Siderastrea426846	K22990
Siderastrea615669	K12856
Siderastrea445869	K01556
Siderastrea446581	K02214
Siderastrea348941	K11840
Siderastrea212925	K09876
Siderastrea761414	K03781
Siderastrea447585	K11252
Siderastrea371159	K12132
Siderastrea281932	K05502
Siderastrea456727	K23966
Siderastrea736890	K02540
Siderastrea340072	K23518
Siderastrea329895	K02894
Siderastrea438501	K11067
Siderastrea392081	K05969
Siderastrea443547	K15040
Siderastrea380031	K07409
Siderastrea448445	K03341
Siderastrea450303	K24155
Siderastrea537654	K02991
Siderastrea451258	K02608
Siderastrea319627	K24936
Siderastrea426214	K17583
Siderastrea430307	K14402
Siderastrea438940	K03175
Siderastrea700542	K10407
Siderastrea197098	K09580
Siderastrea410328	K19511
Siderastrea432619	K03691
Siderastrea441224	K14824
Siderastrea532896	K03030
Siderastrea434532	K15839
Siderastrea450644	K18932
Siderastrea445616	K02163
Siderastrea416959	K23093
Siderastrea491220	K11308
Siderastrea850558	K12854
Siderastrea451345	K10865
Siderastrea784215	K04499
Siderastrea443833	K24030
Siderastrea395429	K00264
Siderastrea843443	K00500
Siderastrea448338	K10300
Siderastrea415346	K06252
Siderastrea439632	K11303
Siderastrea223580	K08132
Siderastrea285366	K11592
Siderastrea446520	K01027
Siderastrea443074	K13145
Siderastrea91441	K08800
Siderastrea442911	K14567
Siderastrea438350	K02955
Siderastrea249118	K13750
Siderastrea22605	K01802
Siderastrea448472	K01900
Siderastrea430377	K24431
Siderastrea413240	K10799
Siderastrea453269	K01528
Siderastrea383340	K24835
Siderastrea253777	K07497
Siderastrea813850	K02155
Siderastrea443304	K10642
Siderastrea858109	K17592
Siderastrea443310	K08239
Siderastrea811778	K06825
Siderastrea435417	K04851
Siderastrea160303	K10420
Siderastrea435337	K23330
Siderastrea406860	K03575
Siderastrea324432	K06468
Siderastrea443498	K17499
Siderastrea271998	K02955
Siderastrea289093	K07374
Siderastrea443954	K03347
Siderastrea541617	K06910
Siderastrea433701	K07497
Siderastrea433268	K20803
Siderastrea300347	K05546
Siderastrea219431	K12196
Siderastrea452704	K05094
Siderastrea450499	K19759
Siderastrea449114	K04615
Siderastrea454833	K25668
Siderastrea456352	K09848
Siderastrea287721	K24646
Siderastrea423106	K05046
Siderastrea285264	K04563
Siderastrea402499	K22371
Siderastrea362118	K23905
Siderastrea183531	K11593
Siderastrea449718	K08515
Siderastrea420787	K17341
Siderastrea451708	K14072
Siderastrea889506	K03231
Siderastrea423845	K17300
Siderastrea280545	K25550
Siderastrea831801	K11836
Siderastrea684625	K11275
Siderastrea382669	K08024
Siderastrea453575	K18200
Siderastrea418867	K03136
Siderastrea419939	K03686
Siderastrea453142	K04984
Siderastrea439739	K07766
Siderastrea198092	K06252
Siderastrea448540	K01127
Siderastrea397393	K17941
Siderastrea449377	K24429
Siderastrea49503	K24272
Siderastrea429261	K06067
Siderastrea184102	K06793
Siderastrea440977	K04255
Siderastrea385452	K00128
Siderastrea413519	K10411
Siderastrea454379	K07497
Siderastrea448547	K17535
Siderastrea440325	K08035
Siderastrea450248	K13240
Siderastrea263532	K01365
Siderastrea179957	K20719
Siderastrea514287	K07305
Siderastrea450581	K10754
Siderastrea441064	K04887
Siderastrea442235	K23333
Siderastrea716258	K24936
Siderastrea401525	K08076
Siderastrea606132	K14808
Siderastrea448497	K10803
Siderastrea432022	K06094
Siderastrea549552	K12160
Siderastrea454578	K23048
Siderastrea196409	K00820
Siderastrea444156	K01456
Siderastrea433538	K05022
Siderastrea608235	K11251
Siderastrea449770	K08678
Siderastrea294778	K13596
Siderastrea84320	K01330
Siderastrea437537	K22017
Siderastrea411575	K04375
Siderastrea584900	K04393
Siderastrea52231	K02155
Siderastrea452908	K14309
Siderastrea355679	K03873
Siderastrea326927	K17592
Siderastrea449028	K25429
Siderastrea632332	K23901
Siderastrea454232	K03234
Siderastrea160955	K15620
Siderastrea424370	K02980
Siderastrea440461	K22696
Siderastrea405500	K09229
Siderastrea422291	K09228
Siderastrea857977	K10612
Siderastrea321627	K17263
Siderastrea453458	K26216
Siderastrea410421	K06711
Siderastrea411442	K08807
Siderastrea619880	K00789
Siderastrea218410	K04646
Siderastrea414225	K13024
Siderastrea454188	K13045
Siderastrea436482	K13248
Siderastrea772677	K03234
Siderastrea438462	K02366
Siderastrea449639	K04592
Siderastrea864534	K00166
Siderastrea445226	K04805
Siderastrea688535	K02266
Siderastrea405285	K08399
Siderastrea280645	K04345
Siderastrea401031	K08889
Siderastrea386078	K14445
Siderastrea429180	K00699
Siderastrea431912	K10443
Siderastrea450730	K04593
Siderastrea450242	K07955
Siderastrea397889	K03175
Siderastrea359394	K12820
Siderastrea445025	K03417
Siderastrea319771	K13912
Siderastrea651777	K08958
Siderastrea440067	K06711
Siderastrea444715	K07298
Siderastrea434991	K22790
Siderastrea442391	K04860
Siderastrea272904	K16353
Siderastrea398339	K06272
Siderastrea383180	K01672
Siderastrea422847	K04941
Siderastrea430093	K06254
Siderastrea275400	K14309
Siderastrea822203	K18469
Siderastrea418624	K00699
Siderastrea439240	K07426
Siderastrea188252	K11163
Siderastrea718240	K02370
Siderastrea447050	K23257
Siderastrea455742	K05695
Siderastrea402577	K08336
Siderastrea450292	K03066
Siderastrea871139	K00383
Siderastrea449084	K09646
Siderastrea451079	K17346
Siderastrea792253	K12184
Siderastrea308455	K09481
Siderastrea414341	K05052
Siderastrea418186	K12398
Siderastrea453709	K09093
Siderastrea440937	K01409
Siderastrea437903	K01562
Siderastrea441510	K11461
Siderastrea434613	K22614
Siderastrea269775	K10408
Siderastrea440207	K04397
Siderastrea423777	K07048
Siderastrea433976	K06683
Siderastrea456097	K18757
Siderastrea455166	K14457
Siderastrea385119	K24155
Siderastrea660465	K20465
Siderastrea228307	K11857
Siderastrea70226	K04646
Siderastrea432312	K24551
Siderastrea444455	K14774
Siderastrea634341	K02951
Siderastrea439399	K12172
Siderastrea427871	K10899
Siderastrea245096	K18384
Siderastrea424171	K02599
Siderastrea453903	K03768
Siderastrea454823	K10592
Siderastrea450812	K04615
Siderastrea420166	K04284
Siderastrea363450	K05658
Siderastrea741604	K06704
Siderastrea384868	K12164
Siderastrea332875	K14688
Siderastrea452549	K19870
Siderastrea333398	K13912
Siderastrea359434	K07192
Siderastrea450618	K05052
Siderastrea312138	K04307
Siderastrea429502	K10457
Siderastrea428843	K13178
Siderastrea558161	K13126
Siderastrea448408	K23893
Siderastrea450326	K03934
Siderastrea349022	K04393
Siderastrea315599	K04874
Siderastrea440898	K08271
Siderastrea884883	K01537
Siderastrea606858	K00344
Siderastrea455478	K08886
Siderastrea427762	K08268
Siderastrea421650	K09876
Siderastrea428149	K04591
Siderastrea434021	K04988
Siderastrea446979	K04967
Siderastrea215933	K02877
Siderastrea424913	K12483
Siderastrea272667	K03263
Siderastrea135969	K03062
Siderastrea228798	K04346
Siderastrea439555	K12035
Siderastrea135805	K06252
Siderastrea487009	K21797
Siderastrea445936	K18025
Siderastrea393704	K04989
Siderastrea209727	K09223
Siderastrea444989	K04914
Siderastrea448234	K23802
Siderastrea341861	K14072
Siderastrea305809	K01346
Siderastrea864923	K18274
Siderastrea451999	K01469
Siderastrea407192	K20865
Siderastrea434781	K15711
Siderastrea448079	K24392
Siderastrea348651	K04602
Siderastrea559163	K11517
Siderastrea443329	K04266
Siderastrea449424	K15029
Siderastrea450279	K24135
Siderastrea856171	K24437
Siderastrea453766	K24768
Siderastrea445815	K17254
Siderastrea326140	K12404
Siderastrea801543	K02256
Siderastrea434104	K23901
Siderastrea404389	K08886
Siderastrea438385	K09848
Siderastrea416890	K24469
Siderastrea449172	K11997
Siderastrea481354	K07374
Siderastrea251926	K25700
Siderastrea445642	K14416
Siderastrea304005	K18466
Siderastrea425204	K12827
Siderastrea402432	K04142
Siderastrea378613	K04984
Siderastrea452743	K11406
Siderastrea434628	K18274
Siderastrea388847	K24675
Siderastrea431290	K04157
Siderastrea875703	K24936
Siderastrea309323	K07497
Siderastrea452404	K11491
Siderastrea391207	K11161
Siderastrea227514	K10900
Siderastrea435858	K25292
Siderastrea428092	K24464
Siderastrea438365	K11320
Siderastrea415583	K04144
Siderastrea252386	K19937
Siderastrea448898	K17820
Siderastrea441933	K07937
Siderastrea223630	K24437
Siderastrea427751	K03440
Siderastrea870903	K04371
Siderastrea440811	K23965
Siderastrea365922	K19765
Siderastrea435848	K25102
Siderastrea740491	K01958
Siderastrea439888	K18328
Siderastrea449708	K08711
Siderastrea612963	K14950
Siderastrea317218	K03173
Siderastrea744816	K01893
Siderastrea442652	K24835
Siderastrea447668	K21421
Siderastrea442838	K17922
Siderastrea844309	K09496
Siderastrea439097	K14072
Siderastrea431681	K24431
Siderastrea420711	K08745
Siderastrea341351	K06252
Siderastrea433843	K16353
Siderastrea435979	K09035
Siderastrea443455	K09637
Siderastrea447284	K03654
Siderastrea441269	K00461
Siderastrea436379	K13863
Siderastrea441574	K07369
Siderastrea214968	K04367
Siderastrea450947	K14808
Siderastrea439623	K03099
Siderastrea226120	K10407
Siderastrea411012	K14942
Siderastrea717441	K02978
Siderastrea442492	K00546
Siderastrea442938	K15202
Siderastrea345574	K04437
Siderastrea433609	K10478
Siderastrea443510	K24936
Siderastrea52425	K04255
Siderastrea435087	K12654
Siderastrea121188	K04514
Siderastrea410006	K02259
Siderastrea442713	K09867
Siderastrea449150	K11498
Siderastrea416153	K16857
Siderastrea446564	K00710
Siderastrea450360	K11994
Siderastrea415029	K00228
Siderastrea644866	K03231
Siderastrea399638	K10446
Siderastrea449179	K10380
Siderastrea432613	K04233
Siderastrea715471	K02974
Siderastrea376273	K01565
Siderastrea729854	K08064
Siderastrea536918	K09516
Siderastrea437761	K07232
Siderastrea409643	K24680
Siderastrea451795	K05931
Siderastrea661193	K12834
Siderastrea433868	K10642
Siderastrea425637	K23318
Siderastrea420395	K15261
Siderastrea405689	K14638
Siderastrea45965	K02599
Siderastrea439062	K09035
Siderastrea450886	K14428
Siderastrea446643	K13982
Siderastrea315623	K15255
Siderastrea450609	K01316
Siderastrea300846	K16353
Siderastrea779291	K14163
Siderastrea236114	K19985
Siderastrea293445	K10407
Siderastrea592614	K11252
Siderastrea818986	K09172
Siderastrea445615	K23439
Siderastrea411465	K18622
Siderastrea412345	K00274
Siderastrea313807	K17495
Siderastrea873815	K11254
Siderastrea439516	K09608
Siderastrea348280	K24936
Siderastrea415214	K15901
Siderastrea24613	K03768
Siderastrea453230	K22754
Siderastrea376202	K12647
Siderastrea393049	K16660
Siderastrea645662	K17255
Siderastrea451192	K04437
Siderastrea450584	K10366
Siderastrea470408	K10843
Siderastrea425240	K05692
Siderastrea319194	K01365
Siderastrea35737	K15837
Siderastrea431360	K04223
Siderastrea51851	K02730
Siderastrea445951	K10362
Siderastrea776261	K09497
Siderastrea453555	K12076
Siderastrea455602	K24938
Siderastrea450435	K00635
Siderastrea539884	K10415
Siderastrea440262	K16175
Siderastrea415427	K00902
Siderastrea447570	K04163
Siderastrea440040	K23092
Siderastrea392772	K11997
Siderastrea290766	K06792
Siderastrea677182	K01915
Siderastrea431855	K08076
Siderastrea804151	K10355
Siderastrea298930	K05672
Siderastrea399006	K04141
Siderastrea396608	K01135
Siderastrea413156	K03648
Siderastrea263700	K00934
Siderastrea454981	K25202
Siderastrea439239	K08132
Siderastrea329736	K17346
Siderastrea136381	K00261
Siderastrea444770	K15182
Siderastrea398248	K12035
Siderastrea281135	K19882
Siderastrea308382	K18263
Siderastrea443611	K20994
Siderastrea454134	K04514
Siderastrea97137	K05955
Siderastrea26998	K05673
Siderastrea445271	K10772
Siderastrea436566	K03035
Siderastrea539791	K01764
Siderastrea428181	K12751
Siderastrea545151	K08638
Siderastrea413287	K12035
Siderastrea453419	K19511
Siderastrea359478	K10408
Siderastrea421157	K19347
Siderastrea518097	K14455
Siderastrea201118	K24437
Siderastrea209890	K05673
Siderastrea416463	K07140
Siderastrea359547	K16531
Siderastrea353197	K14638
Siderastrea421484	K17267
Siderastrea414958	K09640
Siderastrea431075	K16506
Siderastrea341616	K26101
Siderastrea373359	K25709
Siderastrea377013	K07497
Siderastrea701893	K00254
Siderastrea547518	K07497
Siderastrea594514	K01769
Siderastrea209929	K16466
Siderastrea565442	K06252
Siderastrea450859	K13240
Siderastrea452937	K00698
Siderastrea182056	K13912
Siderastrea298658	K02958
Siderastrea449998	K11833
Siderastrea445595	K15837
Siderastrea431025	K20795
Siderastrea346115	K14072
Siderastrea440113	K15048
Siderastrea875948	K09580
Siderastrea347403	K10461
Siderastrea455951	K15259
Siderastrea308088	K15837
Siderastrea296050	K06252
Siderastrea366882	K12836
Siderastrea851328	K00234
Siderastrea450728	K15261
Siderastrea814040	K11434
Siderastrea445581	K22647
Siderastrea438404	K04354
Siderastrea328799	K10408
Siderastrea444109	K02374
Siderastrea685323	K01081
Siderastrea439966	K03061
Siderastrea447565	K17951
Siderastrea402105	K08770
Siderastrea826823	K00049
Siderastrea435144	K10874
Siderastrea449796	K06636
Siderastrea54837	K09228
Siderastrea442343	K06129
Siderastrea734792	K04559
Siderastrea434960	K06252
Siderastrea385874	K02432
Siderastrea208933	K01110
Siderastrea911787	K20996
Siderastrea798117	K02877
Siderastrea438340	K12035
Siderastrea419190	K12021
Siderastrea451349	K17592
Siderastrea394509	K09267
Siderastrea856333	K17065
Siderastrea775337	K18384
Siderastrea455464	K20099
Siderastrea423442	K12229
Siderastrea436981	K19983
Siderastrea408456	K07497
Siderastrea378580	K16307
Siderastrea445321	K20125
Siderastrea412042	K11660
Siderastrea533996	K00500
Siderastrea421597	K17341
Siderastrea446693	K23334
Siderastrea873981	K19755
Siderastrea892031	K13303
Siderastrea369089	K20994
Siderastrea521247	K11253
Siderastrea434176	K12820
Siderastrea373614	K07844
Siderastrea449876	K13616
Siderastrea427558	K13023
Siderastrea444067	K03875
Siderastrea455961	K06052
Siderastrea321544	K02973
Siderastrea131972	K11150
Siderastrea451132	K07422
Siderastrea287759	K16669
Siderastrea412580	K12734
Siderastrea453749	K21548
Siderastrea213941	K06841
Siderastrea414996	K24425
Siderastrea334202	K04348
Siderastrea319071	K11253
Siderastrea433952	K02183
Siderastrea413273	K06841
Siderastrea178598	K08770
Siderastrea36571	K04634
Siderastrea137485	K01179
Siderastrea445326	K26236
Siderastrea427335	K04967
Siderastrea173617	K03165
Siderastrea379364	K15255
Siderastrea447769	K13444
Siderastrea452884	K20284
Siderastrea372187	K08894
Siderastrea456755	K11997
Siderastrea441354	K23583
Siderastrea428570	K04135
Siderastrea622093	K03006
Siderastrea366249	K09073
Siderastrea439237	K19619
Siderastrea378745	K10413
Siderastrea437765	K06711
Siderastrea336529	K16669
Siderastrea416965	K11831
Siderastrea433472	K03929
Siderastrea314414	K09214
Siderastrea441806	K08991
Siderastrea443596	K14168
Siderastrea451052	K21952
Siderastrea441199	K07436
Siderastrea432515	K09228
Siderastrea472194	K01698
Siderastrea417303	K03255
Siderastrea430153	K25421
Siderastrea87318	K26101
Siderastrea437236	K00654
Siderastrea257508	K04602
Siderastrea364209	K20994
Siderastrea389890	K22991
Siderastrea450392	K10349
Siderastrea355655	K24431
Siderastrea431922	K06252
Siderastrea314547	K25168
Siderastrea436191	K08187
Siderastrea440794	K11275
Siderastrea443644	K13443
Siderastrea342988	K05673
Siderastrea918550	K06630
Siderastrea443255	K06773
Siderastrea418476	K06767
Siderastrea435663	K09657
Siderastrea427618	K04144
Siderastrea508390	K06630
Siderastrea431405	K19363
Siderastrea640171	K00341
Siderastrea418925	K03068
Siderastrea452808	K00121
Siderastrea228513	K15839
Siderastrea429030	K04362
Siderastrea454020	K23501
Siderastrea430600	K03902
Siderastrea62222	K17592
Siderastrea445304	K03174
Siderastrea419403	K25872
Siderastrea419874	K05402
Siderastrea281778	K06841
Siderastrea427836	K04150
Siderastrea407563	K03068
Siderastrea462409	K17260
Siderastrea434527	K19360
Siderastrea417735	K05751
Siderastrea357477	K11182
Siderastrea431846	K00753
Siderastrea129489	K01324
Siderastrea198095	K06067
Siderastrea381236	K04362
Siderastrea687812	K02728
Siderastrea238805	K10104
Siderastrea400137	K07380
Siderastrea454084	K12948
Siderastrea439168	K24835
Siderastrea453625	K00728
Siderastrea435181	K23552
Siderastrea319897	K26141
Siderastrea566192	K07889
Siderastrea614326	K20792
Siderastrea879310	K01889
Siderastrea861488	K02941
Siderastrea764912	K03164
Siderastrea454864	K04967
Siderastrea490980	K17301
Siderastrea452273	K05546
Siderastrea420096	K11731
Siderastrea808541	K04354
Siderastrea438936	K00699
Siderastrea445406	K10276
Siderastrea686537	K07374
Siderastrea420512	K12179
Siderastrea868338	K04536
Siderastrea314646	K25168
Siderastrea403564	K01365
Siderastrea715548	K00324
Siderastrea603659	K05665
Siderastrea423031	K05034
Siderastrea450736	K19398
Siderastrea438446	K23342
Siderastrea435357	K00742
Siderastrea455061	K17916
Siderastrea424096	K02599
Siderastrea433287	K01480
Siderastrea450640	K05330
Siderastrea442290	K19499
Siderastrea454852	K09377
Siderastrea447248	K06252
Siderastrea177888	K03963
Siderastrea449103	K24929
Siderastrea807129	K05692
Siderastrea451157	K23113
Siderastrea298913	K04143
Siderastrea47107	K04393
Siderastrea391603	K17260
Siderastrea800061	K05954
Siderastrea357831	K02155
Siderastrea429941	K02876
Siderastrea429728	K17778
Siderastrea312147	K02893
Siderastrea405743	K08375
Siderastrea456474	K09848
Siderastrea363407	K06768
Siderastrea432180	K11418
Siderastrea436592	K01142
Siderastrea418997	K12893
Siderastrea431603	K18849
Siderastrea451675	K10457
Siderastrea423800	K12198
Siderastrea454176	K12867
Siderastrea287161	K13912
Siderastrea602761	K05863
Siderastrea411001	K13649
Siderastrea523466	K02930
Siderastrea438377	K24936
Siderastrea444988	K10393
Siderastrea748945	K07861
Siderastrea490657	K15837
Siderastrea435020	K06494
Siderastrea448643	K05034
Siderastrea406813	K23342
Siderastrea424547	K01872
Siderastrea455564	K07497
Siderastrea292921	K07897
Siderastrea454457	K08991
Siderastrea380159	K04267
Siderastrea480678	K05692
Siderastrea454317	K07497
Siderastrea342213	K02947
Siderastrea417006	K15074
Siderastrea869678	K02995
Siderastrea319641	K06114
Siderastrea233780	K10408
