Ssiderea250769	tRNA guanylyltransferase activity
Ssiderea220825	TLR4 regulator and MIR-interacting MSAP
Ssiderea248478	-
Ssiderea254408	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain
Ssiderea250031	Protein of unknown function (DUF1358)
Ssiderea270438	ATP-dependent RNA helicase
Ssiderea232972	N-terminal peptidyl-glutamic acid acetylation
Ssiderea173985	rRNA (adenine-N6,N6-)-dimethyltransferase activity
Ssiderea227720	effector protein 1
Ssiderea248392	inositol hexakisphosphate binding
Ssiderea256987	negative regulation of cellular pH reduction
Ssiderea270415	-
Ssiderea239909	negative regulation of apoptotic process involved in outflow tract morphogenesis
Ssiderea232452	scavenger receptor activity
Ssiderea243441	adenylate cyclase-activating G-protein coupled receptor signaling pathway
Ssiderea269601	negative regulation of transcription, DNA-templated
Ssiderea224768	AP-2 adaptor complex binding
Ssiderea250107	regulation of vesicle fusion
Ssiderea500121	multicellular organism development
Ssiderea243545	Belongs to the imidazoleglycerol-phosphate dehydratase family
Ssiderea218550	regulation of response to stimulus
Ssiderea252949	Belongs to the glycosyl hydrolase 13 family
Ssiderea266537	Kinase-like
Ssiderea252224	protein transport
Ssiderea259748	pericentric heterochromatin assembly
Ssiderea235935	dual specificity phosphatase 11 (RNA RNP complex 1-interacting)
Ssiderea230628	mesenchymal cell apoptotic process
Ssiderea229967	DNA synthesis involved in double-strand break repair via homologous recombination
Ssiderea261884	ribosomal large subunit assembly
Ssiderea255862	NEUZ
Ssiderea410087	thyroid hormone transmembrane transporter activity
Ssiderea266138	organic anion transmembrane transporter activity
Ssiderea253091	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
Ssiderea265132	neurotrophin receptor activity
Ssiderea224924	regulation of response to stimulus
Ssiderea191219	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea246533	primary miRNA processing
Ssiderea235687	protein serine/threonine kinase activity
Ssiderea222477	Arylsulfatase
Ssiderea373582	Serine-threonine protein phosphatase N-terminal domain
Ssiderea248175	homolog, subfamily C, member 22
Ssiderea269987	Transmembrane protein 145
Ssiderea255643	Collagen triple helix
Ssiderea241633	chromatin silencing at telomere
Ssiderea243276	Ankyrin repeats (3 copies)
Ssiderea255452	JUN kinase kinase kinase activity
Ssiderea263155	Belongs to the class-I aminoacyl-tRNA synthetase family
Ssiderea259146	Store-operated calcium entry-associated regulatory factor
Ssiderea256658	WD repeat-containing protein
Ssiderea251086	epoxide hydrolase activity
Ssiderea254915	organic anion transmembrane transporter activity
Ssiderea243866	Belongs to the MCM family
Ssiderea248547	Von Willebrand factor A
Ssiderea232942	voltage-gated sodium channel activity
Ssiderea153835	lens fiber cell differentiation
Ssiderea246707	WD domain, G-beta repeat
Ssiderea256947	ubiquitin-dependent ERAD pathway
Ssiderea260224	frizzled binding
Ssiderea201043	fibroblast growth factor-activated receptor activity
Ssiderea253633	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit
Ssiderea251064	Reticulon
Ssiderea239792	Domain of unknown function (DUF4062)
Ssiderea241074	Ankyrin repeat domain-containing protein 53
Ssiderea263029	soluble NSF attachment protein activity
Ssiderea243662	histone deubiquitination
Ssiderea463680	metalloendopeptidase activity
Ssiderea259656	Putative peptidase family
Ssiderea216017	dipeptidase activity
Ssiderea204125	G8
Ssiderea248849	Transmembrane amino acid transporter protein
Ssiderea258987	G-protein coupled receptor activity
Ssiderea251276	positive regulation of interleukin-4-mediated signaling pathway
Ssiderea246415	phosphoenolpyruvate carboxykinase activity
Ssiderea208808	ATP-binding cassette, sub-family C (CFTR MRP), member 4
Ssiderea456471	Belongs to the helicase family. RecQ subfamily
Ssiderea270634	cytoplasmic sequestering of NF-kappaB
Ssiderea256460	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
Ssiderea232199	autophagy of peroxisome
Ssiderea243016	Pyruvate formate lyase-like
Ssiderea266122	May act as a scaffolding protein within caveolar membranes. Interacts directly with G-protein alpha subunits and can functionally regulate their activity
Ssiderea269984	Protein of unknown function (DUF1349)
Ssiderea263204	Alcohol dehydrogenase GroES-like domain
Ssiderea263014	Solute carrier family 13
Ssiderea220012	appendage morphogenesis
Ssiderea258628	Pleckstrin homology domain.
Ssiderea52140	nucleic acid-templated transcription
Ssiderea244386	Sacsin-like
Ssiderea256875	transcription initiation from RNA polymerase II promoter
Ssiderea265475	Calreticulin
Ssiderea246838	RNA helicase activity
Ssiderea252234	manganese ion binding
Ssiderea269653	GTPase activator activity
Ssiderea232237	Putative cyclase
Ssiderea258433	protein modification by small protein conjugation
Ssiderea262138	Solute carrier family 12
Ssiderea265782	-
Ssiderea225274	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea239424	guanyl-nucleotide exchange factor activity
Ssiderea237790	Transmembrane protease serine
Ssiderea157100	regulation of canonical Wnt signaling pathway involved in osteoblast differentiation
Ssiderea239024	Dehydrogenase reductase SDR family member
Ssiderea255597	hydrolase activity
Ssiderea250229	non-membrane spanning protein tyrosine kinase activity
Ssiderea173757	major facilitator superfamily
Ssiderea270779	Golgi apparatus protein
Ssiderea203013	PHR domain
Ssiderea559606	frizzled binding
Ssiderea238638	Regulation of nuclear pre-mRNA domain-containing protein
Ssiderea246444	GPALPP motifs containing 1
Ssiderea255094	L-threonine 3-dehydrogenase
Ssiderea207713	negative regulation of citrulline biosynthetic process
Ssiderea245330	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein
Ssiderea223052	ribosomal small subunit export from nucleus
Ssiderea230417	double-stranded DNA 3'-5' exodeoxyribonuclease activity
Ssiderea250271	receptor localization to synapse
Ssiderea233756	ubiquitin-like protein ligase activity
Ssiderea226279	inner cell mass cell proliferation
Ssiderea266654	elongator acetyltransferase complex subunit 4
Ssiderea269538	Ribonuclease H protein
Ssiderea263505	Belongs to the protein kinase superfamily. Tyr protein kinase family. CSF-1 PDGF receptor subfamily
Ssiderea264840	response to hypoxia
Ssiderea261219	non-membrane spanning protein tyrosine kinase activity
Ssiderea225341	Uncharacterized conserved domain (SAYSvFN)
Ssiderea238138	Belongs to the DEAD box helicase family
Ssiderea252863	calcium-dependent cysteine-type endopeptidase activity
Ssiderea234719	inhibitory protein 1
Ssiderea269191	cytoplasmic translational termination
Ssiderea265154	Cytoplasmic polyadenylation element binding protein
Ssiderea207984	acetylcholine-gated cation-selective channel activity
Ssiderea241232	Twist family bHLH transcription factor
Ssiderea221406	Short gastrulation Source FlyBase
Ssiderea264402	microtubule motor activity
Ssiderea254771	ATPase activity, coupled to transmembrane movement of substances
Ssiderea268510	glycosyl transferase
Ssiderea201373	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea241712	Converts sphingomyelin to ceramide
Ssiderea248040	TRAF-type zinc finger
Ssiderea262765	protein-glutamine gamma-glutamyltransferase activity
Ssiderea222169	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea268157	trypsinogen activation
Ssiderea220409	scavenger receptor activity
Ssiderea265503	Si dkey-243i1.1
Ssiderea190999	DNA (cytosine-5-)-methyltransferase activity
Ssiderea252039	cytochrome-b5 reductase activity, acting on NAD(P)H
Ssiderea213225	Centromere kinetochore component CENP-T histone fold
Ssiderea245167	Glutamate-rich 3
Ssiderea250483	SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member
Ssiderea266067	embryonic ectodermal digestive tract development
Ssiderea269477	transmembrane transport
Ssiderea263176	RNA secondary structure unwinding
Ssiderea257671	acid phosphatase activity
Ssiderea247467	Amiloride-sensitive sodium channel
Ssiderea219308	Serine threonine-protein phosphatase PP2A catalytic subunit
Ssiderea241199	protein serine/threonine phosphatase activity
Ssiderea206356	Endonuclease/Exonuclease/phosphatase family
Ssiderea220720	protein tyrosine phosphatase activity
Ssiderea254349	Coiled-coil domain-containing protein 62
Ssiderea266033	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Ssiderea204945	negative regulation of inclusion body assembly
Ssiderea9050	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
Ssiderea465773	Domain of unknown function (DUF1986)
Ssiderea237876	Transient receptor potential cation channel subfamily M member
Ssiderea237279	DNA ligation involved in DNA recombination
Ssiderea241997	snRNA export from nucleus
Ssiderea264107	macrophage erythroblast attacher
Ssiderea195679	neuropeptide Y receptor activity
Ssiderea264389	GTP binding. It is involved in the biological process described with
Ssiderea232789	ribosomal small subunit assembly
Ssiderea259673	cytochrome-b5 reductase activity, acting on NAD(P)H
Ssiderea260670	Caspase domain
Ssiderea249775	heme binding
Ssiderea208264	rRNA binding. It is involved in the biological process described with translation
Ssiderea438099	Belongs to the peptidase S10 family
Ssiderea204384	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea470954	metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis
Ssiderea269012	Ribonuclease H protein
Ssiderea227611	metallocarboxypeptidase activity
Ssiderea193238	cysteine-type endopeptidase activity
Ssiderea262208	Serine threonine kinase 36 (fused homolog, Drosophila)
Ssiderea388882	ribosomal protein
Ssiderea225606	Calcium-binding protein
Ssiderea224889	deoxyribonuclease inhibitor activity
Ssiderea262659	protein autoubiquitination
Ssiderea214317	methyltransferase activity
Ssiderea245094	alpha-L-fucosidase activity
Ssiderea222994	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2-like
Ssiderea268497	protein localization to nuclear inner membrane
Ssiderea256701	acetyl-CoA hydrolase activity
Ssiderea239307	Domain of unknown function (DUF4464)
Ssiderea255605	Ubiquitin-conjugating enzyme
Ssiderea80951	MAM domain containing 4
Ssiderea247799	CARMIL C-terminus
Ssiderea508818	dynactin binding
Ssiderea242908	structural constituent of ribosome
Ssiderea260748	7S RNA binding
Ssiderea255883	nucleotide-excision repair, DNA gap filling
Ssiderea426669	calcium-dependent cysteine-type endopeptidase activity
Ssiderea228069	extracellularly glycine-gated chloride channel activity
Ssiderea245131	deoxyribonucleoside 5'-monophosphate N-glycosidase activity
Ssiderea256747	eukaryotic translation initiation factor
Ssiderea271308	Belongs to the adenylyl cyclase class-4 guanylyl cyclase family
Ssiderea268016	sequestering of actin monomers
Ssiderea229536	Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2 ). Among the enzymes to be stimulated by the calmodulin-Ca(2 ) complex are a number of protein kinases and phosphatases
Ssiderea37695	Domain of Unknown Function (DUF913)
Ssiderea230908	Ceramide synthase
Ssiderea271370	Belongs to the sterol desaturase family
Ssiderea262221	positive regulation of DNA-templated transcription, elongation
Ssiderea233337	Ion channel regulatory protein UNC-93
Ssiderea224948	Belongs to the cysteine synthase cystathionine beta- synthase family
Ssiderea236190	trans-hexaprenyltranstransferase activity
Ssiderea222590	acyl-CoA dehydrogenase
Ssiderea237368	Leg1
Ssiderea256420	positive regulation of transcription elongation from RNA polymerase II promoter
Ssiderea264953	Transducin beta-like
Ssiderea271043	helicase activity
Ssiderea254096	methyltransferase involved in the processing of the 34S pre-rRNA to 18S rRNA and in 40S ribosomal subunit formation
Ssiderea255115	transcription corepressor binding
Ssiderea270916	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea259783	zinc ion binding
Ssiderea232443	chromatin remodeling
Ssiderea226451	intraflagellar transport
Ssiderea253132	metalloendopeptidase activity
Ssiderea235034	Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
Ssiderea233868	DNA repair
Ssiderea224945	methylation-dependent chromatin silencing
Ssiderea255757	nucleic acid-templated transcription
Ssiderea261665	nervous system development
Ssiderea269246	benzodiazepine receptor binding
Ssiderea163934	gamma-aminobutyric acid type B receptor subunit
Ssiderea161179	tachykinin receptor activity
Ssiderea250962	dual serine threonine and tyrosine protein
Ssiderea241435	Leucine-rich repeat
Ssiderea10341	enzyme 1
Ssiderea248294	structural constituent of cytoskeleton
Ssiderea271503	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea257140	Belongs to the protein kinase superfamily. AGC Ser Thr protein kinase family. GPRK subfamily
Ssiderea259607	phenylalanyl-tRNA aminoacylation
Ssiderea253985	lipoprotein receptor
Ssiderea258017	cytoskeletal anchoring at plasma membrane
Ssiderea194293	Belongs to the argonaute family
Ssiderea48106	glutathione hydrolase activity
Ssiderea238018	fatty-acyl-CoA binding
Ssiderea248247	motor activity
Ssiderea238333	positive regulation of proteasomal protein catabolic process
Ssiderea248669	agmatinase activity
Ssiderea261624	mediator complex binding
Ssiderea246357	mfs general substrate transporter
Ssiderea245819	tachykinin receptor activity
Ssiderea251577	ATP-grasp domain
Ssiderea250658	proteasome regulatory particle assembly
Ssiderea247516	heme binding
Ssiderea267067	Protein SSUH2 homolog
Ssiderea256330	glutamate-cysteine ligase
Ssiderea194569	Fanconi anemia
Ssiderea251981	Epithelial cell transforming 2
Ssiderea206899	regulation of protein serine/threonine phosphatase activity
Ssiderea237087	oxidoreductase activity, acting on NAD(P)H
Ssiderea559330	thick ascending limb development
Ssiderea263303	serine transport
Ssiderea270735	COMM domain-containing protein 10
Ssiderea230923	serine-type endopeptidase inhibitor activity
Ssiderea255419	complement component C4b binding
Ssiderea261586	-
Ssiderea269636	ATP-dependent serine protease that mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides as well as certain short-lived regulatory proteins in the mitochondrial matrix. May also have a chaperone function in the assembly of inner membrane protein complexes. Participates in the regulation of mitochondrial gene expression and in the maintenance of the integrity of the mitochondrial genome. Binds to mitochondrial
Ssiderea260509	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Ssiderea240288	ATP binding. It is involved in the biological process described with protein phosphorylation
Ssiderea203670	serine-type endopeptidase activity
Ssiderea263347	K02A2.6-like
Ssiderea176978	pogo transposable element with KRAB domain
Ssiderea65067	voltage-gated sodium channel activity
Ssiderea256210	deoxyribose-phosphate aldolase activity
Ssiderea926	ATPase activity, coupled to transmembrane movement of substances
Ssiderea223828	Myosin, light
Ssiderea247459	Cupin-like domain
Ssiderea93372	Domain of unknown function (DUF4580)
Ssiderea134876	ISXO2-like transposase domain
Ssiderea256633	X-Pro dipeptidyl-peptidase (S15 family)
Ssiderea250464	Matrix metalloproteinase-20
Ssiderea108641	SDA1 domain containing 1
Ssiderea239931	Cathepsin propeptide inhibitor domain (I29)
Ssiderea250447	positive regulation of DNA demethylation
Ssiderea263480	manganese ion binding
Ssiderea253584	Chibby homolog 1
Ssiderea243753	atrioventricular node cell fate commitment
Ssiderea267895	positive regulation of protein localization to cilium
Ssiderea216945	Fibrinogen-related domains (FReDs)
Ssiderea243045	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
Ssiderea268899	Corticosteroid 11-beta-dehydrogenase isozyme 1
Ssiderea269624	Ion transport protein
Ssiderea264761	GTPase activator activity
Ssiderea262503	methylcrotonoyl-CoA carboxylase activity
Ssiderea256544	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH
Ssiderea307978	rubisco activase
Ssiderea239113	Universal stress protein family
Ssiderea232699	ubiquitin protein ligase binding
Ssiderea263194	G-protein coupled receptor activity
Ssiderea232514	monoubiquitinated histone deubiquitination
Ssiderea266385	RNA polymerase II core promoter sequence-specific DNA binding
Ssiderea259818	Belongs to the G-protein coupled receptor 2 family
Ssiderea8937	ion transport
Ssiderea267460	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
Ssiderea192823	Galactose-3-O-sulfotransferase
Ssiderea210446	oxidoreductase activity
Ssiderea239911	positive regulation of brown fat cell proliferation
Ssiderea230283	negative regulation of zinc ion transmembrane import
Ssiderea271717	Ribonuclease H protein
Ssiderea270139	EF-hand domain pair
Ssiderea264266	Stabilin
Ssiderea252584	Glycerophosphoryl diester phosphodiesterase family
Ssiderea246584	positive regulation of sister chromatid cohesion
Ssiderea268932	Enoyl-(Acyl carrier protein) reductase
Ssiderea234738	Pyroglutamyl-peptidase
Ssiderea234512	cyclin-dependent kinase inhibitor 1B
Ssiderea250778	nuclear transport
Ssiderea246313	regulation of chromosome separation
Ssiderea271876	protein phosphatase, EF-hand calcium binding domain
Ssiderea215450	K02A2.6-like
Ssiderea257336	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
Ssiderea252316	ephrin receptor activity
Ssiderea244902	poly(A)-specific ribonuclease (PARN)-like
Ssiderea252892	G-protein coupled receptor activity
Ssiderea253556	Transposase IS4
Ssiderea266554	Beta-lactamase
Ssiderea304605	Protein tyrosine kinase
Ssiderea253375	Protein similar to CwfJ C-terminus 1
Ssiderea256597	PDZ domain
Ssiderea243478	Involved in the maturation of specific proteins in the endoplasmic reticulum
Ssiderea248936	positive regulation of ubiquitin-dependent endocytosis
Ssiderea240226	ephrin receptor activity
Ssiderea258088	rRNA (guanine-N7)-methylation
Ssiderea253731	trophectodermal cell differentiation
Ssiderea233646	GTPase of unknown function C-terminal
Ssiderea253182	monocarboxylate transporter
Ssiderea256850	7 transmembrane receptor (Secretin family)
Ssiderea241816	Belongs to the cytochrome P450 family
Ssiderea231723	LON peptidase N-terminal domain and RING finger
Ssiderea247999	Leucine-rich repeats, outliers
Ssiderea222543	ELMO/CED-12 family
Ssiderea259850	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea254441	cGMP-dependent protein kinase activity
Ssiderea222106	cellular macromolecule catabolic process
Ssiderea55491	TNF receptor-associated factor
Ssiderea231962	DNA strand elongation involved in nuclear cell cycle DNA replication
Ssiderea234067	ring finger and CHY zinc finger
Ssiderea33140	Heat shock 70 kDa protein, mitochondrial
Ssiderea230716	BLOC-2 complex binding
Ssiderea252495	DUF1741
Ssiderea254929	A-type (transient outward) potassium channel activity
Ssiderea239571	voltage-gated sodium channel activity
Ssiderea233388	N-acetylglucosamine 6-O-sulfotransferase activity
Ssiderea244570	transcription initiation from RNA polymerase III promoter
Ssiderea259633	L-iditol 2-dehydrogenase activity
Ssiderea317330	Domain in meprin, A5, receptor protein tyrosine phosphatase mu (and others)
Ssiderea222207	CHAT domain
Ssiderea226087	ATPase activity, coupled to transmembrane movement of substances
Ssiderea230300	Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
Ssiderea48278	protein transport
Ssiderea269966	beta-galactosidase activity
Ssiderea267844	mRNA transport
Ssiderea260956	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Ssiderea146267	Belongs to the peptidase M10A family
Ssiderea264409	Dehydrogenase reductase SDR family member
Ssiderea246067	maltose alpha-glucosidase activity
Ssiderea228882	translation elongation factor activity
Ssiderea257650	Caspase domain
Ssiderea205927	-
Ssiderea251850	negative regulation of histone H3-K9 acetylation
Ssiderea264127	endosomal vesicle fusion
Ssiderea257515	alcohol-forming fatty acyl-CoA reductase activity
Ssiderea308015	myosin light chain kinase activity
Ssiderea249245	spermine synthase
Ssiderea229393	positive regulation of DNA-directed DNA polymerase activity
Ssiderea257814	acetate-CoA ligase activity
Ssiderea266250	DBH-like monooxygenase protein 1
Ssiderea226352	BRISC and BRCA1-A complex member
Ssiderea266278	K02A2.6-like
Ssiderea14902	7 transmembrane receptor (rhodopsin family)
Ssiderea236916	C2 domain-containing protein
Ssiderea147864	calcium, potassium:sodium antiporter activity
Ssiderea265969	positive regulation of TOR signaling
Ssiderea253475	HMGL-like
Ssiderea230077	regulation of glucose import
Ssiderea248526	Transcription factor
Ssiderea244713	Tctex-1 family
Ssiderea82564	Dynein, axonemal, heavy chain 9
Ssiderea261149	ubiquitin-like protein-specific protease activity
Ssiderea158830	Endonuclease/Exonuclease/phosphatase family
Ssiderea248389	metal ion binding
Ssiderea258136	5-oxoprolinase (ATP-hydrolyzing) activity
Ssiderea270826	smoothened signaling pathway involved in ventral spinal cord interneuron specification
Ssiderea235184	nickel cation binding
Ssiderea198496	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Ssiderea232100	calcium ion binding
Ssiderea203874	low-density lipoprotein particle receptor activity
Ssiderea225687	chromatin remodeling
Ssiderea244406	protein-arginine omega-N asymmetric methyltransferase activity
Ssiderea218590	cell cycle DNA replication termination
Ssiderea161056	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea258391	cytidylate kinase activity
Ssiderea226723	Folate receptor family
Ssiderea263251	establishment or maintenance of actin cytoskeleton polarity
Ssiderea231222	Meprin A
Ssiderea239681	ubiquitin-like protein ligase activity
Ssiderea263127	Protein tyrosine phosphatase, receptor type F
Ssiderea253563	Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase
Ssiderea227869	type B pancreatic cell proliferation
Ssiderea267665	K02A2.6-like
Ssiderea258135	Ribosomal protein S16
Ssiderea249412	retinol dehydrogenase activity
Ssiderea242755	GXGXG motif
Ssiderea250305	phosphatidylinositol transfer protein
Ssiderea250750	Gamma-glutamyltranspeptidase 2-like
Ssiderea222104	L27 domain binding
Ssiderea242540	carbohydrate binding
Ssiderea264134	Kelch motif
Ssiderea241035	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase
Ssiderea259168	Spermatogenesis-associated protein 5-like protein 1
Ssiderea238982	regulation of transcription factor catabolic process
Ssiderea223977	steroid binding
Ssiderea245044	pre-replicative complex assembly involved in nuclear cell cycle DNA replication
Ssiderea271490	G-protein coupled receptor activity
Ssiderea230190	ETS translocation variant
Ssiderea250215	Peroxisomal membrane protein 11C
Ssiderea229290	phagosome-lysosome fusion involved in apoptotic cell clearance
Ssiderea269578	phospholipid-translocating ATPase activity
Ssiderea254885	G-protein coupled acetylcholine receptor activity
Ssiderea414540	Synaptic vesicle 2-related protein-like
Ssiderea257853	tocopherol omega-hydroxylase activity
Ssiderea252816	Cadherin-like
Ssiderea263703	integrator complex subunit 2
Ssiderea334518	pogo transposable element with KRAB domain
Ssiderea246772	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Ssiderea351693	ATP synthase subunit alpha
Ssiderea252483	protein binding, bridging involved in substrate recognition for ubiquitination
Ssiderea254123	scavenger receptor activity
Ssiderea258698	metalloaminopeptidase activity
Ssiderea389608	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
Ssiderea232391	store-operated calcium channel activity
Ssiderea263588	WD domain, G-beta repeat
Ssiderea229615	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Ssiderea268408	sulfuric ester hydrolase activity
Ssiderea271686	zinc ion binding
Ssiderea549027	metallocarboxypeptidase activity
Ssiderea265531	Pecanex protein (C-terminus)
Ssiderea456879	Protein-tyrosine sulfotransferase activity. It is involved in the biological process described with peptidyl-tyrosine sulfation
Ssiderea145024	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Ssiderea256426	positive regulation of voltage-gated calcium channel activity
Ssiderea254394	Cell division cycle
Ssiderea459950	dynein light chain binding
Ssiderea234127	G-protein coupled receptor activity
Ssiderea263791	Kelch-like protein 17
Ssiderea227269	betaine-homocysteine S-methyltransferase activity
Ssiderea230650	deoxyhypusine synthase activity
Ssiderea89521	G-protein coupled receptor activity
Ssiderea462657	Phosphoenolpyruvate phosphomutase
Ssiderea255789	Major vault protein
Ssiderea94881	polycystic kidney disease protein 1-like
Ssiderea255474	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
Ssiderea271093	Myotubularin protein
Ssiderea238203	Triose-phosphate Transporter family
