Siderastrea_08840	K02997
Siderastrea_08096	K14569
Siderastrea_04919	K08059
Siderastrea_18486	K12174
Siderastrea_04714	K07409
Siderastrea_03723	K10500
Siderastrea_08805	K12858
Siderastrea_17007	K15175
Siderastrea_14712	K00933
Siderastrea_16178	K02731
Siderastrea_14410	K03989
Siderastrea_10118	K22182
Siderastrea_19158	K13781
Siderastrea_05119	K04078
Siderastrea_15852	K12618
Siderastrea_18770	K11673
Siderastrea_01683	K00710
Siderastrea_00827	K23847
Siderastrea_18346	K10408
Siderastrea_13328	K23167
Siderastrea_12797	K04354
Siderastrea_08382	K00461
Siderastrea_03056	K17576
Siderastrea_15842	K18201
Siderastrea_09088	K05755
Siderastrea_17167	K10408
Siderastrea_17453	K11310
Siderastrea_04571	K05312
Siderastrea_16519	K17500
Siderastrea_02834	K12811
Siderastrea_17954	K12858
Siderastrea_09899	K00311
Siderastrea_05651	K05956
Siderastrea_02124	K11861
Siderastrea_00421	K05126
Siderastrea_03065	K10448
Siderastrea_17724	K05614
Siderastrea_17710	K14388
Siderastrea_08865	K06240
Siderastrea_04480	K20292
Siderastrea_01616	K10408
Siderastrea_13419	K11968
Siderastrea_15948	K06252
Siderastrea_00231	K05643
Siderastrea_09673	K08551
Siderastrea_04912	K06252
Siderastrea_01047	K17592
Siderastrea_03411	K18405
Siderastrea_12596	K12443
Siderastrea_17204	K04600
Siderastrea_06896	K24498
Siderastrea_05450	K25458
Siderastrea_05321	K03165
Siderastrea_11263	K01930
Siderastrea_12901	K15172
Siderastrea_15747	K10594
Siderastrea_13538	K06911
Siderastrea_03570	K14437
Siderastrea_09787	K12035
Siderastrea_01222	K06685
Siderastrea_13731	K09486
Siderastrea_17537	K18486
Siderastrea_00978	K13525
Siderastrea_06562	K16185
Siderastrea_16792	K17917
Siderastrea_02475	K04555
Siderastrea_01931	K03654
Siderastrea_08228	K08765
Siderastrea_01790	K20493
Siderastrea_16440	K17600
Siderastrea_07021	K00963
Siderastrea_08335	K08187
Siderastrea_12059	K10799
Siderastrea_09931	K01464
Siderastrea_10676	K24936
Siderastrea_07354	K01411
Siderastrea_18257	K23538
Siderastrea_00971	K05045
Siderastrea_15412	K01530
Siderastrea_17732	K02917
Siderastrea_12700	K04851
Siderastrea_17406	K12178
Siderastrea_08491	K10408
Siderastrea_15634	K26101
Siderastrea_09842	K13723
Siderastrea_14986	K09510
Siderastrea_06052	K00253
Siderastrea_04423	K02147
Siderastrea_13676	K15290
Siderastrea_05199	K01135
Siderastrea_06169	K15255
Siderastrea_12475	K08863
Siderastrea_01766	K13116
Siderastrea_05026	K15008
Siderastrea_02955	K12818
Siderastrea_13048	K01229
Siderastrea_11608	K09189
Siderastrea_02551	K20308
Siderastrea_10423	K14389
Siderastrea_15689	K22611
Siderastrea_03133	K10447
Siderastrea_10373	K05681
Siderastrea_14430	K23879
Siderastrea_00260	K05613
Siderastrea_08987	K08498
Siderastrea_05168	K08875
Siderastrea_15059	K03695
Siderastrea_15040	K19491
Siderastrea_00288	K22754
Siderastrea_04725	K00274
Siderastrea_09685	K01408
Siderastrea_15785	K23026
Siderastrea_12013	K19526
Siderastrea_13184	K08187
Siderastrea_00430	K02905
Siderastrea_05923	K17702
Siderastrea_18078	K08064
Siderastrea_12964	K05544
Siderastrea_14871	K11884
Siderastrea_07966	K13203
Siderastrea_04304	K09442
Siderastrea_04376	K20352
Siderastrea_09546	K02900
Siderastrea_05102	K09496
Siderastrea_05455	K17301
Siderastrea_05524	K11798
Siderastrea_14762	K11852
Siderastrea_05649	K01074
Siderastrea_03874	K10408
Siderastrea_01024	K13578
Siderastrea_12995	K24938
Siderastrea_11234	K24387
Siderastrea_11963	K21347
Siderastrea_09017	K06619
Siderastrea_16343	K24734
Siderastrea_03811	K00029
Siderastrea_18151	K00342
Siderastrea_13074	K00164
Siderastrea_07170	K19882
Siderastrea_05014	K10457
Siderastrea_01578	K15837
Siderastrea_17594	K12842
Siderastrea_10903	K10408
Siderastrea_05310	K23851
Siderastrea_07403	K09624
Siderastrea_02727	K04863
Siderastrea_07651	K00249
Siderastrea_11674	K00485
Siderastrea_18201	K14010
Siderastrea_11900	K20216
Siderastrea_18953	K01810
Siderastrea_00360	K01530
Siderastrea_09160	K00012
Siderastrea_17462	K20217
Siderastrea_10777	K24630
Siderastrea_05052	K14611
Siderastrea_08459	K02183
Siderastrea_09738	K09405
Siderastrea_13037	K13143
Siderastrea_03234	K20360
Siderastrea_19266	K01469
Siderastrea_02561	K24795
Siderastrea_12466	K09232
Siderastrea_15648	K26154
Siderastrea_01408	K01945
Siderastrea_17034	K04887
Siderastrea_13664	K00262
Siderastrea_09623	K10609
Siderastrea_14499	K00670
Siderastrea_15867	K15157
Siderastrea_13404	K06225
Siderastrea_11751	K20792
Siderastrea_01651	K10262
Siderastrea_12110	K02449
Siderastrea_06742	K23507
Siderastrea_06392	K25470
Siderastrea_14885	K04365
Siderastrea_15756	K14411
Siderastrea_15353	K10661
Siderastrea_11386	K14943
Siderastrea_18510	K19912
Siderastrea_00212	K04978
Siderastrea_16031	K03122
Siderastrea_03688	K12647
Siderastrea_13924	K14838
Siderastrea_02393	K11969
Siderastrea_09130	K24506
Siderastrea_07826	K13499
Siderastrea_04935	K13127
Siderastrea_10229	K20404
Siderastrea_19173	K07755
Siderastrea_02639	K01076
Siderastrea_01601	K05858
Siderastrea_08135	K24273
Siderastrea_09464	K05126
Siderastrea_05132	K12178
Siderastrea_01892	K09276
Siderastrea_15135	K04958
Siderastrea_05872	K10416
Siderastrea_04384	K08378
Siderastrea_10839	K03654
Siderastrea_12937	K22560
Siderastrea_11039	K03447
Siderastrea_17967	K10691
Siderastrea_00353	K16860
Siderastrea_02713	K00914
Siderastrea_17812	K11593
Siderastrea_00325	K10408
Siderastrea_15600	K06054
Siderastrea_15984	K03639
Siderastrea_07574	K10642
Siderastrea_17122	K04958
Siderastrea_08026	K05658
Siderastrea_11129	K19755
Siderastrea_08820	K11859
Siderastrea_02468	K22754
Siderastrea_12002	K15166
Siderastrea_00545	K18261
Siderastrea_01973	K05730
Siderastrea_17620	K06753
Siderastrea_08177	K10870
Siderastrea_09381	K07192
Siderastrea_19006	K24729
Siderastrea_03216	K09214
Siderastrea_13828	K01872
Siderastrea_05809	K03685
Siderastrea_18216	K11471
Siderastrea_00881	K18629
Siderastrea_12061	K15979
Siderastrea_04485	K22370
Siderastrea_13413	K19863
Siderastrea_04125	K11842
Siderastrea_10342	K17635
Siderastrea_18176	K07342
Siderastrea_08539	K03424
Siderastrea_18668	K17686
Siderastrea_04149	K10408
Siderastrea_08597	K24148
Siderastrea_11581	K11793
Siderastrea_17276	K04445
Siderastrea_09521	K09044
Siderastrea_11928	K08052
Siderastrea_08211	K02355
Siderastrea_19244	K20456
Siderastrea_01712	K09667
Siderastrea_04102	K13806
Siderastrea_09013	K22754
Siderastrea_12102	K14085
Siderastrea_12207	K09187
Siderastrea_01057	K24814
Siderastrea_03973	K10053
Siderastrea_03340	K25537
Siderastrea_16601	K11974
Siderastrea_18540	K10408
Siderastrea_07051	K02154
Siderastrea_07340	K20282
Siderastrea_13067	K10408
Siderastrea_07911	K21853
Siderastrea_10939	K10638
Siderastrea_08876	K07497
Siderastrea_06323	K16796
Siderastrea_11469	K17800
Siderastrea_10992	K04958
Siderastrea_13005	K01886
Siderastrea_05371	K23209
Siderastrea_11341	K04958
Siderastrea_06042	K03164
Siderastrea_12983	K11346
Siderastrea_01752	K17916
Siderastrea_00736	K05746
Siderastrea_02440	K25700
Siderastrea_16384	K24814
Siderastrea_18816	K03130
Siderastrea_03908	K01397
Siderastrea_15252	K08681
Siderastrea_15799	K12373
Siderastrea_07288	K08825
Siderastrea_13143	K03246
Siderastrea_15507	K11279
Siderastrea_01158	K04851
Siderastrea_02636	K07920
Siderastrea_04185	K23901
Siderastrea_00960	K01092
Siderastrea_17530	K24006
Siderastrea_13203	K23539
Siderastrea_19137	K14538
Siderastrea_13125	K11127
Siderastrea_16629	K04727
Siderastrea_16410	K13539
Siderastrea_14770	K10357
Siderastrea_13345	K20795
Siderastrea_11940	K09115
Siderastrea_14840	K19527
Siderastrea_02518	K07497
Siderastrea_03503	K10691
Siderastrea_08362	K07497
Siderastrea_16071	K19352
Siderastrea_11164	K10356
Siderastrea_04075	K06254
Siderastrea_03801	K24186
Siderastrea_11272	K20299
Siderastrea_18121	K04142
Siderastrea_14397	K05330
Siderastrea_04933	K17301
Siderastrea_18806	K03539
Siderastrea_05698	K03145
Siderastrea_09452	K08653
Siderastrea_02273	K15633
Siderastrea_13012	K09173
Siderastrea_07313	K19756
Siderastrea_17216	K05673
Siderastrea_15171	K03363
Siderastrea_02776	K17822
Siderastrea_11449	K03899
Siderastrea_04903	K01510
Siderastrea_09608	K01196
Siderastrea_10447	K23939
Siderastrea_02619	K00033
Siderastrea_00948	K11251
Siderastrea_11140	K01869
Siderastrea_03548	K08789
Siderastrea_12855	K02148
Siderastrea_12689	K07497
Siderastrea_04940	K04448
Siderastrea_15282	K11493
Siderastrea_03028	K02367
Siderastrea_03826	K03065
Siderastrea_06427	K15255
Siderastrea_05628	K03242
Siderastrea_14604	K17301
Siderastrea_06442	K04593
Siderastrea_14173	K00164
Siderastrea_16306	K01913
Siderastrea_17941	K24814
Siderastrea_03539	K01558
Siderastrea_16795	K07497
Siderastrea_12413	K10442
Siderastrea_18373	K13344
Siderastrea_03870	K04679
Siderastrea_08961	K24795
Siderastrea_17896	K10738
Siderastrea_11419	K15603
Siderastrea_04099	K08576
Siderastrea_07750	K06082
Siderastrea_10023	K15839
Siderastrea_17551	K18081
Siderastrea_08092	K16938
Siderastrea_09884	K11446
Siderastrea_05533	K07198
Siderastrea_01110	K21767
Siderastrea_06039	K05048
Siderastrea_15181	K17285
Siderastrea_14024	K22262
Siderastrea_11565	K14312
Siderastrea_14591	K11668
Siderastrea_08628	K02374
Siderastrea_13723	K18443
Siderastrea_09056	K10590
Siderastrea_15250	K03099
Siderastrea_04717	K17338
Siderastrea_14414	K03849
Siderastrea_01855	K25004
Siderastrea_00614	K03544
Siderastrea_10418	K14403
Siderastrea_15034	K02295
Siderastrea_14285	K12821
Siderastrea_10784	K18083
Siderastrea_08159	K07207
Siderastrea_03164	K07048
Siderastrea_11499	K06754
Siderastrea_13756	K20032
Siderastrea_17653	K23569
Siderastrea_00100	K02432
Siderastrea_14523	K06834
Siderastrea_12202	K10645
Siderastrea_08679	K10408
Siderastrea_06125	K15436
Siderastrea_01944	K03265
Siderastrea_17875	K05720
Siderastrea_15407	K13138
Siderastrea_07529	K10686
Siderastrea_16190	K12624
Siderastrea_00304	K20636
Siderastrea_15113	K05719
Siderastrea_14071	K20053
Siderastrea_15290	K17592
Siderastrea_11382	K21548
Siderastrea_16806	K18753
Siderastrea_03084	K05665
Siderastrea_13346	K13103
Siderastrea_10631	K05087
Siderastrea_17846	K09267
Siderastrea_05791	K14379
Siderastrea_12088	K17095
Siderastrea_16169	K19867
Siderastrea_14480	K10593
Siderastrea_12196	K03798
Siderastrea_05291	K10876
Siderastrea_14087	K08056
Siderastrea_04744	K05673
Siderastrea_05765	K09326
Siderastrea_10984	K13708
Siderastrea_00648	K14415
Siderastrea_14419	K12325
Siderastrea_10623	K09469
Siderastrea_16624	K00128
Siderastrea_09096	K04385
Siderastrea_01848	K10408
Siderastrea_16025	K05750
Siderastrea_17389	K12869
Siderastrea_11716	K12860
Siderastrea_03467	K16603
Siderastrea_07035	K24496
Siderastrea_01436	K19672
Siderastrea_04292	K05038
Siderastrea_12038	K04437
Siderastrea_07936	K04594
Siderastrea_17739	K07885
Siderastrea_09258	K09414
Siderastrea_16706	K24814
Siderastrea_03941	K08492
Siderastrea_09742	K05658
Siderastrea_19124	K05928
Siderastrea_08537	K13748
Siderastrea_06626	K04892
Siderastrea_15719	K18406
Siderastrea_08346	K25647
Siderastrea_10881	K22904
Siderastrea_17363	K13912
Siderastrea_05509	K08874
Siderastrea_10969	K05692
Siderastrea_19048	K24185
Siderastrea_06383	K05048
Siderastrea_05796	K15290
Siderastrea_13188	K00128
Siderastrea_08386	K19525
Siderastrea_18944	K11840
Siderastrea_08505	K04676
Siderastrea_05500	K17570
Siderastrea_12258	K08892
Siderastrea_04528	K05037
Siderastrea_14401	K16175
Siderastrea_11492	K01204
Siderastrea_13972	K03010
Siderastrea_14209	K09533
Siderastrea_02064	K22503
Siderastrea_01185	K01412
Siderastrea_05716	K01338
Siderastrea_15698	K16777
Siderastrea_02495	K01142
Siderastrea_06499	K13866
Siderastrea_12182	K24936
Siderastrea_05824	K01477
Siderastrea_00802	K04988
Siderastrea_01949	K17732
Siderastrea_18086	K04514
Siderastrea_16421	K07497
Siderastrea_17306	K07190
Siderastrea_18093	K13698
Siderastrea_18503	K14396
Siderastrea_04186	K13194
Siderastrea_11981	K17461
Siderastrea_00516	K01933
Siderastrea_17176	K19934
Siderastrea_04037	K25006
Siderastrea_15394	K01755
Siderastrea_06882	K09272
Siderastrea_19032	K08008
Siderastrea_15338	K17916
Siderastrea_15857	K04851
Siderastrea_08637	K05665
Siderastrea_02346	K13578
Siderastrea_11489	K01613
Siderastrea_06144	K02893
Siderastrea_08829	K15290
Siderastrea_08007	K07379
Siderastrea_12741	K24469
Siderastrea_07884	K04575
Siderastrea_09211	K14684
Siderastrea_03486	K11412
Siderastrea_16088	K10356
Siderastrea_16289	K20184
Siderastrea_11828	K21125
Siderastrea_14444	K12483
Siderastrea_17765	K00742
Siderastrea_03125	K05665
Siderastrea_04546	K01689
Siderastrea_17986	K07497
Siderastrea_03147	K00265
Siderastrea_11089	K11214
Siderastrea_09468	K01110
Siderastrea_09678	K00764
Siderastrea_17646	K00728
Siderastrea_02998	K05643
Siderastrea_05860	K20184
Siderastrea_11731	K04286
Siderastrea_11242	K16459
Siderastrea_01125	K12669
Siderastrea_01615	K12829
Siderastrea_10506	K15620
Siderastrea_13938	K02599
Siderastrea_04009	K18763
Siderastrea_05447	K15680
Siderastrea_14135	K13988
Siderastrea_15629	K13100
Siderastrea_05366	K03255
Siderastrea_17591	K01464
Siderastrea_02822	K08957
Siderastrea_06193	K19332
Siderastrea_05354	K24729
Siderastrea_17664	K15162
Siderastrea_12302	K07364
Siderastrea_06806	K09452
Siderastrea_11077	K24524
Siderastrea_17744	K10408
Siderastrea_07482	K08810
Siderastrea_08398	K01365
Siderastrea_03351	K06825
Siderastrea_10208	K00149
Siderastrea_09863	K10143
Siderastrea_07962	K18438
Siderastrea_09141	K00234
Siderastrea_14437	K12816
Siderastrea_16945	K09230
Siderastrea_13117	K11853
Siderastrea_12771	K04674
Siderastrea_06766	K03010
Siderastrea_05271	K10408
Siderastrea_17135	K13855
Siderastrea_12447	K01858
Siderastrea_01300	K03028
Siderastrea_08246	K18663
Siderastrea_14176	K04706
Siderastrea_10390	K06267
Siderastrea_18528	K09628
Siderastrea_08753	K05635
Siderastrea_07729	K05858
Siderastrea_11599	K00476
Siderastrea_05190	K14966
Siderastrea_10712	K12391
Siderastrea_06776	K24050
Siderastrea_09668	K16673
Siderastrea_06283	K12948
Siderastrea_03156	K20184
Siderastrea_11914	K01349
Siderastrea_02801	K04393
Siderastrea_10274	K08734
Siderastrea_10531	K05110
Siderastrea_17409	K08864
Siderastrea_02796	K03255
Siderastrea_12942	K05680
Siderastrea_08832	K08837
Siderastrea_08169	K14998
Siderastrea_16000	K10408
Siderastrea_07201	K04501
Siderastrea_11749	K10413
Siderastrea_08881	K01487
Siderastrea_00392	K09666
Siderastrea_01545	K15682
Siderastrea_17603	K10361
Siderastrea_09153	K10408
Siderastrea_10844	K05760
Siderastrea_06437	K09201
Siderastrea_05942	K00548
Siderastrea_07857	K03462
Siderastrea_12309	K04508
Siderastrea_02939	K13117
Siderastrea_12554	K20463
Siderastrea_19011	K00939
Siderastrea_02119	K04988
Siderastrea_12074	K10976
Siderastrea_02664	K01870
Siderastrea_05040	K00688
Siderastrea_00175	K19636
Siderastrea_16038	K12737
Siderastrea_05596	K21853
Siderastrea_02581	K00826
Siderastrea_13263	K01443
Siderastrea_15720	K11248
Siderastrea_18597	K09533
Siderastrea_02490	K17301
Siderastrea_12318	K01966
Siderastrea_04641	K06240
Siderastrea_17130	K12856
Siderastrea_12760	K10408
Siderastrea_10728	K06636
Siderastrea_16734	K10380
Siderastrea_06816	K06114
Siderastrea_08766	K23234
Siderastrea_13686	K25795
Siderastrea_04243	K05677
Siderastrea_00689	K10396
Siderastrea_16746	K10446
Siderastrea_12808	K03320
Siderastrea_06964	K19932
Siderastrea_10002	K10691
Siderastrea_05754	K17768
Siderastrea_07295	K04437
Siderastrea_05072	K24175
Siderastrea_04578	K06841
Siderastrea_08682	K23222
Siderastrea_17186	K00819
Siderastrea_05483	K19801
Siderastrea_02716	K06085
Siderastrea_06554	K19685
Siderastrea_16366	K15655
Siderastrea_01115	K10357
Siderastrea_10700	K16473
Siderastrea_02933	K12590
Siderastrea_01326	K20100
Siderastrea_02077	K09408
Siderastrea_01743	K05673
Siderastrea_14768	K11860
Siderastrea_14586	K10408
Siderastrea_16150	K06639
Siderastrea_00334	K19944
Siderastrea_06663	K09420
Siderastrea_09152	K20241
Siderastrea_07542	K07497
Siderastrea_16686	K03083
Siderastrea_15376	K11323
Siderastrea_01281	K08018
Siderastrea_12426	K16307
Siderastrea_00838	K00234
Siderastrea_02673	K10949
Siderastrea_10419	K05695
Siderastrea_00927	K01231
Siderastrea_12079	K22754
Siderastrea_17805	K17616
Siderastrea_13087	K09375
Siderastrea_15342	K01049
Siderastrea_08831	K02183
Siderastrea_07189	K03942
Siderastrea_09368	K13676
Siderastrea_19252	K13236
Siderastrea_00440	K15839
Siderastrea_15609	K08808
Siderastrea_00526	K20317
Siderastrea_16610	K11253
Siderastrea_17355	K15759
Siderastrea_11059	K04905
Siderastrea_10160	K01103
Siderastrea_01213	K16726
Siderastrea_18229	K01881
Siderastrea_19161	K01895
Siderastrea_04899	K16777
Siderastrea_17485	K14406
Siderastrea_01038	K15719
Siderastrea_00842	K05632
Siderastrea_06782	K13125
Siderastrea_07634	K17278
Siderastrea_14067	K00710
Siderastrea_14507	K08333
Siderastrea_17345	K23735
Siderastrea_17174	K13701
Siderastrea_04816	K25872
Siderastrea_17237	K05695
Siderastrea_07894	K05678
Siderastrea_12978	K17350
Siderastrea_11556	K07497
Siderastrea_18162	K07817
Siderastrea_13894	K19483
Siderastrea_03672	K01679
Siderastrea_14829	K10593
Siderastrea_02604	K11661
Siderastrea_07009	K17570
Siderastrea_15662	K19201
Siderastrea_19085	K10643
Siderastrea_08301	K10755
Siderastrea_06453	K02374
Siderastrea_06072	K08184
Siderastrea_13051	K24387
Siderastrea_10978	K08582
Siderastrea_05915	K01412
Siderastrea_16662	K19677
Siderastrea_18741	K24839
Siderastrea_03962	K05929
Siderastrea_03035	K02367
Siderastrea_10181	K17286
Siderastrea_01586	K07497
Siderastrea_15807	K12751
Siderastrea_12757	K05726
Siderastrea_18615	K24426
Siderastrea_03974	K12480
Siderastrea_04256	K25780
Siderastrea_10795	K07941
Siderastrea_13706	K05635
Siderastrea_04286	K01868
Siderastrea_06107	K04255
Siderastrea_04855	K11304
Siderastrea_12339	K16684
Siderastrea_05260	K24936
Siderastrea_00517	K04357
Siderastrea_00576	K24186
Siderastrea_19141	K07386
Siderastrea_17029	K11643
Siderastrea_07032	K13862
Siderastrea_00415	K24734
Siderastrea_09733	K04570
Siderastrea_09652	K15042
Siderastrea_12247	K22390
Siderastrea_10395	K00469
Siderastrea_00004	K12573
Siderastrea_14304	K15979
Siderastrea_02132	K11840
Siderastrea_05992	K07436
Siderastrea_04219	K03462
Siderastrea_11680	K16449
Siderastrea_04741	K20286
Siderastrea_00185	K07376
Siderastrea_16906	K14834
Siderastrea_07829	K03068
Siderastrea_01675	K09609
Siderastrea_06092	K05665
Siderastrea_09967	K06685
Siderastrea_03846	K05673
Siderastrea_10169	K02353
Siderastrea_12672	K04602
Siderastrea_13764	K10369
Siderastrea_04047	K14546
Siderastrea_11024	K00681
Siderastrea_01020	K01045
Siderastrea_04792	K02987
Siderastrea_01792	K13750
Siderastrea_07774	K01539
Siderastrea_16352	K19947
Siderastrea_09190	K21776
Siderastrea_00403	K13298
Siderastrea_05386	K24936
Siderastrea_11147	K22544
Siderastrea_08643	K24155
Siderastrea_09946	K22369
Siderastrea_00770	K16533
Siderastrea_09838	K07497
