Ssiderea256452	guanine/thymine mispair binding
Ssiderea252384	glycogen (starch) synthase activity
Ssiderea250107	Nucleic acid binding protein
Ssiderea244105	heme binding
Ssiderea88911	DNA binding
Ssiderea230733	vesicle fusion with Golgi apparatus
Ssiderea253715	and Sec7
Ssiderea257667	Synaptonemal complex protein 3
Ssiderea260071	regulation of cell shape
Ssiderea250072	negative regulation of cardiac muscle contraction
Ssiderea261632	eva-1 homolog
Ssiderea256493	glutathione hydrolase activity
Ssiderea261884	Catalyzes conversion of folates to polyglutamate derivatives allowing concentration of folate compounds in the cell and the intracellular retention of these cofactors, which are important substrates for most of the folate-dependent enzymes that are involved in one-carbon transfer reactions involved in purine, pyrimidine and amino acid synthesis
Ssiderea260158	UPF0704 protein C6orf165 homolog
Ssiderea238161	DDB1 and CUL4 associated factor 1
Ssiderea249600	vacuolar protein sorting-associated protein 72 homolog
Ssiderea226851	NAD-dependent histone deacetylase activity (H4-K16 specific)
Ssiderea248453	Belongs to the alkaline phosphatase family
Ssiderea253091	ATPase activity, coupled to transmembrane movement of substances
Ssiderea245861	negative regulation of macrophage cytokine production
Ssiderea225612	Zn-finger in ubiquitin-hydrolases and other protein
Ssiderea222483	DNA polymerase gamma, catalytic subunit
Ssiderea254189	tetratricopeptide repeat
Ssiderea246533	lipid droplet organization
Ssiderea127966	detection of mechanical stimulus
Ssiderea238265	Nucleolar protein
Ssiderea248175	protein transport into plasma membrane raft
Ssiderea248157	Polymerase (DNA directed), eta
Ssiderea236233	Transposase IS4
Ssiderea241778	Ion transport protein
Ssiderea261214	rRNA (guanine-N7)-methylation
Ssiderea259146	Endoplasmic reticulum-Golgi intermediate compartment protein
Ssiderea250024	Ankyrin repeats (many copies)
Ssiderea250539	Belongs to the class-I aminoacyl-tRNA synthetase family
Ssiderea247090	establishment of protein localization to chloroplast
Ssiderea254915	ubiquitin specific peptidase 47
Ssiderea257678	Fibrinogen beta and gamma chains, C-terminal globular domain
Ssiderea254701	Phospholipid-translocating ATPase N-terminal
Ssiderea249928	TCDD-inducible poly ADP-ribose polymerase
Ssiderea260224	UDP-glucoronosyl and UDP-glucosyl transferase
Ssiderea263591	regulation of cellular component size
Ssiderea258962	GCN5-related N-acetyl-transferase
Ssiderea253633	Cytochrome P450
Ssiderea261405	ankyrin repeat and BTB (POZ)
Ssiderea251064	activation of phospholipase D activity
Ssiderea254778	Metallophosphoesterase 1
Ssiderea121667	Serine threonine-protein phosphatase
Ssiderea232798	nuclear receptor co-repressor
Ssiderea226265	positive regulation of epithelial to mesenchymal transition
Ssiderea204187	Transmembrane protein 258
Ssiderea263029	trimming of terminal mannose on B branch
Ssiderea243662	Belongs to the eukaryotic ribosomal protein eS8 family
Ssiderea259656	cleavage and polyadenylation specificity factor subunit
Ssiderea235732	procollagen galactosyltransferase activity
Ssiderea245349	Transmembrane protein with metallophosphoesterase
Ssiderea251276	Rho guanyl-nucleotide exchange factor activity
Ssiderea232494	calcium ion binding
Ssiderea252539	ankyrin repeat
Ssiderea246415	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity
Ssiderea215661	ribosomal large subunit assembly
Ssiderea262283	Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family
Ssiderea251966	G-protein beta-subunit binding
Ssiderea232711	non-haem dioxygenase in morphine synthesis N-terminal
Ssiderea256460	K02A2.6-like
Ssiderea74719	3-carboxymuconate cyclase
Ssiderea164179	3-hydroxyacyl-CoA dehydratase activity
Ssiderea260993	positive regulation of protein glycosylation in Golgi
Ssiderea207701	Elongator protein 3, MiaB family, Radical SAM
Ssiderea228985	potassium voltage-gated channel
Ssiderea258752	nitric-oxide synthase activity
Ssiderea243470	WD domain, G-beta repeat
Ssiderea259927	thiol-dependent ubiquitin-specific protease activity
Ssiderea258197	DNA repair protein
Ssiderea261974	smoothened signaling pathway involved in dorsal/ventral neural tube patterning
Ssiderea247617	Carboxylesterase family
Ssiderea245351	Diacylglycerol O-acyltransferase 2
Ssiderea106991	protein-glutamine gamma-glutamyltransferase activity
Ssiderea247869	positive regulation of cell-cell adhesion mediated by cadherin
Ssiderea259192	-
Ssiderea250762	serine-type endopeptidase activity
Ssiderea253949	Retinol binding protein receptor
Ssiderea232237	Coiled-coil domain-containing protein 92
Ssiderea249967	magnesium ion transmembrane transporter activity
Ssiderea239665	Repeats in THEG (testicular haploid expressed gene) and several fly proteins.
Ssiderea253447	amine oxidase
Ssiderea234413	Calcium and integrin binding family member 2
Ssiderea262138	Carboxylesterase family
Ssiderea251322	-
Ssiderea262485	obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding
Ssiderea251628	Chromosome 7 open reading frame 57
Ssiderea337060	cadherin EGF LAG seven-pass G-type receptor 2
Ssiderea258755	T follicular helper cell differentiation
Ssiderea203814	RNA binding
Ssiderea258657	cytoskeletal anchoring at plasma membrane
Ssiderea249624	B-cell CLL lymphoma 3
Ssiderea261998	telomere formation via telomerase
Ssiderea255597	axonogenesis involved in innervation
Ssiderea243908	phosphatidylglycerophosphatase activity
Ssiderea255592	ABC-2 type transporter
Ssiderea256564	Patatin-like phospholipase
Ssiderea246591	mesenchymal-epithelial cell signaling involved in prostate gland development
Ssiderea207178	negative regulation of phosphatase activity
Ssiderea262159	WD repeat domain 90
Ssiderea242130	protein dimerization activity
Ssiderea321848	Belongs to the ATP guanido phosphotransferase family
Ssiderea82621	leucine-rich repeat serine threonine-protein kinase
Ssiderea245849	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial
Ssiderea232482	sequence-specific DNA binding
Ssiderea256464	TeTratriCopeptide repeat
Ssiderea250581	member RAS oncogene family
Ssiderea258503	cilium assembly
Ssiderea250864	3',5'-cyclic-GMP phosphodiesterase activity
Ssiderea186048	Heat shock protein
Ssiderea162395	Eukaryotic translation initiation factor 4E binding protein (EIF4EBP)
Ssiderea235556	TORC1 signaling
Ssiderea254752	K02A2.6-like
Ssiderea244824	SAD/SRA domain
Ssiderea262795	mRNA 5'-splice site recognition
Ssiderea214130	WD domain, G-beta repeat
Ssiderea205436	Cilia and flagella associated protein 157
Ssiderea262189	transmembrane receptor protein tyrosine kinase activity
Ssiderea224500	mRNA cleavage involved in gene silencing by siRNA
Ssiderea220844	Transcription factor
Ssiderea392546	ribosomal large subunit assembly
Ssiderea261219	lysyl-tRNA synthetase
Ssiderea255650	Acid trehalase-like
Ssiderea252863	Ribonuclease H protein
Ssiderea259881	3',5'-cyclic-GMP phosphodiesterase activity
Ssiderea235564	G-protein coupled receptor activity
Ssiderea191246	kinetochore-associated protein 1
Ssiderea186332	Cardiolipin synthase
Ssiderea252562	-
Ssiderea250703	menaquinone biosynthetic process
Ssiderea183181	LIM domain-binding protein
Ssiderea245476	protein polyubiquitination
Ssiderea163372	DNA polymerase epsilon catalytic subunit
Ssiderea241463	snRNA 3'-end processing
Ssiderea262862	Salt stress response/antifungal
Ssiderea240574	PAXX, PAralog of XRCC4 and XLF, also called C9orf142
Ssiderea220335	pericentric heterochromatin assembly
Ssiderea242389	regulation of ATP-dependent microtubule motor activity, plus-end-directed
Ssiderea222200	positive regulation of DNA N-glycosylase activity
Ssiderea214307	alpha-galactosidase activity
Ssiderea258780	Ctf8
Ssiderea245167	negative regulation of Arp2/3 complex-mediated actin nucleation
Ssiderea231983	UTP biosynthetic process
Ssiderea239534	protein transport
Ssiderea222353	Headcase protein family homologue
Ssiderea263176	histone H4-K12 acetylation
Ssiderea257671	alpha-ketoacid dehydrogenase activity
Ssiderea106071	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea208389	Neurotransmitter-gated ion-channel ligand binding domain
Ssiderea249654	chitin binding
Ssiderea85416	negative regulation of formation of translation preinitiation complex
Ssiderea229435	translation initiation factor activity
Ssiderea246520	26S proteasome non-ATPase regulatory subunit
Ssiderea253903	cap2 mRNA methylation
Ssiderea204711	positive regulation of protein glycosylation in Golgi
Ssiderea254349	cilium assembly
Ssiderea208473	Major Facilitator Superfamily
Ssiderea204945	complement
Ssiderea263227	positive regulation of epithelial to mesenchymal transition
Ssiderea251010	DSBA-like thioredoxin domain
Ssiderea254352	ubiquitin activating enzyme activity
Ssiderea191235	Phosphoglycerate mutase family
Ssiderea182070	2OG-Fe(II) oxygenase superfamily
Ssiderea262725	BAT3 complex binding
Ssiderea237279	GTP binding
Ssiderea242629	protein deneddylation
Ssiderea235762	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea210192	Plant transposon protein
Ssiderea259673	ubiquitin-protein transferase activity
Ssiderea260670	Phospholipid binding
Ssiderea236355	N-acetylglucosamine-6-phosphate deacetylase
Ssiderea393901	rRNA binding
Ssiderea258723	3 iron, 4 sulfur cluster binding
Ssiderea232644	Belongs to the ATP guanido phosphotransferase family
Ssiderea243088	metalloendopeptidase activity
Ssiderea241190	Endoplasmic reticulum protein ERp29, C-terminal domain
Ssiderea244424	Slowmo homolog
Ssiderea227796	ATP-dependent RNA helicase activity
Ssiderea210789	Leucine rich repeat
Ssiderea251227	Serine-type peptidase activity. It is involved in the biological process described with proteolysis
Ssiderea260114	Chromosome 20 open reading frame
Ssiderea235134	regulation of cellular response to testosterone stimulus
Ssiderea80951	Belongs to the enoyl-CoA hydratase isomerase family
Ssiderea2627	Galactose-3-O-sulfotransferase
Ssiderea256178	nicotinamide-nucleotide adenylyltransferase activity
Ssiderea257145	ubiquitin-protein transferase activity
Ssiderea203373	krueppel associated box
Ssiderea259662	Sir2 family
Ssiderea260986	intracellular chloride channel activity
Ssiderea262221	EF-hand calcium-binding domain-containing protein 6
Ssiderea143062	transposition, RNA-mediated
Ssiderea192781	Putative Interleukin 2 receptor, gamma chain
Ssiderea255978	Cyclin-dependent kinase 19
Ssiderea250647	Family with sequence similarity 161 member A
Ssiderea248642	copper-exporting ATPase activity
Ssiderea256353	Ankyrin repeat
Ssiderea250649	ribosomal protein L15
Ssiderea256775	very-long-chain-acyl-CoA dehydrogenase activity
Ssiderea219897	SH3 domain-binding protein 5
Ssiderea200954	acyl-CoA synthetase long-chain family member 6
Ssiderea259783	Belongs to the ATG8 family
Ssiderea250156	Belongs to the ubiquitin-conjugating enzyme family
Ssiderea246784	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea242399	post-chaperonin tubulin folding pathway
Ssiderea237091	CCR4-NOT transcription complex subunit 10
Ssiderea258517	gluconolactonase activity
Ssiderea246615	tryptophan-tRNA ligase activity
Ssiderea232039	negative regulation of transcription elongation from RNA polymerase II promoter
Ssiderea171107	endodermal-mesodermal cell signaling
Ssiderea243195	Transmembrane amino acid transporter protein
Ssiderea252063	BTB POZ domain-containing protein
Ssiderea256723	regulation of phosphorylation of RNA polymerase II C-terminal domain
Ssiderea228469	chondrocyte morphogenesis
Ssiderea261797	protein N-acetylglucosaminyltransferase activity
Ssiderea255757	thyroid hormone transmembrane transporter activity
Ssiderea245197	Destroys radicals which are normally produced within the cells and which are toxic to biological systems
Ssiderea230215	E3 ubiquitin-protein ligase
Ssiderea261665	Nucleoporin homology of Germinal-centre associated nuclear protein
Ssiderea244000	Cysteine protease required for the cytoplasm to vacuole transport (Cvt) and autophagy
Ssiderea238393	calcium, potassium:sodium antiporter activity
Ssiderea260233	Sacsin molecular chaperone
Ssiderea257140	EGF domain-specific O-linked N-acetylglucosamine
Ssiderea258017	Domain present in PSD-95, Dlg, and ZO-1/2.
Ssiderea228695	ubiquitin-protein transferase activity
Ssiderea316365	voltage-gated potassium channel activity
Ssiderea225700	Chromosome 15 open reading frame 41
Ssiderea100108	GABA-A receptor activity
Ssiderea251716	Peptidyl-prolyl cis-trans isomerase
Ssiderea249816	Golgi organization
Ssiderea247230	calcium channel activity
Ssiderea120422	Family with sequence similarity 184, member A
Ssiderea291983	heme binding. It is involved in the biological process described with oxidation-reduction process
Ssiderea251577	-
Ssiderea247516	argininosuccinate synthase
Ssiderea256330	Hippocampus abundant
Ssiderea235434	Belongs to the actin family
Ssiderea193258	translation
Ssiderea234969	Transformation transcription domain-associated protein
Ssiderea251216	epidermal growth factor-activated receptor activity
Ssiderea247103	inorganic anion exchanger activity
Ssiderea261417	phosphatase, non-receptor type
Ssiderea237734	Lysoplasmalogenase-like protein
Ssiderea212097	positive regulation by virus of viral protein levels in host cell
Ssiderea250440	osmolarity-sensing cation channel activity
Ssiderea263303	Belongs to the ubiquitin-conjugating enzyme family
Ssiderea258527	-
Ssiderea244007	3'-tRNA processing endoribonuclease activity
Ssiderea222515	WD repeat domain 81
Ssiderea258010	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
Ssiderea261586	nucleotide-excision repair, DNA gap filling
Ssiderea246349	ATP-dependent RNA helicase
Ssiderea245195	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Ssiderea260509	Fibronectin type 3 domain
Ssiderea246492	Glutamine-fructose-6-phosphate transaminase 2
Ssiderea218710	Rho GTPase binding
Ssiderea238243	DNA binding
Ssiderea259411	GDP-D-glucose phosphorylase 1
Ssiderea256210	decanoate-CoA ligase activity
Ssiderea254219	actin monomer binding
Ssiderea209196	homophilic cell adhesion via plasma membrane adhesion molecules
Ssiderea222584	G-protein coupled receptor activity
Ssiderea234645	DNA repair REX1-B
Ssiderea233746	G-protein coupled receptor activity
Ssiderea260267	uridine phosphorylase activity
Ssiderea250447	C-Jun-amino-terminal kinase-interacting protein
Ssiderea246385	dolichyl-phosphate-mannose-protein mannosyltransferase activity
Ssiderea223373	mitogen-activated protein kinase
Ssiderea251343	MAC/Perforin domain
Ssiderea253584	Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process
Ssiderea243766	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein
Ssiderea262215	Collagen triple helix repeat (20 copies)
Ssiderea256122	Transcription factor Pcc1
Ssiderea187490	Beta-ketoacyl synthase, N-terminal domain
Ssiderea239343	positive regulation of epithelial to mesenchymal transition
Ssiderea228319	mitochondrion disassembly
Ssiderea199456	G-protein coupled receptor activity
Ssiderea255704	protein localization to Golgi apparatus
Ssiderea252667	high mobility group
Ssiderea26827	Anaphase-promoting complex, cyclosome, subunit 3
Ssiderea235220	Attachment Protein
Ssiderea348110	Elongation factor G, domain IV
Ssiderea263194	ATPase activity, coupled to transmembrane movement of substances
Ssiderea118147	ELMO/CED-12 family
Ssiderea212908	uridine biosynthetic process
Ssiderea261507	metal ion binding
Ssiderea230461	Ring finger protein 213
Ssiderea240547	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
Ssiderea256719	nucleic acid-templated transcription
Ssiderea261861	U2 snRNA 3'-end processing
Ssiderea256389	Chromosome-associated kinesin KIF4A
Ssiderea227303	Catalyzes the ferrous insertion into protoporphyrin IX
Ssiderea244203	Metallopeptidase family M24
Ssiderea260260	RNA recognition motif
Ssiderea261529	thioredoxin-disulfide reductase activity
Ssiderea252412	non-haem dioxygenase in morphine synthesis N-terminal
Ssiderea205248	Lactadherin
Ssiderea245495	cerebellar granule cell precursor tangential migration
Ssiderea186909	forkhead box
Ssiderea248839	oxaloacetate(2-) transmembrane transport
Ssiderea257970	Ribonuclease H protein
Ssiderea247889	regulation of podosome assembly
Ssiderea241049	Pyridoxal-phosphate dependent enzyme
Ssiderea258819	metallopeptidase activity
Ssiderea146244	ATP synthase alpha/beta family, nucleotide-binding domain
Ssiderea240325	Peptidyl-prolyl cis-trans isomerase
Ssiderea247237	sequence-specific DNA binding
Ssiderea257397	proteasome regulatory particle assembly
Ssiderea248125	calcium-dependent cysteine-type endopeptidase activity
Ssiderea239769	actin-binding Rho activating protein
Ssiderea242016	P granule disassembly
Ssiderea140667	histamine-induced gastric acid secretion
Ssiderea335957	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Ssiderea249553	regulation of endocannabinoid signaling pathway
Ssiderea245994	metallocarboxypeptidase activity
Ssiderea244902	N-6 adenine-specific DNA methyltransferase 1
Ssiderea240876	Belongs to the CD36 family
Ssiderea257445	protein-hormone receptor activity
Ssiderea263672	regulation of sequestering of zinc ion
Ssiderea194259	regulation of cellular component size
Ssiderea259990	magnesium ion binding
Ssiderea254269	oxidoreductase activity
Ssiderea251158	Roundabout binding
Ssiderea253731	signal peptide processing
Ssiderea238778	EF-hand calcium binding domain 7
Ssiderea183414	sodium channel activity
Ssiderea257055	protein serine/threonine kinase activity
Ssiderea1790	TENA/THI-4/PQQC family
Ssiderea199426	calcium ion-regulated exocytosis of neurotransmitter
Ssiderea261104	acidic dipeptidase
Ssiderea257272	iron-sulfur cluster assembly
Ssiderea234740	Chromosome 1 open reading frame 194
Ssiderea258779	fibroblast growth factor binding
Ssiderea239591	calcium ion binding
Ssiderea255524	glutamine biosynthetic process
Ssiderea253182	Predicted ATPase of the ABC class
Ssiderea255742	protein O-GlcNAc transferase activity
Ssiderea295210	Protein of unknown function (DUF423)
Ssiderea251165	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea255328	microtubule motor activity
Ssiderea255271	aromatase activity
Ssiderea223362	Defective in cullin neddylation 1 domain containing
Ssiderea239464	regulation of cell cycle
Ssiderea247999	calcium-dependent protein serine/threonine kinase activity
Ssiderea255255	heme binding
Ssiderea259850	positive regulation of nuclear cell cycle DNA replication
Ssiderea243281	rRNA processing
Ssiderea250771	potassium channel modulatory factor 1
Ssiderea230550	DNA replication proofreading
Ssiderea252495	-
Ssiderea262171	histidyl-tRNA aminoacylation
Ssiderea246361	dimethylglycine dehydrogenase activity
Ssiderea224957	Belongs to the peptidase M10A family
Ssiderea353472	voltage-gated potassium channel activity
Ssiderea251431	Protein tyrosine kinase
Ssiderea249988	proprotein convertase subtilisin kexin type
Ssiderea262804	U3 snoRNA binding
Ssiderea228791	Protein canopy homolog 4
Ssiderea256415	DNA primase activity
Ssiderea261657	ATPase activity, coupled to transmembrane movement of substances
Ssiderea191229	ATP binding
Ssiderea259573	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
Ssiderea252009	clathrin adaptor activity
Ssiderea260867	catalase activity
Ssiderea208831	LMBR1-like membrane protein
Ssiderea262440	C2 calcium-dependent domain containing 3
Ssiderea257650	Belongs to the AB hydrolase superfamily. Lipase family
Ssiderea257515	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea239915	C-mannosyltransferase
Ssiderea258927	plasma membrane repair
Ssiderea247702	HEAT repeat containing 3
Ssiderea249245	TM2 domain
Ssiderea243840	structural constituent of ribosome
Ssiderea248920	DNA binding
Ssiderea247055	nuclease activity
Ssiderea177203	Ankyrin repeat
Ssiderea252456	amyloid precursor protein metabolic process
Ssiderea259543	NACHT and WD repeat
Ssiderea254322	ubiquitin binding
Ssiderea261514	embryonic ectodermal digestive tract development
Ssiderea236916	Intron-binding protein aquarius
Ssiderea203500	5-formyltetrahydrofolate cyclo-ligase activity
Ssiderea253475	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
Ssiderea255634	motile cilium assembly
Ssiderea245527	establishment or maintenance of actin cytoskeleton polarity
Ssiderea217580	threonine-type endopeptidase activity
Ssiderea262298	Protein tyrosine kinase
Ssiderea124772	Mediates the reversible addition of palmitate to target proteins, thereby regulating their membrane association and biological function
Ssiderea253146	GATS-like protein
Ssiderea248526	response to osmotic stress
Ssiderea261149	deoxyribose-phosphate aldolase activity
Ssiderea261269	phosphorylation of RNA polymerase II C-terminal domain
Ssiderea258335	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Ssiderea246890	oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor
Ssiderea263781	distal tubule morphogenesis
Ssiderea248165	ATPase activity, coupled to transmembrane movement of substances
Ssiderea260531	Tetratricopeptide repeat
Ssiderea245733	peroxisomal long-chain fatty acid import
Ssiderea157931	sequence-specific DNA binding transcription factor activity
Ssiderea251387	Ubiquitin-like modifier-activating enzyme 5
Ssiderea263754	family, member B
Ssiderea238503	acyl carnitine transmembrane transport
Ssiderea232150	Domain of unknown function (DUF4371)
Ssiderea258391	UTP biosynthetic process
Ssiderea202555	homophilic cell adhesion via plasma membrane adhesion molecules
Ssiderea263127	histone H2A K63-linked ubiquitination
Ssiderea188399	dynein intermediate chain binding
Ssiderea113853	-
Ssiderea259811	subunit of the oligosaccharyltransferase complex
Ssiderea258135	Epididymal sperm-binding protein 1
Ssiderea256667	Transmembrane protein 208
