Ssiderea30_c0_seq1	Ssiderea30
Ssiderea21896_c0_seq1	Ssiderea21896
Ssiderea21978_c0_seq1	Ssiderea21978
Ssiderea22149_c0_seq1	Ssiderea22149
Ssiderea22253_c0_seq1	Ssiderea22253
Ssiderea22432_c0_seq1	Ssiderea22432
Ssiderea22432_c0_seq2	Ssiderea22432
Ssiderea22593_c0_seq1	Ssiderea22593
Ssiderea22858_c0_seq1	Ssiderea22858
Ssiderea22858_c0_seq2	Ssiderea22858
Ssiderea22913_c0_seq1	Ssiderea22913
Ssiderea22971_c0_seq1	Ssiderea22971
Ssiderea23058_c0_seq1	Ssiderea23058
Ssiderea23196_c0_seq1	Ssiderea23196
Ssiderea23443_c0_seq1	Ssiderea23443
Ssiderea23585_c0_seq1	Ssiderea23585
Ssiderea23600_c0_seq1	Ssiderea23600
Ssiderea23626_c0_seq1	Ssiderea23626
Ssiderea23681_c0_seq1	Ssiderea23681
Ssiderea23685_c0_seq1	Ssiderea23685
Ssiderea23690_c0_seq1	Ssiderea23690
Ssiderea23744_c0_seq1	Ssiderea23744
Ssiderea23779_c0_seq1	Ssiderea23779
Ssiderea23893_c0_seq1	Ssiderea23893
Ssiderea23997_c0_seq1	Ssiderea23997
Ssiderea24004_c0_seq1	Ssiderea24004
Ssiderea24010_c0_seq1	Ssiderea24010
Ssiderea24053_c0_seq1	Ssiderea24053
Ssiderea24053_c0_seq2	Ssiderea24053
Ssiderea24531_c0_seq1	Ssiderea24531
Ssiderea24631_c0_seq1	Ssiderea24631
Ssiderea24750_c0_seq1	Ssiderea24750
Ssiderea24750_c0_seq2	Ssiderea24750
Ssiderea24883_c0_seq1	Ssiderea24883
Ssiderea24925_c0_seq1	Ssiderea24925
Ssiderea24986_c0_seq1	Ssiderea24986
Ssiderea24995_c0_seq1	Ssiderea24995
Ssiderea25086_c0_seq1	Ssiderea25086
Ssiderea25094_c0_seq1	Ssiderea25094
Ssiderea25249_c0_seq1	Ssiderea25249
Ssiderea25296_c0_seq1	Ssiderea25296
Ssiderea25463_c0_seq1	Ssiderea25463
Ssiderea25501_c0_seq1	Ssiderea25501
Ssiderea25603_c0_seq1	Ssiderea25603
Ssiderea25800_c0_seq1	Ssiderea25800
Ssiderea26007_c0_seq1	Ssiderea26007
Ssiderea26008_c0_seq1	Ssiderea26008
Ssiderea26075_c0_seq1	Ssiderea26075
Ssiderea26119_c0_seq1	Ssiderea26119
Ssiderea26119_c0_seq2	Ssiderea26119
Ssiderea26151_c0_seq1	Ssiderea26151
Ssiderea26163_c0_seq1	Ssiderea26163
Ssiderea26341_c0_seq1	Ssiderea26341
Ssiderea26551_c0_seq1	Ssiderea26551
Ssiderea26551_c0_seq2	Ssiderea26551
Ssiderea26712_c0_seq1	Ssiderea26712
Ssiderea26746_c0_seq1	Ssiderea26746
Ssiderea26772_c0_seq1	Ssiderea26772
Ssiderea26827_c0_seq1	Ssiderea26827
Ssiderea26827_c0_seq2	Ssiderea26827
Ssiderea26972_c0_seq1	Ssiderea26972
Ssiderea26990_c0_seq1	Ssiderea26990
Ssiderea27003_c0_seq1	Ssiderea27003
Ssiderea27032_c0_seq1	Ssiderea27032
Ssiderea27087_c0_seq1	Ssiderea27087
Ssiderea27207_c0_seq1	Ssiderea27207
Ssiderea27339_c0_seq1	Ssiderea27339
Ssiderea27691_c0_seq1	Ssiderea27691
Ssiderea28151_c0_seq1	Ssiderea28151
Ssiderea28433_c0_seq1	Ssiderea28433
Ssiderea28452_c0_seq1	Ssiderea28452
Ssiderea28487_c0_seq1	Ssiderea28487
Ssiderea28715_c0_seq1	Ssiderea28715
Ssiderea28738_c0_seq1	Ssiderea28738
Ssiderea28750_c0_seq1	Ssiderea28750
Ssiderea28959_c0_seq1	Ssiderea28959
Ssiderea29026_c0_seq1	Ssiderea29026
Ssiderea29040_c0_seq1	Ssiderea29040
Ssiderea29090_c0_seq1	Ssiderea29090
Ssiderea29316_c0_seq1	Ssiderea29316
Ssiderea29317_c0_seq1	Ssiderea29317
Ssiderea29520_c0_seq1	Ssiderea29520
Ssiderea29574_c0_seq1	Ssiderea29574
Ssiderea29693_c0_seq1	Ssiderea29693
Ssiderea29878_c0_seq1	Ssiderea29878
Ssiderea29878_c0_seq2	Ssiderea29878
Ssiderea29889_c0_seq1	Ssiderea29889
Ssiderea29940_c0_seq2	Ssiderea29940
Ssiderea30026_c0_seq1	Ssiderea30026
Ssiderea30079_c0_seq1	Ssiderea30079
Ssiderea30083_c0_seq1	Ssiderea30083
Ssiderea30192_c0_seq1	Ssiderea30192
Ssiderea30202_c0_seq1	Ssiderea30202
Ssiderea30207_c0_seq1	Ssiderea30207
Ssiderea30299_c0_seq1	Ssiderea30299
Ssiderea30320_c0_seq1	Ssiderea30320
Ssiderea30320_c0_seq2	Ssiderea30320
Ssiderea30612_c0_seq1	Ssiderea30612
Ssiderea30612_c0_seq2	Ssiderea30612
Ssiderea30773_c0_seq1	Ssiderea30773
Ssiderea30969_c0_seq1	Ssiderea30969
Ssiderea30984_c0_seq1	Ssiderea30984
Ssiderea31035_c0_seq2	Ssiderea31035
Ssiderea31140_c0_seq1	Ssiderea31140
Ssiderea31216_c0_seq1	Ssiderea31216
Ssiderea31277_c0_seq1	Ssiderea31277
Ssiderea31455_c0_seq1	Ssiderea31455
Ssiderea31466_c0_seq1	Ssiderea31466
Ssiderea31469_c0_seq1	Ssiderea31469
Ssiderea31481_c0_seq1	Ssiderea31481
Ssiderea31482_c0_seq1	Ssiderea31482
Ssiderea31557_c0_seq1	Ssiderea31557
Ssiderea31576_c0_seq1	Ssiderea31576
Ssiderea31732_c0_seq1	Ssiderea31732
Ssiderea32063_c0_seq1	Ssiderea32063
Ssiderea32103_c0_seq1	Ssiderea32103
Ssiderea32278_c0_seq1	Ssiderea32278
Ssiderea32594_c0_seq1	Ssiderea32594
Ssiderea32603_c0_seq1	Ssiderea32603
Ssiderea32633_c0_seq1	Ssiderea32633
Ssiderea32692_c0_seq1	Ssiderea32692
Ssiderea32873_c0_seq1	Ssiderea32873
Ssiderea32899_c0_seq1	Ssiderea32899
Ssiderea32902_c0_seq1	Ssiderea32902
Ssiderea33036_c0_seq1	Ssiderea33036
Ssiderea33064_c0_seq1	Ssiderea33064
Ssiderea33064_c0_seq2	Ssiderea33064
Ssiderea33135_c0_seq2	Ssiderea33135
Ssiderea33184_c0_seq1	Ssiderea33184
Ssiderea33298_c0_seq1	Ssiderea33298
Ssiderea33682_c0_seq1	Ssiderea33682
Ssiderea33827_c0_seq1	Ssiderea33827
Ssiderea33913_c0_seq1	Ssiderea33913
Ssiderea33913_c0_seq2	Ssiderea33913
Ssiderea34011_c0_seq1	Ssiderea34011
Ssiderea34024_c0_seq1	Ssiderea34024
Ssiderea34192_c0_seq1	Ssiderea34192
Ssiderea34205_c0_seq2	Ssiderea34205
Ssiderea34264_c0_seq1	Ssiderea34264
Ssiderea34269_c0_seq1	Ssiderea34269
Ssiderea34318_c0_seq1	Ssiderea34318
Ssiderea34571_c0_seq1	Ssiderea34571
Ssiderea35140_c0_seq1	Ssiderea35140
Ssiderea35234_c0_seq1	Ssiderea35234
Ssiderea35482_c0_seq1	Ssiderea35482
Ssiderea35482_c0_seq2	Ssiderea35482
Ssiderea35634_c0_seq1	Ssiderea35634
Ssiderea35702_c0_seq1	Ssiderea35702
Ssiderea35759_c0_seq1	Ssiderea35759
Ssiderea35799_c0_seq1	Ssiderea35799
Ssiderea35816_c0_seq1	Ssiderea35816
Ssiderea35846_c0_seq1	Ssiderea35846
Ssiderea35954_c0_seq1	Ssiderea35954
Ssiderea36293_c0_seq1	Ssiderea36293
Ssiderea36490_c0_seq1	Ssiderea36490
Ssiderea36490_c0_seq2	Ssiderea36490
Ssiderea36636_c0_seq1	Ssiderea36636
Ssiderea36684_c0_seq1	Ssiderea36684
Ssiderea36798_c0_seq1	Ssiderea36798
Ssiderea36798_c0_seq2	Ssiderea36798
Ssiderea36801_c0_seq1	Ssiderea36801
Ssiderea36943_c0_seq1	Ssiderea36943
Ssiderea36958_c0_seq1	Ssiderea36958
Ssiderea36993_c0_seq1	Ssiderea36993
Ssiderea37060_c0_seq1	Ssiderea37060
Ssiderea37166_c0_seq1	Ssiderea37166
Ssiderea37240_c0_seq1	Ssiderea37240
Ssiderea37558_c0_seq1	Ssiderea37558
Ssiderea37619_c0_seq1	Ssiderea37619
Ssiderea38486_c0_seq1	Ssiderea38486
Ssiderea38654_c0_seq1	Ssiderea38654
Ssiderea38782_c0_seq1	Ssiderea38782
Ssiderea38827_c0_seq1	Ssiderea38827
Ssiderea39223_c0_seq1	Ssiderea39223
Ssiderea39223_c0_seq2	Ssiderea39223
Ssiderea39599_c0_seq1	Ssiderea39599
Ssiderea39642_c0_seq1	Ssiderea39642
Ssiderea39745_c0_seq1	Ssiderea39745
Ssiderea39762_c0_seq1	Ssiderea39762
Ssiderea39865_c0_seq2	Ssiderea39865
Ssiderea39882_c0_seq1	Ssiderea39882
Ssiderea40065_c0_seq1	Ssiderea40065
Ssiderea40239_c0_seq1	Ssiderea40239
Ssiderea40239_c0_seq2	Ssiderea40239
Ssiderea40465_c0_seq1	Ssiderea40465
Ssiderea40983_c0_seq1	Ssiderea40983
Ssiderea41216_c0_seq1	Ssiderea41216
Ssiderea41492_c0_seq1	Ssiderea41492
Ssiderea41502_c0_seq1	Ssiderea41502
Ssiderea41728_c0_seq1	Ssiderea41728
Ssiderea41889_c0_seq1	Ssiderea41889
Ssiderea42293_c0_seq1	Ssiderea42293
Ssiderea42492_c0_seq1	Ssiderea42492
Ssiderea42556_c0_seq1	Ssiderea42556
Ssiderea42561_c0_seq1	Ssiderea42561
Ssiderea42719_c0_seq1	Ssiderea42719
Ssiderea42947_c0_seq1	Ssiderea42947
Ssiderea43617_c0_seq1	Ssiderea43617
Ssiderea44000_c0_seq2	Ssiderea44000
Ssiderea44191_c0_seq2	Ssiderea44191
Ssiderea44498_c0_seq1	Ssiderea44498
Ssiderea44628_c0_seq1	Ssiderea44628
Ssiderea44750_c0_seq1	Ssiderea44750
Ssiderea44786_c0_seq1	Ssiderea44786
Ssiderea44787_c0_seq1	Ssiderea44787
Ssiderea44929_c0_seq1	Ssiderea44929
Ssiderea45042_c0_seq1	Ssiderea45042
Ssiderea45329_c0_seq1	Ssiderea45329
Ssiderea45662_c0_seq1	Ssiderea45662
Ssiderea45836_c0_seq1	Ssiderea45836
Ssiderea45917_c0_seq1	Ssiderea45917
Ssiderea46422_c0_seq2	Ssiderea46422
Ssiderea46539_c0_seq1	Ssiderea46539
Ssiderea46735_c0_seq1	Ssiderea46735
Ssiderea46787_c0_seq1	Ssiderea46787
Ssiderea47114_c0_seq1	Ssiderea47114
Ssiderea47503_c0_seq1	Ssiderea47503
Ssiderea47549_c0_seq1	Ssiderea47549
Ssiderea47566_c0_seq1	Ssiderea47566
Ssiderea47639_c0_seq1	Ssiderea47639
Ssiderea47715_c0_seq1	Ssiderea47715
Ssiderea47743_c0_seq1	Ssiderea47743
Ssiderea47838_c0_seq1	Ssiderea47838
Ssiderea48296_c0_seq1	Ssiderea48296
Ssiderea48384_c0_seq1	Ssiderea48384
Ssiderea48474_c0_seq1	Ssiderea48474
Ssiderea48656_c0_seq1	Ssiderea48656
Ssiderea48829_c0_seq1	Ssiderea48829
Ssiderea48973_c0_seq1	Ssiderea48973
Ssiderea49142_c0_seq1	Ssiderea49142
Ssiderea49310_c0_seq1	Ssiderea49310
Ssiderea49367_c0_seq1	Ssiderea49367
Ssiderea49576_c0_seq1	Ssiderea49576
Ssiderea49896_c0_seq1	Ssiderea49896
Ssiderea49906_c0_seq1	Ssiderea49906
Ssiderea50113_c0_seq1	Ssiderea50113
Ssiderea50303_c0_seq1	Ssiderea50303
Ssiderea50417_c0_seq1	Ssiderea50417
Ssiderea50417_c0_seq2	Ssiderea50417
Ssiderea50883_c0_seq1	Ssiderea50883
Ssiderea50977_c0_seq1	Ssiderea50977
Ssiderea51015_c0_seq2	Ssiderea51015
Ssiderea51034_c0_seq1	Ssiderea51034
Ssiderea51284_c0_seq1	Ssiderea51284
Ssiderea51327_c0_seq1	Ssiderea51327
Ssiderea51419_c0_seq1	Ssiderea51419
Ssiderea51419_c0_seq2	Ssiderea51419
Ssiderea51430_c0_seq1	Ssiderea51430
Ssiderea51447_c0_seq1	Ssiderea51447
Ssiderea51519_c0_seq1	Ssiderea51519
Ssiderea51566_c0_seq1	Ssiderea51566
Ssiderea51690_c0_seq1	Ssiderea51690
Ssiderea51715_c0_seq1	Ssiderea51715
Ssiderea51835_c0_seq1	Ssiderea51835
Ssiderea51887_c0_seq1	Ssiderea51887
Ssiderea52018_c0_seq1	Ssiderea52018
Ssiderea52147_c0_seq1	Ssiderea52147
Ssiderea52188_c0_seq1	Ssiderea52188
Ssiderea52347_c0_seq2	Ssiderea52347
Ssiderea52391_c0_seq1	Ssiderea52391
Ssiderea52454_c0_seq1	Ssiderea52454
Ssiderea52454_c0_seq2	Ssiderea52454
Ssiderea52509_c0_seq1	Ssiderea52509
Ssiderea52869_c0_seq1	Ssiderea52869
Ssiderea52869_c0_seq2	Ssiderea52869
Ssiderea52983_c0_seq1	Ssiderea52983
Ssiderea53004_c0_seq1	Ssiderea53004
Ssiderea53150_c1_seq1	Ssiderea53150
Ssiderea53151_c0_seq1	Ssiderea53151
Ssiderea53247_c0_seq1	Ssiderea53247
Ssiderea53279_c0_seq1	Ssiderea53279
Ssiderea53334_c0_seq1	Ssiderea53334
Ssiderea53366_c0_seq1	Ssiderea53366
Ssiderea53366_c0_seq2	Ssiderea53366
Ssiderea53544_c0_seq1	Ssiderea53544
Ssiderea53636_c0_seq1	Ssiderea53636
Ssiderea53695_c0_seq1	Ssiderea53695
Ssiderea53702_c0_seq1	Ssiderea53702
Ssiderea54114_c0_seq1	Ssiderea54114
Ssiderea54144_c0_seq1	Ssiderea54144
Ssiderea54424_c0_seq1	Ssiderea54424
Ssiderea54674_c0_seq1	Ssiderea54674
Ssiderea54881_c0_seq1	Ssiderea54881
Ssiderea55027_c0_seq1	Ssiderea55027
Ssiderea55361_c0_seq1	Ssiderea55361
Ssiderea55509_c0_seq1	Ssiderea55509
Ssiderea55838_c0_seq1	Ssiderea55838
Ssiderea55901_c0_seq1	Ssiderea55901
Ssiderea56173_c0_seq1	Ssiderea56173
Ssiderea56178_c0_seq1	Ssiderea56178
Ssiderea56213_c0_seq1	Ssiderea56213
Ssiderea56390_c0_seq1	Ssiderea56390
Ssiderea56624_c0_seq1	Ssiderea56624
Ssiderea56800_c0_seq1	Ssiderea56800
Ssiderea56942_c0_seq1	Ssiderea56942
Ssiderea56954_c0_seq1	Ssiderea56954
Ssiderea56970_c0_seq1	Ssiderea56970
Ssiderea57266_c0_seq1	Ssiderea57266
Ssiderea57266_c0_seq2	Ssiderea57266
Ssiderea57445_c0_seq1	Ssiderea57445
Ssiderea57504_c0_seq1	Ssiderea57504
Ssiderea57512_c0_seq1	Ssiderea57512
Ssiderea57512_c0_seq2	Ssiderea57512
Ssiderea57690_c0_seq1	Ssiderea57690
Ssiderea57873_c0_seq1	Ssiderea57873
Ssiderea57889_c0_seq1	Ssiderea57889
Ssiderea58044_c0_seq1	Ssiderea58044
Ssiderea58061_c0_seq1	Ssiderea58061
Ssiderea58061_c0_seq2	Ssiderea58061
Ssiderea58095_c0_seq1	Ssiderea58095
Ssiderea58132_c0_seq1	Ssiderea58132
Ssiderea58142_c0_seq1	Ssiderea58142
Ssiderea58161_c0_seq1	Ssiderea58161
Ssiderea58195_c0_seq1	Ssiderea58195
Ssiderea58227_c0_seq1	Ssiderea58227
Ssiderea58336_c0_seq1	Ssiderea58336
Ssiderea58553_c0_seq1	Ssiderea58553
Ssiderea58612_c0_seq1	Ssiderea58612
Ssiderea58665_c0_seq1	Ssiderea58665
Ssiderea58842_c0_seq1	Ssiderea58842
Ssiderea59113_c0_seq1	Ssiderea59113
Ssiderea59229_c0_seq1	Ssiderea59229
Ssiderea59242_c0_seq1	Ssiderea59242
Ssiderea59245_c0_seq1	Ssiderea59245
Ssiderea59245_c0_seq2	Ssiderea59245
Ssiderea59246_c0_seq1	Ssiderea59246
Ssiderea59344_c0_seq2	Ssiderea59344
Ssiderea59384_c0_seq1	Ssiderea59384
Ssiderea59647_c0_seq1	Ssiderea59647
Ssiderea59761_c0_seq1	Ssiderea59761
Ssiderea59829_c0_seq1	Ssiderea59829
Ssiderea59914_c0_seq1	Ssiderea59914
Ssiderea59914_c0_seq2	Ssiderea59914
Ssiderea59947_c0_seq2	Ssiderea59947
Ssiderea60054_c0_seq1	Ssiderea60054
Ssiderea60135_c0_seq1	Ssiderea60135
Ssiderea60206_c0_seq1	Ssiderea60206
Ssiderea60248_c0_seq1	Ssiderea60248
Ssiderea60267_c0_seq1	Ssiderea60267
Ssiderea60272_c0_seq1	Ssiderea60272
Ssiderea60468_c0_seq1	Ssiderea60468
Ssiderea60536_c0_seq1	Ssiderea60536
Ssiderea60581_c0_seq1	Ssiderea60581
Ssiderea60719_c0_seq1	Ssiderea60719
Ssiderea60723_c0_seq1	Ssiderea60723
Ssiderea60790_c0_seq1	Ssiderea60790
Ssiderea60798_c0_seq1	Ssiderea60798
Ssiderea60804_c0_seq1	Ssiderea60804
Ssiderea60907_c0_seq1	Ssiderea60907
Ssiderea61003_c0_seq1	Ssiderea61003
Ssiderea61026_c0_seq1	Ssiderea61026
Ssiderea61034_c0_seq1	Ssiderea61034
Ssiderea61145_c0_seq1	Ssiderea61145
Ssiderea61223_c0_seq1	Ssiderea61223
Ssiderea61228_c0_seq1	Ssiderea61228
Ssiderea61236_c0_seq1	Ssiderea61236
Ssiderea61291_c0_seq1	Ssiderea61291
Ssiderea61305_c0_seq1	Ssiderea61305
Ssiderea61389_c0_seq1	Ssiderea61389
Ssiderea61578_c0_seq1	Ssiderea61578
Ssiderea61600_c0_seq1	Ssiderea61600
Ssiderea61675_c0_seq1	Ssiderea61675
Ssiderea61718_c0_seq1	Ssiderea61718
Ssiderea61791_c0_seq1	Ssiderea61791
Ssiderea61796_c0_seq1	Ssiderea61796
Ssiderea61806_c0_seq1	Ssiderea61806
Ssiderea61883_c0_seq1	Ssiderea61883
Ssiderea62078_c0_seq1	Ssiderea62078
Ssiderea62086_c0_seq1	Ssiderea62086
Ssiderea62146_c0_seq1	Ssiderea62146
Ssiderea62146_c0_seq2	Ssiderea62146
Ssiderea62299_c0_seq1	Ssiderea62299
Ssiderea62302_c0_seq1	Ssiderea62302
Ssiderea62362_c0_seq1	Ssiderea62362
Ssiderea62497_c0_seq1	Ssiderea62497
Ssiderea62589_c0_seq1	Ssiderea62589
Ssiderea62700_c0_seq1	Ssiderea62700
Ssiderea62700_c0_seq2	Ssiderea62700
Ssiderea62886_c0_seq1	Ssiderea62886
Ssiderea62898_c0_seq1	Ssiderea62898
Ssiderea62905_c0_seq1	Ssiderea62905
Ssiderea62935_c0_seq1	Ssiderea62935
Ssiderea63086_c0_seq1	Ssiderea63086
Ssiderea63230_c0_seq1	Ssiderea63230
Ssiderea63272_c0_seq1	Ssiderea63272
Ssiderea63360_c0_seq1	Ssiderea63360
Ssiderea63390_c0_seq1	Ssiderea63390
Ssiderea63432_c0_seq1	Ssiderea63432
Ssiderea63781_c0_seq1	Ssiderea63781
Ssiderea63902_c0_seq1	Ssiderea63902
Ssiderea63946_c0_seq1	Ssiderea63946
Ssiderea63972_c0_seq1	Ssiderea63972
Ssiderea63976_c0_seq1	Ssiderea63976
Ssiderea63985_c0_seq1	Ssiderea63985
Ssiderea63991_c0_seq1	Ssiderea63991
Ssiderea64262_c0_seq1	Ssiderea64262
Ssiderea64414_c0_seq1	Ssiderea64414
Ssiderea64440_c0_seq1	Ssiderea64440
Ssiderea64473_c0_seq1	Ssiderea64473
Ssiderea64527_c0_seq1	Ssiderea64527
Ssiderea64758_c0_seq1	Ssiderea64758
Ssiderea64935_c0_seq1	Ssiderea64935
Ssiderea65070_c0_seq1	Ssiderea65070
Ssiderea65356_c0_seq1	Ssiderea65356
Ssiderea65428_c0_seq1	Ssiderea65428
Ssiderea65448_c0_seq1	Ssiderea65448
Ssiderea65705_c0_seq1	Ssiderea65705
Ssiderea66016_c0_seq1	Ssiderea66016
Ssiderea66018_c0_seq1	Ssiderea66018
Ssiderea66241_c0_seq1	Ssiderea66241
Ssiderea66323_c0_seq1	Ssiderea66323
Ssiderea66323_c0_seq2	Ssiderea66323
Ssiderea66331_c0_seq1	Ssiderea66331
Ssiderea66530_c0_seq1	Ssiderea66530
Ssiderea66670_c0_seq1	Ssiderea66670
Ssiderea66682_c0_seq1	Ssiderea66682
Ssiderea67010_c0_seq1	Ssiderea67010
Ssiderea67010_c0_seq2	Ssiderea67010
Ssiderea67011_c0_seq1	Ssiderea67011
Ssiderea67237_c0_seq1	Ssiderea67237
Ssiderea67250_c0_seq1	Ssiderea67250
Ssiderea67481_c0_seq1	Ssiderea67481
Ssiderea67557_c0_seq1	Ssiderea67557
Ssiderea67635_c0_seq1	Ssiderea67635
Ssiderea67704_c0_seq1	Ssiderea67704
