Ssiderea243376	K05681
Ssiderea204945	K03990
Ssiderea263227	K24835
Ssiderea237279	K03978
Ssiderea259673	K10645
Ssiderea260670	K06114
Ssiderea253806	K15046
Ssiderea236355	K01443
Ssiderea241190	K09584
Ssiderea227796	K14808
Ssiderea260114	K25424
Ssiderea235134	K11411
Ssiderea198103	K15837
Ssiderea80951	K05605
Ssiderea2627	K01019
Ssiderea263059	K04659
Ssiderea256747	K18405
Ssiderea203373	K09228
Ssiderea262221	K23851
Ssiderea248642	K17686
Ssiderea256353	K04984
Ssiderea250649	K02876
Ssiderea219897	K23739
Ssiderea256420	K09214
Ssiderea200954	K01897
Ssiderea246941	K22656
Ssiderea259783	K10435
Ssiderea232443	K09221
Ssiderea246615	K01867
Ssiderea171107	K04662
Ssiderea256723	K12735
Ssiderea228469	K08132
Ssiderea255757	K08187
Ssiderea261665	K24317
Ssiderea244000	K08342
Ssiderea324237	K09228
Ssiderea257140	K18134
Ssiderea258017	K06095
Ssiderea228695	K15695
Ssiderea316365	K04887
Ssiderea251716	K09572
Ssiderea249816	K20289
Ssiderea247230	K04978
Ssiderea247516	K01940
Ssiderea193258	K02981
Ssiderea234969	K08874
Ssiderea251216	K17307
Ssiderea247103	K08202
Ssiderea212097	K10610
Ssiderea263303	K06689
Ssiderea258527	K24431
Ssiderea244007	K00784
Ssiderea222515	K17601
Ssiderea261586	K03504
Ssiderea245195	K07375
Ssiderea260509	K19636
Ssiderea218710	K04512
Ssiderea259411	K15630
Ssiderea256210	K01897
Ssiderea209196	K04600
Ssiderea250447	K20317
Ssiderea246385	K00728
Ssiderea253584	K01201
Ssiderea187490	K12443
Ssiderea256544	K24828
Ssiderea252667	K24660
Ssiderea26827	K24925
Ssiderea263194	K05673
Ssiderea118147	K23538
Ssiderea230461	K22754
Ssiderea261861	K13138
Ssiderea227303	K01772
Ssiderea260260	K09454
Ssiderea220194	K24506
Ssiderea247889	K10397
Ssiderea146244	K02147
Ssiderea249553	K01054
Ssiderea244902	K19589
Ssiderea257445	K08399
Ssiderea263672	K14693
Ssiderea259990	K08789
Ssiderea254269	K00002
Ssiderea232883	K19526
Ssiderea253731	K12948
Ssiderea238778	K23852
Ssiderea257055	K15595
Ssiderea183414	K04830
Ssiderea1790	K22911
Ssiderea257272	K24730
Ssiderea258779	K26161
Ssiderea239591	K23922
Ssiderea255524	K01915
Ssiderea253182	K06924
Ssiderea255328	K10406
Ssiderea223362	K17822
Ssiderea247999	K04372
Ssiderea255255	K17689
Ssiderea259850	K11665
Ssiderea243281	K09140
Ssiderea250771	K22376
Ssiderea353472	K04874
Ssiderea249988	K08654
Ssiderea262804	K14569
Ssiderea257650	K14074
Ssiderea247702	K24812
Ssiderea243840	K02890
Ssiderea259543	K24734
Ssiderea261514	K20298
Ssiderea236916	K12874
Ssiderea253475	K24205
Ssiderea253146	K23080
Ssiderea124772	K18932
Ssiderea248526	K11805
Ssiderea261149	K01619
Ssiderea245733	K05677
Ssiderea133061	K15048
Ssiderea305361	K02256
Ssiderea238503	K15109
Ssiderea258391	K00940
Ssiderea232150	K24674
Ssiderea263251	K10888
Ssiderea263127	K10667
Ssiderea202555	K16669
Ssiderea188399	K10419
Ssiderea258135	K01403
Ssiderea249412	K12864
Ssiderea250750	K05743
Ssiderea251136	K20196
Ssiderea263207	K05925
Ssiderea262594	K07436
Ssiderea250130	K03029
Ssiderea261017	K15426
Ssiderea244379	K10457
Ssiderea184679	K12584
Ssiderea234299	K21625
Ssiderea250215	K21413
Ssiderea222036	K23408
Ssiderea262470	K09848
Ssiderea228548	K10258
Ssiderea111113	K14292
Ssiderea263703	K24485
Ssiderea238935	K08818
Ssiderea213642	K05747
Ssiderea247585	K15323
Ssiderea251989	K10858
Ssiderea254624	K14285
Ssiderea256426	K01280
Ssiderea239319	K15277
Ssiderea212676	K02155
Ssiderea244190	K19007
Ssiderea263791	K07497
Ssiderea255789	K20899
Ssiderea257473	K17341
Ssiderea212173	K05396
Ssiderea261305	K14297
Ssiderea249318	K12183
Ssiderea229568	K10380
Ssiderea247808	K20474
Ssiderea260142	K20792
Ssiderea153029	K23564
Ssiderea216490	K02990
Ssiderea252872	K18400
Ssiderea254863	K10777
Ssiderea234380	K00562
Ssiderea221955	K02883
Ssiderea237825	K00461
Ssiderea253083	K13719
Ssiderea254877	K01692
Ssiderea254257	K05181
Ssiderea257588	K17682
Ssiderea247542	K22198
Ssiderea254738	K15293
Ssiderea258821	K03131
Ssiderea254536	K11292
Ssiderea261936	K16726
Ssiderea253244	K02030
Ssiderea226456	K15716
Ssiderea258591	K22990
Ssiderea230159	K06711
Ssiderea238080	K02932
Ssiderea251456	K01900
Ssiderea262842	K14566
Ssiderea253658	K08808
Ssiderea259462	K14943
Ssiderea246858	K23335
Ssiderea238014	K24822
Ssiderea245000	K06642
Ssiderea241820	K19511
Ssiderea249222	K05888
Ssiderea259274	K15280
Ssiderea238759	K20288
Ssiderea238141	K13728
Ssiderea260542	K11859
Ssiderea247375	K01897
Ssiderea240630	K15135
Ssiderea250803	K01277
Ssiderea188343	K19882
Ssiderea255680	K25543
Ssiderea246959	K13208
Ssiderea256141	K10482
Ssiderea248300	K07943
Ssiderea247816	K14347
Ssiderea254629	K20631
Ssiderea244492	K17778
Ssiderea262370	K15433
Ssiderea71086	K04570
Ssiderea237761	K12323
Ssiderea306408	K04880
Ssiderea254844	K24060
Ssiderea256017	K02513
Ssiderea259120	K16667
Ssiderea254210	K20818
Ssiderea187923	K10642
Ssiderea161623	K15014
Ssiderea226088	K02183
Ssiderea252361	K12375
Ssiderea253474	K12302
Ssiderea178841	K02896
Ssiderea39745	K16669
Ssiderea237119	K24098
Ssiderea333638	K16308
Ssiderea235597	K10380
Ssiderea194084	K10809
Ssiderea251901	K25421
Ssiderea152491	K02987
Ssiderea253194	K11729
Ssiderea263003	K02599
Ssiderea241039	K17981
Ssiderea242183	K10396
Ssiderea274263	K04550
Ssiderea242348	K15615
Ssiderea253843	K21138
Ssiderea255402	K23893
Ssiderea247813	K01082
Ssiderea317708	K10382
Ssiderea247714	K19369
Ssiderea238566	K10404
Ssiderea239957	K05869
Ssiderea243617	K10144
Ssiderea436257	K00544
Ssiderea248324	K17260
Ssiderea256610	K13983
Ssiderea258284	K22544
Ssiderea190862	K24298
Ssiderea255367	K01599
Ssiderea31732	K17592
Ssiderea262986	K01469
Ssiderea63272	K14994
Ssiderea230803	K08076
Ssiderea99063	K03424
Ssiderea255441	K12353
Ssiderea250280	K04459
Ssiderea316483	K07636
Ssiderea236778	K10585
Ssiderea249307	K14832
Ssiderea258342	K10798
Ssiderea243781	K08360
Ssiderea252642	K19041
Ssiderea245067	K15116
Ssiderea255178	K20280
Ssiderea204290	K16576
Ssiderea164620	K05313
Ssiderea222562	K04874
Ssiderea103668	K12021
Ssiderea263130	K10592
Ssiderea225064	K09228
Ssiderea251669	K02295
Ssiderea257184	K10380
Ssiderea223830	K00121
Ssiderea260376	K15442
Ssiderea237010	K13752
Ssiderea261176	K14616
Ssiderea210217	K06941
Ssiderea3045	K01832
Ssiderea261141	K12319
Ssiderea263943	K05692
Ssiderea254707	K08853
Ssiderea212530	K09632
Ssiderea218326	K23962
Ssiderea251720	K02208
Ssiderea227892	K20858
Ssiderea248633	K16739
Ssiderea232754	K17919
Ssiderea262505	K06678
Ssiderea254248	K12343
Ssiderea249653	K11724
Ssiderea403410	K12385
Ssiderea258385	K03593
Ssiderea172631	K09422
Ssiderea249744	K22615
Ssiderea257980	K04986
Ssiderea249293	K15335
Ssiderea229667	K10457
Ssiderea192799	K05858
Ssiderea247162	K22369
Ssiderea254133	K16469
Ssiderea252486	K10277
Ssiderea232317	K21626
Ssiderea258682	K09654
Ssiderea91853	K04950
Ssiderea332435	K13288
Ssiderea263467	K05695
Ssiderea223692	K04393
Ssiderea137933	K17458
Ssiderea245701	K18533
Ssiderea253407	K12233
Ssiderea260349	K04856
Ssiderea245858	K13755
Ssiderea191133	K02738
Ssiderea256644	K14764
Ssiderea252623	K01253
Ssiderea251236	K07192
Ssiderea256681	K01372
Ssiderea247535	K15306
Ssiderea248810	K00626
Ssiderea122491	K07874
Ssiderea241937	K05110
Ssiderea254084	K24502
Ssiderea300158	K10457
Ssiderea243221	K11519
Ssiderea91708	K01128
Ssiderea324263	K00412
Ssiderea130090	K14072
Ssiderea240322	K01183
Ssiderea232591	K01431
Ssiderea256601	K20726
Ssiderea252973	K01137
Ssiderea260946	K02211
Ssiderea247266	K19499
Ssiderea214956	K19027
Ssiderea140755	K00325
Ssiderea362242	K15503
Ssiderea213331	K12850
Ssiderea316173	K15627
Ssiderea232582	K14842
Ssiderea251163	K11428
Ssiderea221218	K04221
Ssiderea256064	K01897
Ssiderea260688	K11262
Ssiderea238493	K08805
Ssiderea259136	K11730
Ssiderea231349	K00280
Ssiderea233882	K09228
Ssiderea5654	K04874
Ssiderea196972	K19398
Ssiderea247136	K13912
Ssiderea257631	K05120
Ssiderea190277	K09632
Ssiderea232756	K03377
Ssiderea229434	K08913
Ssiderea249136	K06959
Ssiderea260381	K23540
Ssiderea258933	K22614
Ssiderea112913	K10380
Ssiderea243271	K24901
Ssiderea260562	K06230
Ssiderea244701	K01667
Ssiderea248267	K12309
Ssiderea226577	K19755
Ssiderea254727	K14165
Ssiderea247097	K10419
Ssiderea230095	K23048
Ssiderea214647	K01907
Ssiderea240513	K25215
Ssiderea311763	K03068
Ssiderea242336	K06792
Ssiderea257020	K07611
Ssiderea231686	K04409
Ssiderea256213	K24224
Ssiderea231570	K06999
Ssiderea262815	K23342
Ssiderea246863	K14379
Ssiderea254708	K11517
Ssiderea241926	K07426
Ssiderea221929	K02989
Ssiderea257018	K12852
Ssiderea281082	K19199
Ssiderea13370	K11997
Ssiderea262738	K24793
Ssiderea210596	K17849
Ssiderea252357	K25720
Ssiderea239174	K25700
Ssiderea257384	K05728
Ssiderea255533	K08187
Ssiderea262516	K19526
Ssiderea237316	K24506
Ssiderea262600	K15837
Ssiderea243594	K09608
Ssiderea261102	K11346
Ssiderea262052	K08375
Ssiderea237158	K09309
Ssiderea256697	K10457
Ssiderea159771	K15779
Ssiderea246768	K13102
Ssiderea223928	K07206
Ssiderea255261	K00976
Ssiderea249008	K17197
Ssiderea201749	K05288
Ssiderea231037	K08202
Ssiderea213377	K23908
Ssiderea257934	K10406
Ssiderea247013	K00059
Ssiderea258204	K08657
Ssiderea9193	K13865
Ssiderea260857	K17614
Ssiderea260536	K20174
Ssiderea253380	K08202
Ssiderea258730	K08635
Ssiderea260091	K20777
Ssiderea362524	K21862
Ssiderea257783	K17301
Ssiderea260719	K01231
Ssiderea217761	K16796
Ssiderea97162	K11968
Ssiderea255337	K15375
Ssiderea140373	K05186
Ssiderea6531	K04382
Ssiderea257406	K24814
Ssiderea158912	K22556
Ssiderea249864	K04994
Ssiderea240272	K02159
Ssiderea221450	K09521
Ssiderea251330	K04405
Ssiderea259379	K13956
Ssiderea301767	K05884
Ssiderea260482	K03654
Ssiderea262544	K06826
Ssiderea259640	K01135
Ssiderea105656	K18405
Ssiderea261574	K06816
Ssiderea194266	K10408
Ssiderea217296	K24889
Ssiderea259359	K12233
Ssiderea250342	K00622
Ssiderea202444	K17253
Ssiderea325178	K15423
Ssiderea220480	K06847
Ssiderea212429	K14156
Ssiderea263635	K11699
Ssiderea252882	K19750
Ssiderea253317	K14018
Ssiderea246032	K15168
Ssiderea284772	K16457
Ssiderea259734	K24934
Ssiderea255017	K07298
Ssiderea237429	K01875
Ssiderea263565	K17691
Ssiderea250542	K01698
Ssiderea262732	K24938
Ssiderea234649	K06626
Ssiderea203820	K15608
Ssiderea260581	K13369
Ssiderea255665	K19931
Ssiderea229782	K01135
Ssiderea225101	K05863
Ssiderea155871	K16250
Ssiderea261383	K01886
Ssiderea255226	K15271
Ssiderea141091	K06630
Ssiderea255660	K13886
Ssiderea243748	K24511
Ssiderea262752	K21396
Ssiderea253995	K15759
Ssiderea154782	K14165
Ssiderea258465	K04887
Ssiderea263070	K02105
Ssiderea252119	K09228
Ssiderea252680	K03257
Ssiderea241111	K15045
Ssiderea214146	K02873
Ssiderea254781	K21751
Ssiderea235803	K24931
Ssiderea247605	K16467
Ssiderea258357	K11996
Ssiderea167277	K08547
Ssiderea135410	K09584
Ssiderea259283	K23616
Ssiderea251640	K08493
Ssiderea106030	K09228
Ssiderea212710	K17915
Ssiderea297024	K01897
Ssiderea251971	K21440
Ssiderea251411	K22403
Ssiderea211493	K05128
Ssiderea259726	K17796
Ssiderea236180	K08455
Ssiderea194154	K24309
Ssiderea256550	K10414
Ssiderea257069	K15297
Ssiderea260047	K06225
Ssiderea263067	K24936
Ssiderea260647	K02178
Ssiderea53636	K10251
Ssiderea235230	K10752
Ssiderea252416	K08526
Ssiderea258836	K13179
Ssiderea245544	K01858
Ssiderea246471	K03175
Ssiderea261183	K04592
Ssiderea256788	K10580
Ssiderea257687	K13806
Ssiderea305045	K01408
Ssiderea134490	K05034
Ssiderea241790	K17689
Ssiderea150415	K10380
Ssiderea159296	K08770
Ssiderea258366	K01754
Ssiderea221714	K04194
Ssiderea244116	K07511
Ssiderea262107	K21989
Ssiderea255243	K14575
Ssiderea229602	K17383
Ssiderea208364	K03246
Ssiderea258637	K04715
Ssiderea234561	K10268
Ssiderea247824	K10268
Ssiderea253606	K07497
Ssiderea262078	K15310
Ssiderea252968	K07903
Ssiderea261767	K19673
Ssiderea160864	K02934
Ssiderea261090	K26151
Ssiderea244263	K24936
Ssiderea250232	K20399
Ssiderea248565	K11142
Ssiderea184195	K09357
Ssiderea263491	K04982
Ssiderea250985	K05673
Ssiderea249802	K04727
Ssiderea206758	K20364
Ssiderea238171	K19748
Ssiderea233193	K01511
Ssiderea241351	K12795
Ssiderea249621	K17529
Ssiderea252592	K05888
Ssiderea209773	K17570
Ssiderea245356	K19521
Ssiderea242765	K08193
Ssiderea233280	K02954
Ssiderea202625	K22614
Ssiderea257968	K14849
Ssiderea129502	K02997
Ssiderea261480	K13159
Ssiderea250338	K23034
Ssiderea236772	K13912
Ssiderea248504	K00812
Ssiderea242127	K08515
Ssiderea262177	K24095
Ssiderea242789	K10584
Ssiderea248434	K04316
Ssiderea194183	K20779
Ssiderea262084	K19613
Ssiderea219384	K04231
Ssiderea250939	K13702
Ssiderea87283	K14572
Ssiderea235326	K02864
Ssiderea258655	K15377
Ssiderea454808	K13240
Ssiderea255590	K08860
Ssiderea116908	K06215
Ssiderea51430	K07868
Ssiderea241103	K02209
Ssiderea120493	K19870
Ssiderea199062	K11976
Ssiderea260989	K14592
Ssiderea263498	K10398
Ssiderea200168	K07497
Ssiderea258064	K05292
Ssiderea234819	K10478
Ssiderea255292	K00254
Ssiderea262727	K01965
Ssiderea221003	K04854
Ssiderea258742	K09227
Ssiderea263653	K12026
Ssiderea118755	K20793
Ssiderea252255	K16604
Ssiderea259782	K01022
Ssiderea353440	K12035
Ssiderea171905	K08874
Ssiderea246974	K04988
Ssiderea242549	K19495
Ssiderea241915	K06636
Ssiderea256968	K18164
Ssiderea250811	K17904
Ssiderea251204	K09478
Ssiderea215247	K02985
Ssiderea257324	K04266
Ssiderea182220	K11757
Ssiderea196317	K01768
Ssiderea259664	K05730
Ssiderea254902	K08180
Ssiderea238302	K13051
Ssiderea261502	K09496
Ssiderea251724	K18441
Ssiderea246023	K01712
Ssiderea241786	K25611
Ssiderea204972	K16506
Ssiderea255097	K04592
Ssiderea259766	K15014
Ssiderea251547	K00108
Ssiderea250316	K04564
Ssiderea246292	K07435
Ssiderea261655	K00281
Ssiderea230103	K04141
Ssiderea259738	K19362
Ssiderea99808	K10899
Ssiderea249381	K12849
Ssiderea196990	K08439
Ssiderea243354	K17730
Ssiderea83697	K09884
Ssiderea233163	K23297
Ssiderea261468	K15303
Ssiderea263830	K17592
Ssiderea189997	K20795
Ssiderea262038	K21734
Ssiderea257165	K05681
Ssiderea254649	K22381
Ssiderea244413	K17592
Ssiderea253280	K08375
Ssiderea365288	K07497
Ssiderea256950	K24800
Ssiderea216439	K01045
Ssiderea245851	K02186
Ssiderea226212	K07207
Ssiderea249005	K24964
Ssiderea253485	K14946
Ssiderea255135	K20194
Ssiderea263417	K05126
Ssiderea259200	K09228
Ssiderea246826	K13717
Ssiderea254895	K04887
Ssiderea216186	K00461
Ssiderea249446	K24930
Ssiderea250955	K00463
Ssiderea258940	K14832
Ssiderea252533	K10443
Ssiderea176093	K12603
Ssiderea249602	K15074
Ssiderea248347	K00237
Ssiderea260907	K14950
Ssiderea256413	K00088
Ssiderea263254	K07765
Ssiderea249022	K09307
Ssiderea261081	K17551
Ssiderea258309	K10409
Ssiderea258618	K01783
Ssiderea260054	K11844
Ssiderea261312	K23617
Ssiderea230050	K06179
Ssiderea332589	K22754
Ssiderea217309	K10768
Ssiderea259112	K19329
Ssiderea253741	K11831
Ssiderea248465	K16273
Ssiderea26151	K02210
Ssiderea325346	K03654
Ssiderea163442	K10408
Ssiderea254759	K11789
Ssiderea257733	K15348
Ssiderea233375	K04615
Ssiderea256755	K00863
Ssiderea287818	K03648
Ssiderea206820	K00522
Ssiderea247753	K02320
Ssiderea261772	K04363
Ssiderea181313	K17300
Ssiderea191170	K05313
Ssiderea262356	K08873
Ssiderea249965	K05864
Ssiderea261164	K24227
Ssiderea234891	K01937
Ssiderea282838	K24205
Ssiderea245830	K11412
Ssiderea233291	K23544
Ssiderea223722	K02263
Ssiderea425788	K02088
Ssiderea254848	K01412
Ssiderea253525	K00852
Ssiderea261280	K16757
Ssiderea239784	K17964
Ssiderea237265	K12035
Ssiderea209696	K00923
Ssiderea248086	K04253
Ssiderea245402	K07923
Ssiderea261394	K08803
Ssiderea240421	K18334
Ssiderea185853	K20173
Ssiderea229526	K15382
Ssiderea226648	K02941
Ssiderea252610	K03320
Ssiderea253932	K24070
Ssiderea253618	K24927
Ssiderea222211	K01737
Ssiderea157759	K20795
Ssiderea210799	K07762
Ssiderea248708	K17922
Ssiderea220523	K20279
Ssiderea259220	K10669
Ssiderea247533	K25458
Ssiderea239493	K13205
Ssiderea226113	K19015
Ssiderea279473	K19760
Ssiderea250825	K24818
Ssiderea248592	K24729
Ssiderea263772	K04306
Ssiderea256614	K15169
Ssiderea217537	K14809
Ssiderea256027	K10642
Ssiderea249160	K25701
Ssiderea259159	K15274
Ssiderea223412	K05034
Ssiderea254508	K00111
Ssiderea250828	K08187
Ssiderea250487	K00326
Ssiderea245204	K08076
Ssiderea255289	K15285
Ssiderea263212	K07497
Ssiderea255395	K04863
Ssiderea252772	K09469
Ssiderea238897	K20689
Ssiderea451656	K02937
Ssiderea262420	K01681
Ssiderea251734	K17480
Ssiderea253901	K23605
Ssiderea257455	K25700
Ssiderea333066	K10837
Ssiderea255172	K07409
Ssiderea244507	K16289
Ssiderea213013	K09233
Ssiderea262588	K08465
Ssiderea201283	K14209
Ssiderea49310	K00134
Ssiderea259078	K13174
Ssiderea192114	K11861
Ssiderea253189	K20472
Ssiderea241389	K09657
Ssiderea263758	K07497
Ssiderea257992	K12598
Ssiderea258519	K07376
Ssiderea96841	K13412
Ssiderea253288	K13336
Ssiderea277116	K17943
Ssiderea258547	K14409
Ssiderea261125	K16911
Ssiderea247792	K22555
Ssiderea200495	K23966
Ssiderea244127	K17936
Ssiderea260369	K17356
Ssiderea249300	K03350
Ssiderea240931	K05665
Ssiderea259301	K00010
Ssiderea257660	K09503
Ssiderea250862	K02830
Ssiderea248599	K01816
Ssiderea256739	K24048
Ssiderea262406	K18079
Ssiderea64758	K14072
Ssiderea242491	K19015
Ssiderea207500	K09363
Ssiderea238853	K15627
Ssiderea216425	K02882
Ssiderea241289	K04565
Ssiderea254829	K22403
Ssiderea250569	K23949
Ssiderea249205	K14806
Ssiderea179597	K02132
Ssiderea254431	K24095
Ssiderea251451	K12373
Ssiderea261672	K17341
Ssiderea246168	K07277
Ssiderea250331	K25421
Ssiderea260775	K04958
Ssiderea154150	K14835
Ssiderea234869	K19914
Ssiderea222963	K23339
Ssiderea242018	K06126
Ssiderea249720	K01900
Ssiderea257826	K06491
Ssiderea256924	K23204
Ssiderea259917	K11841
Ssiderea256708	K24780
Ssiderea263408	K04368
Ssiderea198983	K17710
Ssiderea249893	K11654
Ssiderea261056	K08834
Ssiderea248929	K09180
Ssiderea227560	K18435
Ssiderea94524	K09503
Ssiderea262191	K24436
Ssiderea254316	K18334
Ssiderea189696	K08802
Ssiderea162766	K01349
Ssiderea261489	K22387
Ssiderea240647	K22928
Ssiderea241556	K06255
Ssiderea250869	K23326
Ssiderea241042	K15281
Ssiderea236771	K04238
Ssiderea220397	K08964
Ssiderea237374	K21851
Ssiderea263472	K10144
Ssiderea247955	K25557
Ssiderea252690	K01745
Ssiderea249540	K14801
Ssiderea256847	K20369
Ssiderea249272	K11584
Ssiderea261373	K08793
Ssiderea257289	K10638
Ssiderea248711	K14165
Ssiderea236794	K14831
Ssiderea263352	K24999
Ssiderea259292	K15053
Ssiderea248365	K23568
Ssiderea258228	K10590
Ssiderea3336	K17757
Ssiderea242443	K14773
Ssiderea179163	K04144
Ssiderea322312	K11162
Ssiderea228908	K05969
Ssiderea243625	K00710
Ssiderea256840	K08810
Ssiderea263102	K15287
Ssiderea217938	K22390
Ssiderea254756	K19947
Ssiderea14458	K12035
Ssiderea201588	K17619
Ssiderea239186	K25421
Ssiderea262296	K15044
Ssiderea254286	K17341
Ssiderea235963	K11502
Ssiderea232238	K13912
Ssiderea227254	K02736
Ssiderea208876	K17341
Ssiderea280859	K01456
Ssiderea199108	K01068
Ssiderea246363	K24518
Ssiderea251398	K24253
Ssiderea242837	K03253
Ssiderea237756	K10141
Ssiderea254687	K17352
Ssiderea243524	K12169
Ssiderea252186	K07950
Ssiderea248613	K10478
Ssiderea245380	K05673
Ssiderea253461	K24816
Ssiderea253972	K01301
Ssiderea249154	K04515
Ssiderea258890	K10475
Ssiderea256366	K00472
Ssiderea242585	K25812
Ssiderea238180	K13298
Ssiderea261297	K18081
Ssiderea260337	K10577
Ssiderea257135	K15425
Ssiderea257356	K24970
Ssiderea127650	K15711
Ssiderea229587	K02256
Ssiderea111430	K10407
Ssiderea249326	K23405
Ssiderea253025	K01183
Ssiderea325481	K02889
Ssiderea96821	K16310
Ssiderea205877	K02872
Ssiderea125353	K10277
Ssiderea333142	K24734
Ssiderea244356	K00602
Ssiderea131794	K12373
Ssiderea260782	K17341
Ssiderea229624	K21873
Ssiderea263324	K23286
Ssiderea263031	K16896
Ssiderea261099	K11406
Ssiderea249267	K15139
Ssiderea259714	K01755
Ssiderea257362	K19527
Ssiderea412758	K01610
Ssiderea255290	K13084
Ssiderea219020	K17525
Ssiderea239011	K09880
Ssiderea259843	K06059
Ssiderea171790	K13412
Ssiderea259398	K06944
Ssiderea272293	K15637
Ssiderea263684	K22869
Ssiderea225972	K07440
Ssiderea210644	K17687
Ssiderea260933	K17586
Ssiderea260574	K14290
Ssiderea263501	K07178
Ssiderea247229	K14611
Ssiderea250354	K04144
Ssiderea259577	K06265
Ssiderea246875	K22790
Ssiderea227812	K20279
Ssiderea198410	K11657
Ssiderea239502	K05613
Ssiderea241707	K12487
Ssiderea243414	K04836
Ssiderea261063	K21396
Ssiderea253000	K00763
Ssiderea238697	K19375
Ssiderea257972	K17199
Ssiderea245662	K03857
Ssiderea259467	K00432
Ssiderea254521	K15336
Ssiderea253625	K15104
Ssiderea237535	K17570
Ssiderea249282	K02561
Ssiderea256348	K05287
Ssiderea260436	K09666
Ssiderea234888	K19604
Ssiderea261808	K03654
Ssiderea250420	K00698
Ssiderea235001	K05399
Ssiderea216303	K17499
Ssiderea233485	K05643
Ssiderea223555	K11590
Ssiderea257765	K16506
Ssiderea260668	K08844
Ssiderea259005	K00029
Ssiderea230015	K20476
Ssiderea254492	K20410
Ssiderea238720	K22449
Ssiderea262482	K08827
Ssiderea71763	K13866
Ssiderea258388	K13045
Ssiderea262211	K21398
Ssiderea198599	K20641
Ssiderea259889	K06841
